Latin	Québécois French	probability
ae̯	e	1.0
e	-	1.0
eː	-	1.0
f	f	1.0
kː	-	1.0
nː	-	1.0
rː	-	1.0
sː	s	1.0
u	-	1.0
uː	-	1.0
ɪ	-	1.0
ˈau̯	oʊ̯	1.0
ˈu	-	1.0
j	ʒ	0.821
lʲː	-	0.11
n	n	0.431
oː	-	0.191
r	-	0.261
s	z	0.061
t	t	0.361
ɡ	ʒ	0.371
ɫ	l	0.681
ʊ	-	0.51
ˈa	ã	0.101
ˈa	a	0.331
ˈuː	ʏ	0.21
ˈɪ	ɛ	0.191
k	s	0.112
k	ʃ	0.2
l	l	0.982
oː	ɒ̃ʊ̯̃	0.242
p	f	0.052
s	-	0.322
tː	-	0.092
ŋ	ã	0.612
ɔ	ɔ	0.642
ɛ	e	0.12
ɛ	-	0.332
ɛ̃ː	ɛ	0.12
ɛ̃ː	ã	0.252
ɡ	-	0.432
ʊ̃ː	ã	0.242
ˈaː	i	0.062
ˈɔ	ɔ	0.162
ˈɛ	-	0.382
ˈʊ	-	0.142
n	ẽɪ̯̃	0.073
w	-	0.253
ŋ	-	0.3
ɛ	æɛ̯	0.133
ɛ	œ	0.223
ɛ̃ː	ɒ̃ʊ̯̃	0.273
ˈaː	-	0.193
ˈaː	æɛ̯	0.683
ˈiː	i	0.263
ˈɛ	ɛ	0.073
ˈʊ	ʊ	0.13
ˈʊ	u	0.273
a	a	0.574
aː	a	0.314
b	-	0.324
iː	-	0.784
k	ɡ	0.054
kʷ	k	0.804
m	m	0.584
n	-	0.424
ɔ	ɑɔ̯	0.134
ʊ	u	0.144
ʊ̃ː	-	0.264
ˈa	-	0.284
ˈiː	ɪ	0.464
a	-	0.115
ãː	j	0.125
d	ʣ	0.095
lʲ	l	0.495
lʲ	-	0.505
oː	ɔ	0.255
p	-	0.155
ŋ	ẽɪ̯̃	0.05
ɔ	u	0.075
ɔ	-	0.15
ɛ̃ː	-	0.355
ʊ	øʏ̯	0.345
ʊ̃ː	øʏ̯	0.055
ˈeː	w_ɛ	0.765
ˈuː	y	0.625
ˈɔ	-	0.255
ˈɪ	æɛ̯	0.105
ˈɪ	-	0.435
aː	-	0.686
iː	i	0.216
kʷ	-	0.196
m	-	0.416
oː	u	0.176
t	-	0.586
ˈa	ɛ	0.086
ˈuː	-	0.086
ˈɔ	ɑɔ̯	0.406
ãː	-	0.557
b	b	0.447
k	-	0.497
n	ɲ	0.057
oː	œ	0.137
s	s	0.617
w	v	0.747
ɛ	ɛ	0.147
ɡ	ɡ	0.197
ˈeː	-	0.127
ˈiː	-	0.237
ˈoː	aœ̯	0.367
ˈɛ	i	0.077
ˈɛ	j	0.187
ˈʊ	w	0.377
a	æɛ̯	0.098
a	ã	0.158
ãː	ɛ	0.318
d	ʒ	0.078
d	d	0.238
i	-	0.98
k	k	0.118
p	v	0.188
p	p	0.578
tː	t	0.908
ˈeː	w	0.108
ˈoː	-	0.608
ˈɔ	u	0.058
ˈɛ	æɛ̯	0.248
ˈɪ	w_ɛ	0.268
ˈʊ	ɥ	0.078
b	v	0.229
d	-	0.589
j	-	0.179
lʲː	l	0.89
r	ʁ	0.739
ɫ	-	0.319
ʊ̃ː	i	0.059
ʊ̃ː	e	0.089
ʊ̃ː	oʊ̯	0.249
ˈa	æɛ̯	0.199
ˈuː	ɥ	0.079
ˈɔ	j	0.059
