Standard Mandarin	Standard Mandarin	probability
ʨʰ_j	ʨʰ	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	i	1.0
ʐ	ʣ	1.0
ʊ	a	1.0
ɻ	i	1.0
ɥ	-	1.0
ɤ_³⁵	a_⁵⁵	1.0
ɛ	e	1.0
ɕ	s	1.0
ɑ_ŋ	ŋ̍	1.0
ɑ_w	o	1.0
z̩	i	1.0
x	h	1.0
w_a	ɯ	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
o_w	a_w	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɛ	ĩ	1.0
i_ŋ	ẽ	1.0
e_j	w_e	1.0
e	-	1.0
<#_x	<#	1.0
<#_n	<#_l	1.0
<#_i	<#_i	1.0
³⁵	⁵⁵	0.9
²¹⁴	⁵²	0.848
⁵⁵	³³	0.821
ŋ	ŋ	0.773
l	l	0.714
a_j	a_j	0.714
w	w	0.708
n	ŋ	0.69
y	u	0.667
j	j	0.636
ə	u	0.625
ɑ	a	0.615
o	i	0.6
ʈ͡ʂʰ	ʦʰ	0.571
ʂ	ʦ	0.571
pʰ	pʰ	0.571
i	i	0.556
ʈ͡ʂ	ʦ	0.5
ʈ͡ʂ	t	0.5
w_ɔ	o_ʔ	0.5
w_ɔ	o	0.5
m	m	0.5
m	b	0.5
f	p	0.5
ʨʰ	kʰ	0.429
ʈ͡ʂʰ	t	0.429
ʂ	s	0.429
ɤ	e	0.429
pʰ	p	0.429
o	k̚	0.4
ə	-	0.375
<#	<#_h	0.375
<#	<#_b	0.375
a	a	0.348
y	-	0.333
a	e	0.304
f	h	0.3
ʨʰ	ʦʰ	0.286
ʨʰ	k	0.286
ɤ	ʣ	0.286
ɤ	a	0.286
u	u	0.286
u	o_w	0.286
l	-	0.286
a_j	a	0.286
⁵¹	¹¹	0.273
<#	<#_ʦʰ	0.25
⁵¹	²¹³	0.242
ɑ	ɯ	0.231
i	o_j	0.222
i	e	0.222
⁵¹	⁴	0.212
w	-	0.208
f	h_w	0.2
j	ĩ	0.182
j	a	0.182
n	m	0.172
ɑ	j	0.154
⁵¹	³⁵	0.152
u	o_k̚	0.143
u	o	0.143
u	-	0.143
n	ã	0.138
a	ũ	0.13
a	u	0.13
⁵¹	²	0.121
ŋ	ẽ	0.091
ŋ	a_ŋ	0.091
²¹⁴	³⁵	0.091
a	-	0.087
w	m	0.083
⁵⁵	ʔ_²	0.077
⁵⁵	²	0.077
³⁵	²	0.075
²¹⁴	²	0.061
