Northern Low Saxon	Old English	probability
aɪ̯	iːy̯	1.0
b	b	0.654
b	p	0.265
d	d	0.463
d	t	0.278
d	θ	0.185
f	f	0.905
f	-	0.06
h	h	1.0
i	i	1.0
j	ɡ	1.0
k	k	1.0
kʰ	ʧ	0.624
kʰ	k	0.356
l	l	0.63
l	ɫ	0.264
m	m	0.676
m	v	0.122
m	n	0.076
m	bː	0.055
n	n	0.87
n	-	0.072
p	p	1.0
pʰ	p	1.0
r	r	0.925
r	r̥	0.058
s	s	0.742
s	z	0.137
s	k_s	0.105
t	t	0.763
t	d	0.216
tʰ	t	1.0
v	w	0.857
v	ʍ	0.104
x	x	0.379
x	ç	0.319
x	ɣ	0.237
x	j	0.065
z	s	0.908
z	m	0.08
ç	j	0.243
ç	ʤ	0.201
ç	x	0.175
ç	ɡ	0.1
ç	ʧ	0.1
ç	ɣ	0.086
ç	-	0.057
ŋ	ŋ	0.728
ŋ	j	0.192
ŋ	ʤː	0.08
ɐ	r	0.43
ɐ	e	0.266
ɐ	o	0.144
ɐ	rː	0.075
ə	e	1.0
ɡ	k	0.246
ɡ	j	0.183
ɡ	ʧ	0.162
ɡ	ɡ	0.161
ɡ	ʧː	0.076
ɡ	ʤ	0.074
ɡ	ɣ	0.056
ɪ	i	0.718
ɪ	iː	0.282
ʃ	ʃ	0.559
ʃ	s	0.333
ʃ	ʃː	0.108
ʒ	j	1.0
ˈa	ˈɑ	0.532
ˈa	ˈæ	0.19
ˈa	ˈæɑ̯	0.104
ˈa	ˈiy̯	0.061
ˈa	ˈi	0.053
ˈaɪ̯	ˈeːo̯	0.58
ˈaɪ̯	ˈɑː	0.267
ˈaɪ̯	ˈiːy̯	0.061
ˈaɪ̯	ˈiː	0.055
ˈaʊ̯	ˈæːɑ̯	0.321
ˈaʊ̯	ˈoː	0.285
ˈaʊ̯	ˈo	0.143
ˈaʊ̯	ˈɑː	0.1
ˈaʊ̯	ˈæɑ̯	0.055
ˈaː	ˈæɑ̯	0.849
ˈaː	ˈi	0.076
ˈaː	ˈeo̯	0.075
ˈeɪ̯	ˈe	0.725
ˈeɪ̯	ˈeːo̯	0.208
ˈeɪ̯	ˈæː	0.067
ˈeː	ˈe	0.3
ˈeː	ˈi	0.222
ˈeː	ˈoː	0.206
ˈeː	ˈeo̯	0.135
ˈeː	ˈiy̯	0.084
ˈeː	w	0.052
ˈiː	ˈiː	0.677
ˈiː	ˈeːo̯	0.117
ˈiː	ˈeː	0.109
ˈiː	ˈiːy̯	0.097
ˈoː	ˈɑ	0.182
ˈoː	ˈæːɑ̯	0.173
ˈoː	ˈæː	0.15
ˈoː	ˈoː	0.138
ˈoː	ˈu	0.089
ˈoː	ˈæ	0.078
ˈoː	ˈɑː	0.065
ˈuː	ˈuː	0.818
ˈuː	ˈoː	0.069
ˈuː	ˈyː	0.067
ˈyː	ˈeːo̯	0.382
ˈyː	ˈiːy̯	0.206
ˈyː	ˈyː	0.198
ˈyː	ˈi	0.176
ˈø	ˈi	1.0
ˈøː	ˈo	0.458
ˈøː	ˈu	0.389
ˈøː	ˈeo̯	0.106
ˈœ	ˈe	0.872
ˈœ	ˈeːo̯	0.128
ˈœː	nː	0.514
ˈœː	ˈe	0.486
ˈɔ	ˈo	0.657
ˈɔ	o	0.115
ˈɔ	ˈæɑ̯	0.115
ˈɔ	ˈu	0.062
ˈɔ	ˈeːo̯	0.051
ˈɔʏ̯	ˈeː	0.346
ˈɔʏ̯	ˈiːy̯	0.344
ˈɔʏ̯	ˈy	0.196
ˈɔʏ̯	ˈæːɑ̯	0.074
ˈɔː	ˈy	1.0
ˈɛ	ˈe	0.525
ˈɛ	ˈɑ	0.327
ˈɛ	ˈi	0.093
ˈɛ	ˈeo̯	0.056
ˈɛɪ̯	ˈɑː	0.354
ˈɛɪ̯	ˈeo̯	0.323
ˈɛɪ̯	ˈiːy̯	0.323
ˈɛː	j	1.0
ˈɪ	ˈi	0.731
ˈɪ	ˈɑː	0.081
ˈɪ	ˈeː	0.08
ˈʊ	ˈu	0.854
ˈʊ	ˈuː	0.1
ˈʏ	ˈy	0.404
ˈʏ	ˈu	0.207
ˈʏ	ˈyː	0.181
ˈʏ	ˈeːo̯	0.073
ˈʏ	ˈɛ	0.059
