Swedish	Swedish	probability
ˈɵ_nː	ˈɛ_n	1.0
ˈɑː_ɡ	ˈaɪ̯	1.0
ˈœː	-	1.0
ˈæː	ˈɛː	1.0
ˈæ	ˈa	1.0
ʊ	-	1.0
ʈː	x_t	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɪ	-	1.0
ɡː	ç	1.0
ɛ_n	ə_n	1.0
ɛ_#>	#>	1.0
ɖ	ɐ_x	1.0
ɔ	aɪ̯	1.0
ŋː	ŋ	1.0
ŋ_n	n	1.0
ŋ	ŋ	1.0
v_ˈeː	v	1.0
v_#>	f_#>	1.0
t	t	1.0
sː	s	1.0
s_#>	s_#>	1.0
rː	ɐ_ɾ	1.0
r_ˈɛ	r	1.0
r_#>	#>	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kʰ	kʰ	1.0
jː	ˈiː	1.0
j_ˈʉː	d_ˈiː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
a	ɐ	1.0
<#_ˈɵ	<#	1.0
<#_ˈɛ	<#_j	1.0
<#_ˈa	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
s	s	0.974
l	l	0.969
a_#>	#>	0.902
k	k	0.895
ɛ	ɐ	0.846
n	n	0.81
ˈɑː	ˈɔː	0.8
v	v	0.783
ˈɛː	-	0.75
tʰ	tʰ	0.737
ˈɪ	ˈɪ	0.714
d	ɾ	0.696
ˈiː	ˈɪ	0.692
ɳ	ɐ_n	0.667
ɕ	-	0.667
ˈʊ	-	0.6
<#	<#_v	0.6
tː	t	0.583
ˈʏ	-	0.571
ˈeː	ˈiː	0.571
r	r	0.571
ˈɵ	ˈʏ	0.5
ˈɵ	ˈʊ	0.5
ˈyː	ˈyː	0.5
ˈyː	-	0.5
nː	ɾ	0.5
nː	n	0.5
n_d	n	0.5
#>	t_#>	0.5
ɡ	ɡ	0.467
ˈœ	ˈɛ	0.455
ˈʏ	ˈɛ	0.429
ˈeː	ˈɛ	0.429
ˈʉː	ˈʏ	0.421
ˈʊ	ˈʊ	0.4
ɧ	s_k	0.4
ɧ	s	0.4
<#	<#_j	0.4
ˈa	ˈa	0.389
r	ɐ	0.371
ˈœ	-	0.364
ˈɔ	ˈɔ	0.333
ɳ	ɐ	0.333
ɡ	ç	0.333
ɕ	tʲ	0.333
kː	ɡ	0.333
kː	ŋ_k	0.333
kː	k	0.333
ˈiː	ˈiː	0.308
n_d	nʲ	0.3
#>	n_#>	0.3
ˈøː	ˈɔa̯	0.294
ˈɛ	ˈɛ	0.263
ˈɛ	ˈeː	0.263
tʰ	d	0.263
ˈɛː	ˈiː	0.25
ˈuː	ˈœ	0.25
ˈoː	ˈɔː	0.25
ˈoː	-	0.25
tː	d	0.25
ˈøː	ˈeː	0.235
ˈɔ	ˈʊ	0.222
ˈɔ	ˈɔː_x	0.222
ˈɔ	-	0.222
ˈʉː	-	0.211
ˈɑː	ˈa	0.2
ɧ	ʃ	0.2
ɡ	x	0.2
n_d	ˈœ_n	0.2
j	ˈɛ	0.2
j	ɪ_ç	0.2
j	l	0.2
j	h	0.2
j	-	0.2
#>	ˈʏ_#>	0.2
n	-	0.19
ˈuː	ˈɔ	0.188
ˈuː	ˈuː	0.188
ˈoː	ˈɔa̯	0.188
ˈoː	ˈuː	0.188
ˈœ	ˈœ	0.182
ˈøː	ˈɛ	0.176
ˈøː	ˈoː	0.176
d	t	0.174
ˈa	-	0.167
tː	x_t	0.167
ˈʉː	ˈyː	0.158
ˈɛ	-	0.158
ɛ	-	0.154
ˈɪ	ˈɛ	0.143
ˈɪ	-	0.143
v	f	0.13
d	-	0.13
ˈuː	ˈʊ	0.125
ˈuː	ˈøː	0.125
ˈuː	-	0.125
ˈoː	ˈʏ	0.125
ˈøː	-	0.118
ˈa	ˈʊ	0.111
ˈa	ˈɔa̯	0.111
ˈa	ˈœ	0.111
ˈa	ˈuː	0.111
ˈʉː	ˈɪ	0.105
ˈʉː	ˈɛ	0.105
ˈɛ	ˈɔː	0.105
ˈɛ	ˈɔ	0.105
ˈɛ	ˈa	0.105
k	-	0.105
a_#>	ə_#>	0.098
v	-	0.087
r	x	0.057
