Phone1	Phone2	Surprisal
a	-	0.0
b	b	0.0
d	ɾ	0.746
d	-	1.902
d	t	2.876
f	f	0.0
h	h	0.0
j	-	1.616
j	h	1.964
j	ˈɛ	2.067
j	ɪ_ç	2.483
j_ˈʉː	d_ˈiː	0.0
jː	ˈiː	0.0
k	k	0.166
k	-	3.203
kʰ	kʰ	0.0
kː	ŋ_k	1.425
kː	ɡ	1.425
kː	k	1.972
l	l	0.0
l_d	lʲ	0.0
lː	l	0.0
m	m	0.0
mː	m	0.0
n	n	0.202
n	ˈœ_n	3.923
n	-	3.947
n_d	nʲ	0.0
nː	n	0.0
p	p	0.0
pʰ	pʰ	0.0
pː	p	0.0
r	r	0.929
r	ɐ	1.306
r	-	3.83
s	s	0.036
s	z	5.362
sː	s	0.0
t	t	0.0
tʰ	tʰ	0.486
tʰ	d	1.805
tː	t	0.589
tː	-	2.452
tː	x_t	2.715
v	v	0.124
v	-	3.604
v_a	f	0.0
v_ˈeː	v	0.0
ŋ	ŋ	0.0
ŋ_n	n	0.0
ŋː	ŋ	0.0
ɔ	aɪ̯	0.0
ɕ	-	0.36
ɕ	tʲ	2.178
ɖ	ɐ_x	0.0
ɛ	-	0.0
ɛ_n	ə_n	0.0
ɛ_r	ɐ	0.0
ɡ	ç	0.729
ɡ	x	1.335
ɡː	ç	0.823
ɡː	-	1.201
ɧ	s_k	1.148
ɧ	s	1.19
ɧ	ʃ	3.178
ɪ	-	0.0
ɳ	ɐ_n	0.819
ɳ	ɐ	1.207
ʂ	r_s	0.0
ʈ	t	0.0
ʈː	x_t	0.0
ʊ	n	0.0
ˈa	ˈa	1.534
ˈa	-	2.716
ˈa	ˈɛ	2.823
ˈa	ˈœ	2.827
ˈa	ˈʊ	2.827
ˈa	ˈɔa̯	3.656
ˈeː	ˈiː	0.691
ˈeː	ˈɛ	1.393
ˈiː	ˈɪ	0.556
ˈiː	ˈiː	1.644
ˈoː	-	1.579
ˈoː	ˈɔː	2.234
ˈoː	ˈuː	2.353
ˈoː	ˈɔa̯	2.862
ˈoː	ˈʏ	3.066
ˈuː	ˈœ	1.866
ˈuː	ˈuː	2.049
ˈuː	-	2.181
ˈuː	ˈɔ	2.664
ˈuː	ˈʊ	3.243
ˈyː	ˈyː	0.864
ˈyː	-	1.15
ˈæ	ˈa	0.0
ˈæː	ˈɛː	0.0
ˈøː	ˈeː	1.54
ˈøː	ˈɔa̯	2.107
ˈøː	ˈɛ	2.466
ˈøː	ˈoː	2.715
ˈøː	-	3.462
ˈœ	ˈɛ	0.996
ˈœ	-	1.513
ˈœ	ˈœ	2.755
ˈœː	-	0.0
ˈɑː	ˈɔː	0.262
ˈɑː	ˈa	2.591
ˈɑː_ɡ	ˈaɪ̯	0.0
ˈɔ	ˈɔ	0.917
ˈɔ	ˈʊ	1.973
ˈɔ	ˈɔː_x	2.212
ˈɛ	-	1.673
ˈɛ	ˈɛ	1.871
ˈɛ	ˈeː	2.438
ˈɛ	ˈɔː	3.44
ˈɛ	ˈa	3.639
ˈɛ	ˈɔ	4.158
ˈɛː	-	0.345
ˈɛː	ˈiː	2.235
ˈɪ	ˈɪ	0.525
ˈɪ	-	2.207
ˈɪ	ˈɛ	3.501
ˈɵ	ˈʏ	0.967
ˈɵ	ˈʊ	1.034
ˈɵ_nː	ˈɛ_n	0.0
ˈʉː	ˈʏ	1.647
ˈʉː	-	1.728
ˈʉː	ˈyː	2.487
ˈʉː	v	2.993
ˈʉː	ˈɪ	3.74
ˈʊ	-	1.0
ˈʊ	ˈʊ	1.0
ˈʏ	-	0.807
ˈʏ	ˈɛ	1.222
