Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɒː	ˈɑː	1.0
ˈuː_#>	#>	1.0
ˈaʊ̯	ˈʉː	1.0
ˈa	k_ˈa	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɣ̊	kː	1.0
ɡ̊_ə	rː	1.0
ɐ_ʦ	ʈː	1.0
ɐ_ʃ	ʂ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɖ	1.0
ç_d̥	tː	1.0
ç_#>	#>	1.0
x_d̥	tː	1.0
x_#>	ɡ_#>	1.0
v̥	-	1.0
t	-	1.0
n_s	sː	1.0
n_#>	#>	1.0
m_ˈʊ	m	1.0
m_#>	#>	1.0
l_ˈiː	j_ˈʉː	1.0
l_f	l_v	1.0
l_#>	l_#>	1.0
i	-	1.0
f_#>	p_#>	1.0
eː	ɔ	1.0
d̥_ˈiː	j_ˈʉː	1.0
d̥_n	d_a	1.0
d̥_#>	#>	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	v_#>	1.0
b̥	b	1.0
<#_ˈɒ	<#_ˈa	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
h	h	0.909
l	l	0.903
r	r	0.875
v	v	0.857
a	a	0.812
<#_ɡ̊	<#_ɡ	0.8
s	s	0.773
f	f	0.762
x	k	0.75
m	m	0.696
z̥	t	0.667
ˈɒ	ˈa	0.65
ˈaɪ̯	ˈiː	0.647
d̥	d	0.638
ˈuː	ˈuː	0.6
ˈoː	ˈoː	0.579
ʃ	s	0.565
ɐ	r	0.552
ˈɛ	ˈɛ	0.5
ʦ	tʰ	0.5
n	n	0.5
ˈɪ	ˈɪ	0.478
ˈaː	ˈeː	0.471
s_#>	t_#>	0.471
ç	k	0.444
s_#>	s_#>	0.412
ˈuː	ˈøː	0.4
ɡ̊	kʰ	0.4
ŋ	ŋː	0.375
#>	a_#>	0.375
ˈʊ	ˈɵ	0.333
ˈeː	ˈøː	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ç	j	0.333
z̥	tː	0.333
#>	n_#>	0.333
ʃ	ɧ	0.304
m	mː	0.304
ʦ	tː	0.3
n	a	0.295
ˈaː	-	0.294
ɐ	ɛ_r	0.276
ˈʊ	ˈʊ	0.267
ˈʊ	ˈɔ	0.267
x	ɡ	0.25
ˈɔ	ˈɵ	0.235
ˈɔ	-	0.235
ˈaː	ˈøː	0.235
ˈɛ	-	0.227
s	ɧ	0.227
ˈiː	ˈʉː	0.222
ˈiː	-	0.222
ç	-	0.222
ˈoː	ˈɑː	0.211
#>	ɛ_#>	0.208
ʦ	-	0.2
ɡ̊	ɡː	0.2
<#_ɡ̊	<#	0.2
ŋ	ɡ_a	0.188
ŋ	-	0.188
a	-	0.188
ˈɔ	ˈɔ	0.176
ˈɔ	ˈœ	0.176
ˈɔ	ˈuː	0.176
ˈaɪ̯	ˈɛ	0.176
ˈaɪ̯	ˈyː	0.176
d̥	tʰ	0.172
ˈiː	ˈøː	0.167
ˈiː	ˈyː	0.167
n	nː	0.159
ˈoː	-	0.158
ˈɒ	ˈɑː	0.15
ɡ̊	kː	0.15
ɡ̊	k	0.15
v	-	0.143
f	p	0.143
ˈʊ	-	0.133
ˈɪ	ˈʏ	0.13
ˈɪ	ˈœ	0.13
ʃ	s_k	0.13
ŋ	ŋ	0.125
ŋ	a	0.125
r	r_ˈœ	0.125
s_#>	#>	0.118
ˈiː	ˈɛː	0.111
ˈiː	ˈɛ	0.111
ɐ	a	0.103
ˈɒ	ˈɵ	0.1
ˈɒ	ˈoː	0.1
ɡ̊	ɕ	0.1
l	lː	0.097
f	pː	0.095
ˈɛ	ˈɛː	0.091
ˈɛ	ˈæː	0.091
ˈɛ	ˈæ	0.091
h	j	0.091
ˈɪ	ˈɵ	0.087
ˈɪ	ˈeː	0.087
ˈɪ	-	0.087
#>	ʊ_#>	0.083
ɐ	r_a	0.069
d̥	t	0.069
ˈoː	jː	0.053
