Spanish	Spanish	probability
θ_ˈe	s_e	1.0
β_l	b_j	1.0
ˈu_n	ˈo_ŋ	1.0
ˈi_ʝ	ˈɛ	1.0
ˈi_x	f_ˈi	1.0
ˈe_ʧ	ˈɛ_t	1.0
ˈe_ʝ	ˈe	1.0
ˈe_ɾ	r	1.0
ˈe_ð	ˈe	1.0
ˈe_k	ˈe_k	1.0
ˈa_β	ˈa_v	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʝ	ɰ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o	r_o	1.0
ɾ_#>	r_#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ð_ɾ	r	1.0
x_o	s_o	1.0
w_a	w_a	1.0
w	w	1.0
u	-	1.0
s_a	z_a	1.0
s_#>	#>	1.0
s	s	1.0
r	r	1.0
p_o	p_o	1.0
p	p	1.0
o_ɾ	r	1.0
o_s	i	1.0
o_#>	#>	1.0
n_#>	ŋ_#>	1.0
l_#>	l_#>	1.0
k	k	1.0
f	f	1.0
e_n	e_ŋ	1.0
d	d	1.0
b_ɾ	m	1.0
a_β	a_v	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ͡ʝ	<#_ʧ	1.0
<#_x	<#_z	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l_ˈe	<#_ˈe	1.0
<#_b	<#_v	1.0
<#_a	<#	1.0
#>	e_#>	1.0
t	t	0.938
o	o	0.92
a	a	0.911
ˈi	ˈi	0.87
m	m	0.818
ɾ	r	0.789
<#_l	<#_ɰ	0.786
ŋ	ŋ	0.75
<#_ɡ	<#_ɡ	0.75
β	v	0.733
ˈu	ˈu	0.667
ɟ͡ʝ	p_j	0.667
b	b	0.667
<#	<#_f	0.636
θ	s	0.586
e	e	0.547
x	ʧ	0.545
ˈo	ˈo	0.538
j_ˈe	ˈɛ	0.538
w_ˈe	ˈɔ	0.517
n	ŋ	0.512
ɲ	ɲ	0.5
ɲ	n	0.5
i	i	0.5
i	-	0.5
n	n	0.488
w_ˈe	ˈo	0.483
j_ˈe	ˈe	0.462
l	ɰ	0.429
θ	z	0.414
ˈe	ˈe	0.409
ð	d	0.375
j	j	0.368
<#	<#_z	0.364
ɟ͡ʝ	z	0.333
ð	t	0.312
ð	-	0.312
l	l	0.286
x	ʤ	0.273
j	ˈi	0.263
ˈo	ˈɔ	0.256
ŋ	-	0.25
<#_ɡ	<#	0.25
<#_l	<#	0.214
e	-	0.208
l	o	0.19
ˈe	ˈɛ	0.182
x	-	0.182
ˈu	ˈɔ	0.167
ˈu	ˈo	0.167
b	v	0.167
b	-	0.167
j	e	0.158
ˈe	-	0.136
β	b	0.133
β	-	0.133
ˈi	-	0.13
ˈe	e	0.114
j	ˈɛ	0.105
j	-	0.105
ˈo	ˈu	0.103
ˈo	-	0.103
l	-	0.095
m	ŋ	0.091
m	-	0.091
ɾ	a_r	0.079
ɾ	-	0.079
e	o	0.075
ˈe	d_e	0.068
t	-	0.062
e	ˈe	0.057
e	i	0.057
e	a	0.057
ɾ	o	0.053
o	-	0.053
