English	English	probability
θ_#>	d̥_#>	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɛ	ˈaː	1.0
ˈæ	ˈa	1.0
ˈiː_#>	ˈiː_ɐ_#>	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ʤ	k_ə	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɹ	ʁ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
ɜː	ʁ_ˈaɪ̯	1.0
əʊ̯	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	ə	1.0
tʰ	ʦ	1.0
t_#>	ʦ_#>	1.0
s_t	s_t	1.0
s_#>	z̥_#>	1.0
pʰ	p͡f	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	k_s	1.0
h	h	1.0
f_ˈɪ	f_ˈɪ	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b	1.0
<#_n	<#_n	1.0
<#	<#_ˈɛ	1.0
n	n	0.947
w	v	0.871
ə	ɐ	0.833
θ	d	0.812
p	f	0.7
ʧ	kʰ	0.667
ˈəʊ̯	ˈaɪ̯	0.643
ˈaʊ̯	ˈaʊ̯	0.615
s	z	0.588
ɪ	ɪ	0.571
ð	d	0.571
t	s	0.528
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈɜː	ˈʊ_ɐ	0.5
ˈɜː	ɐ	0.5
ˈɔː	ɐ	0.5
j	ɡ	0.5
j	j	0.5
#>	ç_#>	0.462
ɪ	-	0.429
ð	t	0.429
k	ç	0.4
k	k	0.4
ˈeɪ̯	ˈa	0.385
#>	ɡ̊_#>	0.385
ˈɒ	ˈa	0.375
ˈɒ	-	0.375
ˈɐ	ˈʊ	0.375
v	f	0.364
v	b	0.364
ˈaɪ̯	ˈaɪ̯	0.346
ˈɪ	ˈɪ	0.344
d	t	0.34
ˈuː	ˈuː	0.333
ˈuː	n	0.333
ˈuː	-	0.333
ʧ	ç	0.333
s	ʃ	0.324
ˈɑː	ˈaː	0.308
t	t	0.306
p	f_n	0.3
ˈe	ˈɛ	0.28
d	tʰ	0.28
v	b_n	0.273
ˈɔː	ˈɔ_ɐ	0.25
ˈɒ	ˈɔ	0.25
ˈɑː	ˈa_ɐ	0.231
ˈeɪ̯	ˈaː_ɡ	0.231
ˈeɪ̯	ˈaː	0.231
ˈaʊ̯	ˈuː	0.231
ˈəʊ̯	ˈeː	0.214
ˈe	-	0.2
k	x	0.2
d	d̥	0.2
ˈaɪ̯	ˈɪ	0.192
ˈɐ	ˈoː	0.167
ˈɐ	ˈaʊ̯	0.167
ˈiː	ˈiː	0.167
ˈiː	ˈaʊ̯	0.167
ˈe	ˈoː	0.16
ˈɪ	ˈʏ	0.156
ˈɪ	-	0.156
ˈɑː	ˈɛ_ɐ	0.154
ˈɑː	ˈa_l	0.154
ˈɑː	ˈa	0.154
ˈeɪ̯	-	0.154
ˈaʊ̯	-	0.154
#>	d̥_#>	0.154
ˈəʊ̯	ˈa	0.143
ˈiː	ˈyː	0.133
ˈiː	ˈaː	0.133
ˈiː	-	0.133
θ	-	0.125
ˈɪ	ˈiː	0.125
ˈɔː	ˈɔ	0.125
ˈɔː	ˈa	0.125
ˈɐ	ˈɔ	0.125
ˈe	ˈaɪ̯	0.12
ˈe	ˈa	0.12
ˈaɪ̯	ˈɔʏ̯	0.115
ˈaɪ̯	ˈiː_ɡ	0.115
t	ʦ	0.111
ˈiː	ˈaɪ̯	0.1
ˈɪ	ˈeː	0.094
s	ʃ_v	0.088
ˈɐ	ˈuː	0.083
ˈɐ	n	0.083
ə	ə	0.083
ə	-	0.083
ˈe	ˈeː	0.08
d	d	0.08
ˈaɪ̯	ˈɪ_ç	0.077
ˈaɪ̯	ˈa_x	0.077
ˈaɪ̯	n	0.077
ˈiː	ˈuː	0.067
ˈiː	ˈeː	0.067
w	v_ˈa	0.065
w	-	0.065
θ	a	0.062
ˈɪ	ˈɛ	0.062
ˈɪ	ˈøː	0.062
d	t_n	0.06
t	x_t	0.056
n	kʰ_n	0.053
