Nuorese	Nuorese	probability
β_u	ʊ	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈo	1.0
ʦ	θ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_ˈa	ˈa	1.0
ɾ_ɛ_#>	ɾ_#>	1.0
ɾ_m	ɾ_m	1.0
ɾ_b	ɾ_β	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
z_ɛ̆	s	1.0
z_ɔ̆_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
p_ɾ	ʧ	1.0
o_ɾ	ɾ	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_ɛ	ŋ	1.0
n_u	ŋ	1.0
n_a	ɐ	1.0
l_ˈa	ˈa	1.0
l_u	ʊ	1.0
k_ɛ	θ	1.0
k_u	ɣ_ʊ	1.0
j_z	s	1.0
j	j	1.0
i_n	ɪ	1.0
i_#>	ɪ_#>	1.0
f_ɾ	ʧ	1.0
f	f	1.0
e	-	1.0
d	d	1.0
ă	-	1.0
a_t	a_ð	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʃ	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_b	<#	1.0
<#_a	<#	1.0
<#	<#_k	1.0
#>	ɪ_#>	1.0
b	b	0.914
m	m	0.826
l	l	0.824
ð	-	0.818
<#_i	<#_e	0.818
ɾ	ɾ	0.812
p	p	0.806
β	β	0.778
u	ʊ	0.77
a	ɐ	0.75
ɣ	-	0.714
r	r	0.7
s	s	0.688
k_ɾ	ɟ	0.667
ˈa	ˈa	0.651
t	t	0.647
ɛ_ɾ	ɾ	0.625
ɛ	ɪ	0.618
ˈɛ	ˈɛ	0.6
ŋ	n	0.6
z	s	0.6
k	k	0.596
ˈi	ˈi	0.595
ʣ	ɟ	0.571
n	n	0.556
ˈu	ˈu	0.541
ˈo	ˈɔ	0.5
ˈo	ˈo	0.5
ɾ_a	ɾ_ɐ	0.5
ɾ_a	ɾ	0.5
ɡ	ɡ	0.5
ɔ	o	0.5
ɔ	-	0.5
nː	n	0.455
ˈɔ	ˈɔ	0.438
ʣ	-	0.429
ˈe	ˈɛ	0.412
ˈe	ˈe	0.412
ˈɛ	ˈe	0.4
ŋ	-	0.4
z	-	0.4
i	-	0.391
ˈɔ	ˈo	0.375
ɛ_ɾ	ˈe_ɾ	0.375
nː	ɲ	0.364
ɡ	ʃ	0.357
k_ɾ	ʧ	0.333
ˈu	ˈo	0.324
ˈi	ˈe	0.31
r	ɾ_n	0.3
ɣ	ɣ	0.286
k	θ	0.281
i	e	0.261
t	ð	0.235
β	-	0.222
p	β	0.194
n	ɲ	0.185
n	-	0.185
ð	ð	0.182
nː	-	0.182
<#_i	<#	0.182
ˈe	ˈe_j	0.176
l	-	0.176
ˈa	ˈɑ	0.175
i	ˈi	0.174
i	i	0.174
a	a	0.171
s	-	0.156
ɡ	-	0.143
ɾ	-	0.125
ˈɔ	ˈo_j	0.094
ˈɔ	o	0.094
s	ʃ	0.094
ɛ	ˈi	0.088
ɛ	ɐ	0.088
ɛ	e	0.088
k	ɣ	0.088
m	ŋ_ɡ	0.087
m	ŋ_k	0.087
b	-	0.086
ˈu	ˈɔ	0.081
ˈa	a	0.079
t	-	0.078
n	ŋ	0.074
u	ɪ	0.068
a	-	0.066
ˈa	ˈo_w	0.063
ɾ	o	0.062
s	j_ʃ	0.062
ɛ	β_ɪ	0.059
ɛ	-	0.059
ˈu	-	0.054
u	ɐ	0.054
u	u	0.054
