Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	ˈɔ	1.0
ˈɔː	ˈʊə̯_ɾ	1.0
ˈøʏ̯	ˈiː_w	1.0
ˈu	-	1.0
ˈoʊ̯	-	1.0
ˈeː_ɕ	x_t	1.0
ˈeɪ̯	-	1.0
ˈa_ɫ	ˈɑu̯	1.0
ʦ	t	1.0
ʋ_ˈiː	ʋ	1.0
ʋ	ʋ	1.0
ɪ	ɪ	1.0
ɣ̊	x	1.0
ɣ	x	1.0
ə_f	v̥	1.0
ɕ_#>	x_#>	1.0
v̥	v̥	1.0
t	t	1.0
s	t	1.0
p	p	1.0
m_ˈeː	m	1.0
m	m	1.0
k_s	s	1.0
k_#>	x_ə_#>	1.0
k	k	1.0
e	iː	1.0
d̥	d̥	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_ɾ	1.0
<#_j	<#_x	1.0
<#_h_ˈa	<#_ˈɛː	1.0
<#_h	<#	1.0
l	ɫ	0.92
z	z	0.9
d	d	0.871
n	n	0.833
f	v	0.833
ə	ə	0.829
ˈa	ˈɑ	0.789
ʀ	ɾ	0.789
ɕ	k	0.778
z̥	z̥	0.778
ˈɔ	ˈɔ	0.667
v	v	0.667
ɡ̊	d̥	0.615
ʃ	s	0.609
ˈøː	-	0.6
ˈyː	ˈʊə̯	0.6
ɫ	ɫ	0.579
ˈe	ˈɪ	0.571
ˈuː	ˈyː	0.533
ˈeː	ˈiː	0.533
ˈɪ	ˈi	0.5
ˈɔʊ̯	ˈʊə̯	0.5
ˈɔʊ̯	ˈyː	0.5
j	x	0.5
j	j	0.5
ɐ	ɾ	0.472
ˈuː	ˈʊə̯	0.467
ˈiː	ˈi	0.455
ˈɛ	ˈæ	0.444
ŋ	n	0.44
ˈɛː	ˈeː	0.429
ˈoː	ˈɛː	0.429
ˈo	-	0.429
ˈe	-	0.429
x	k	0.429
ˈaː	ˈɑ	0.417
ɐ	ə_ɾ	0.417
ˈøː	ˈuː	0.4
ˈyː	ˈiː	0.4
ˈœ	ˈʏ	0.375
ˈœ	ˈɪ	0.375
ˈo	ˈɔ	0.357
ˈɔ	-	0.333
ˈaː	-	0.333
v	-	0.333
<#	<#_ˈɛː	0.333
<#	<#_ˈyː	0.333
<#	<#_ˈoː	0.333
ŋ	ŋ	0.32
ɫ	ɫ_ə	0.316
ˈɪ	ˈɪ	0.3
ˈɛː	ˈæ	0.286
ˈɛː	-	0.286
x	x_t	0.286
x	x	0.286
ˈeː	ˈɪə̯	0.267
ˈœ	-	0.25
ˈaː	ˈɛː	0.25
ˈoː	ˈuː	0.238
ɡ̊	k	0.231
ˈɛ	-	0.222
ɕ	k_ə	0.222
z̥	z_ə	0.222
ʃ	s_x	0.217
ˈo	ˈu	0.214
ˈɪ	-	0.2
ˈiː	ˈɛː	0.182
ˈiː	ˈiː	0.182
ˈiː	-	0.182
ʃ	z	0.174
ˈɛ	ˈeː	0.167
ˈɛ	ɾ	0.167
f	p	0.167
ŋ	n_d	0.16
ɡ̊	-	0.154
ˈoː	ˈu	0.143
ˈeː	ˈæi̯	0.133
d	-	0.129
n	n_ə	0.119
ɐ	ə	0.111
ˈa	ˈɪ	0.105
ˈa	ˈɒː	0.105
ʀ	ɾ_ˈi	0.105
ʀ	-	0.105
ɫ	ə_ɫ	0.105
z	z_ˈøː	0.1
ˈoː	ˈɔ	0.095
ˈoː	-	0.095
ə	ə_n	0.086
ə	-	0.086
ŋ	ŋ_k	0.08
l	l	0.08
ˈeː	ˈiːə̯	0.067
