Romansch	Galician	probability
ˈɛː	ˈɛ	1.0
ˈɛ_w	ɣ_ʊ	1.0
ˈɔː_r	ɾ	1.0
ˈɔː	ˈɔ	1.0
ˈuː_n	ˈo	1.0
ˈuɔ̯	ˈo	1.0
ˈo	ˈo	1.0
ˈiː_r	ˈu_ɾ	1.0
ˈeː_r	ɾ	1.0
ˈa_n	ˈa_n	1.0
ʨ_#>	t_ʊ_#>	1.0
ʎ	ɟ	1.0
ʃ_#>	θ_#>	1.0
ɲ	ɲ	1.0
ə_v	a_β	1.0
ə_s	ɐ_s	1.0
z	-	1.0
w_n_ə_#>	#>	1.0
s_#>	s_#>	1.0
r_ʨ	ɾ_k	1.0
r_ə	ɾ_ɐ	1.0
r_n	ɾ_n	1.0
p_ˈu	p_ˈu	1.0
p_l	ʧ	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
o	o	1.0
n_#>	ŋ_#>	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
k_r	k_ɾ	1.0
k_l	ʧ	1.0
k	k	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
ˈa_j	ˈe	0.857
s	s	0.833
r	ɾ	0.83
ˈaː	ˈa	0.818
ʨ	k	0.8
ʥ	-	0.778
f	f	0.75
#>	ʊ_#>	0.726
ˈiː	ˈi	0.722
ˈa	ˈa	0.72
ə_r	ˈe_ɾ	0.714
ˈu	ˈo	0.704
v	b	0.704
ɡ	ɡ	0.7
t	t	0.697
ˈe	ˈe	0.692
ə	ɐ	0.676
ˈi	ˈi	0.667
i	-	0.667
e	-	0.667
l	l	0.619
ˈiə̯	ˈɛ	0.6
w	w	0.6
ˈeː	ˈe	0.571
d	d	0.556
n	n	0.543
ˈɔ	ˈɔ	0.538
ˈuː	ˈo	0.5
ˈuː	-	0.5
ˈa_w	ˈɑ	0.5
ˈa_w	ˈo_w	0.5
ʧ	θ	0.5
ʧ	-	0.5
ʦ	θ_ʊ	0.5
ʦ	t	0.5
ŋ	ŋ_ɡ	0.5
ŋ	ŋ	0.5
u	o	0.5
l_#>	l_#>	0.5
l_#>	#>	0.5
j	-	0.438
ˈɛ	ˈɛ	0.435
ˈeː	-	0.429
ˈiə̯	-	0.4
ʃ	e_s	0.4
w	-	0.4
d	ð	0.37
ˈɛ	ˈe	0.348
ˈi	ˈu	0.333
ʃ	θ	0.333
i	e	0.333
e	e	0.333
ˈɔ	ˈa	0.308
ˈe	-	0.308
ɡ	ɣ	0.3
u	-	0.3
v	β	0.296
ə_r	ɾ_ɪ	0.286
l	-	0.286
ʃ	ʃ	0.267
ʥ	ʃ	0.222
#>	ɪ_#>	0.205
ʨ	j_t	0.2
u	u	0.2
n	ɲ	0.2
j	ɣ	0.188
ˈu	ˈɔ	0.185
ˈaː	-	0.182
ˈiː	-	0.167
s	ˈi_θ	0.167
ˈɔ	-	0.154
t	ð	0.152
f	β_ɪ	0.15
ˈa_j	ˈɛ	0.143
n	-	0.143
ˈɛ	ˈi	0.13
j	ˈɛ	0.125
j	ˈɔ	0.125
j	ˈe	0.125
ˈa	ˈe	0.12
ˈu	ˈu	0.111
ˈiː	ˈu	0.111
ə	e	0.108
ə	a	0.108
f	β_ʊ	0.1
l	ˈo	0.095
t	ð_ɪ	0.091
ˈɛ	-	0.087
ə	-	0.081
ˈa	a	0.08
ˈa	-	0.08
r	r	0.075
d	-	0.074
#>	ɐ_#>	0.068
t	-	0.061
r	ʊ	0.057
n	ʊ	0.057
n	ŋ	0.057
