Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ	ˈʊ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈɔ_ŋ	1.0
ˈyː	ˈʊ̯iː	1.0
ˈiː_#>	ˈɛːa̯_ɹ_#>	1.0
ˈeː	ˈɔ̯aː	1.0
ˈaʊ̯_d̥	ˈɔːu̯_w	1.0
ɪ	-	1.0
ɡ̊	ɡ̊_ʊ	1.0
ŋ_k	ʰk	1.0
æ_n	t͡n̥	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_t	ʰt	1.0
w	v	1.0
t_æ	ʰt͡n̥	1.0
t_n	t_a	1.0
t_#>	#>	1.0
s	s	1.0
pʰ	pʰ	1.0
n_n	nː_a	1.0
l_d̥	t͡l̥	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
b_m	v_a	1.0
b	b̥	1.0
ae̯	a	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
r	ɹ	0.875
ˈiː	ˈʊ̯iː	0.846
m	m	0.833
kʰ	kʰ	0.8
l	l	0.771
ˈɔʏ̯	ˈøː	0.714
ˈɔ	-	0.714
v̥	v_ʊ	0.714
ˈae̯	-	0.7
ˈoː	-	0.667
ɡ	ɡ̊	0.667
<#_v	<#_v	0.667
p	p	0.625
x	-	0.6
ŋ	ŋ	0.571
t	t	0.571
k	k	0.538
ˈʏ	ˈɪ	0.5
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈaː	ˈɛːa̯	0.5
ˈaː	ˈa_ɹ	0.5
ˈuː	ˈʉːu̯	0.471
d	d̥	0.462
d̥	d̥_ʊ	0.455
ʃ	s	0.45
#>	ʊ_ɹ_#>	0.45
ɾ	w	0.429
v	kʰ_v	0.429
ˈɪ	ˈɪ	0.417
ç	ʊ	0.417
ç	-	0.417
ˈɒː	ˈɔ̯aː	0.4
ˈɒː	-	0.4
x	ʰt	0.4
æ	ɹ	0.394
n	n	0.392
d	tʰ	0.385
p	ʰp	0.375
n	a	0.373
d̥	d̥	0.364
t	ʰt	0.357
ʃ	ʃ	0.35
ˈɪ	-	0.333
ˈoː	ˈɔ̯aː	0.333
ɡ	ʤ̊	0.333
<#_v	<#	0.333
ˈa	ˈa	0.32
ˈʏ	-	0.3
ˈae̯	ˈai̯	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	j	0.286
ˈɔʏ̯	-	0.286
ˈɔ	ˈʊ	0.286
ɾ	j	0.286
ɾ	-	0.286
v̥	-	0.286
v	v_ˈiː	0.286
v	v	0.286
ˈa	ˈɛːa̯	0.28
ˈaʊ̯	ˈɛːi̯	0.278
ˈaʊ̯	ˈɔːu̯	0.278
ˈaʊ̯	-	0.278
#>	ɹ_#>	0.25
ˈa	ˈɔ	0.24
k	ʧ	0.231
ŋ	ɡ̊	0.214
ŋ	a	0.214
æ	ɪ_ɹ	0.212
ˈʏ	ˈʊ	0.2
ˈɒː	ˈa	0.2
ʃ	s_k	0.2
kʰ	ʧʰ	0.2
d̥	-	0.182
#>	a_#>	0.18
ˈuː	-	0.176
ˈaʊ̯	ˈɔ̯aː	0.167
ç	v_ʊ	0.167
ˈiː	-	0.154
k	ʰk	0.154
ˈɛ	ˈɛːa̯	0.143
ˈɛ	ˈøː	0.143
ˈɛ	-	0.143
l	t͡l̥	0.143
ˈɪ	ˈɛ	0.125
ˈɪ	ˈiː	0.125
r	-	0.125
æ	ɹ_ʊ	0.121
ˈuː	ˈɪ	0.118
ˈuː	ˈɔ	0.118
ˈuː	ˈoː	0.118
n	nː	0.098
æ	ɹ_a	0.091
l	-	0.086
m	v	0.083
m	a	0.083
ˈa	ˈɛ	0.08
ˈa	ˈœ	0.08
n	-	0.078
k	ʰʧ	0.077
d	ʧʰ	0.077
d	-	0.077
t	ʊ_ɹ	0.071
æ	ˈœ_t͡n̥	0.061
æ	ɹ_ɪ	0.061
æ	ɡ̊_ʊ	0.061
#>	ɪ_#>	0.06
n	n_d̥	0.059
