Danish	Danish	probability
ˈʌˀ	-	1.0
ˈʌ_lˀ	l_d	1.0
ˈɶˀ	ˈuː	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoːu̯	1.0
ˈɔˀ	-	1.0
ˈɔ	ˈʊ	1.0
ˈɒˀ	-	1.0
ˈɑː	-	1.0
ˈɑ_d̥	i	1.0
ˈœː	ˈa	1.0
ˈœ_ɡ̊	ˈɛː_x	1.0
ˈø	-	1.0
ˈæː	ˈɔː	1.0
ˈæˀ	ˈaːi̯	1.0
ˈæ	-	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈeˀ_ɡ̊	ˈɔːɪ̯	1.0
ˈaː	-	1.0
ʌ	ə_r	1.0
ʁ	r	1.0
ɡ̊_#>	k_#>	1.0
ə_ð̞ˠ	d	1.0
ə_#>	#>	1.0
ŋˀ	ŋ	1.0
s_ə	z_ə	1.0
s_#>	s_#>	1.0
s	s	1.0
pʰ	p	1.0
n	n	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	k_ˈoː	1.0
jˀ	-	1.0
j_#>	#>	1.0
i	-	1.0
h	h	1.0
f	f	1.0
b̥_#>	p_#>	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_kʰ	<#_k	1.0
<#_d̥	<#_d	1.0
ə	ə	0.96
ʋ	v	0.842
ˈuː	-	0.8
d̥	t	0.8
ˈɑ	-	0.778
b̥	b	0.769
ˈyˀ	-	0.75
ˈuˀ	ˈuː	0.75
ˈoˀ	ˈoːu̯	0.75
ˈœ	-	0.714
ˈiˀ	ˈi	0.7
ɡ̊	k	0.7
ˈɑˀ	-	0.667
nˀ	n_d	0.636
ˈo	ˈoːu̯	0.6
ˈeˀ	ˈeː	0.6
ʦʰ	d	0.6
ɐˀ	d	0.6
ŋ	ŋ	0.6
lˀ	l	0.6
ˈœˀ	ˈoː	0.545
j	-	0.545
w	-	0.538
ˈe	ˈɪ	0.529
ˈʌ	ˈuː	0.5
ˈøː	ˈoː	0.5
ˈøː	-	0.5
ˈyː	j_ˈoː	0.5
ˈyː	j	0.5
ˈu	ˈʊ	0.5
ˈu	-	0.5
ˈɛ	-	0.467
<#	<#_v	0.462
ˈœˀ	-	0.455
j	k	0.455
ð̞ˠ	t	0.441
ˈiː	ˈiː	0.429
ˈiː	-	0.429
ð̞ˠ	d	0.412
ˈo	v	0.4
ʦʰ	t_v	0.4
ɐˀ	d_ə	0.4
ŋ	-	0.4
nˀ	n	0.364
ˈɑˀ	ˈɛɪ̯_d	0.333
ˈa	-	0.333
ɐ	r	0.304
ˈiˀ	-	0.3
ˈeˀ	-	0.3
ˈe	-	0.294
ˈœ	ˈʊ	0.286
ˈɛ	ˈɛ	0.267
ɐ	ə_r	0.261
ˈyˀ	ˈoː	0.25
ˈuˀ	-	0.25
ˈoˀ	-	0.25
#>	x_#>	0.235
b̥	p	0.231
<#	<#_ˈa	0.231
ˈɑ	ˈɔː	0.222
ˈa	ˈɛː_r	0.222
ˈa	ˈɛ	0.222
ˈa	ˈoːu̯	0.222
#>	ə_#>	0.206
ˈʌ	ˈoːu̯	0.2
ˈʌ	-	0.2
ˈuː	ˈøː	0.2
ɡ̊	j	0.2
lˀ	l_v	0.2
lˀ	l_d	0.2
d̥	x_t	0.2
ˈe	ˈiː	0.176
ʋ	-	0.158
w	ˈoː_ɣ	0.154
w	ɣ	0.154
w	f	0.154
<#	<#_j	0.154
<#	<#_d	0.154
#>	k_#>	0.147
ˈiː	ˈeːu̯	0.143
ˈɛ	ˈɔː	0.133
ˈɛ	ˈɔ	0.133
ɐ	ˈɔː_r	0.13
ɐ	ˈuː_r	0.13
#>	n_#>	0.118
ˈʌ	ˈœː	0.1
ˈeˀ	ˈiːu̯	0.1
ɡ̊	x	0.1
ð̞ˠ	t_ə	0.088
#>	ˈoː_#>	0.088
#>	d_#>	0.088
ɐ	ə	0.087
ɐ	-	0.087
ð̞ˠ	ˈi_t	0.059
#>	r_#>	0.059
#>	l_#>	0.059
