Eastphalian	Ripuarian	probability
b	b	0.949
b	-	0.053
b_m	f	1.0
d	d	0.612
d	t	0.243
d	k	0.139
f	f	1.0
h	h	1.0
j	j	0.66
j	ɣ	0.11
j	ɕ	0.103
j	-	0.079
k	k	0.562
k	ɕ	0.286
k	x	0.109
k	h	0.045
l	l	1.0
m	m	0.899
m	v	0.06
m	n	0.044
n	n	0.53
n	ə	0.319
n	ŋ	0.148
p	p	0.601
p	f	0.393
r	ʀ	0.957
r	-	0.047
s	ʃ	0.55
s	s	0.33
s	z	0.112
t	t	0.396
t	s	0.246
t	ʦ	0.232
t	-	0.103
t	k	0.028
v	ʋ	0.807
v	v	0.134
v	-	0.051
w	ʋ	0.461
w	ˈœ	0.304
w	ˈɛ	0.17
x	x	0.631
x	-	0.142
x	ɕ	0.142
x_t	x	1.0
z	z	0.905
z	-	0.094
z_ə	s	1.0
ç	ɕ	1.0
ŋ	ŋ	0.875
ŋ	ə	0.123
ɐ	ɐ	0.931
ɐ	-	0.039
ɐ	ʀ	0.035
ɐ_n	n	1.0
ɐ_t	ʦ	1.0
ə	-	0.937
ə	ə	0.062
ɡ	ɣ	1.0
ɣ	j	0.597
ɣ	ɕ	0.107
ɣ	k	0.079
ɣ	ɣ	0.079
ɣ	x	0.063
ɪ	ə	0.723
ɪ	ɪ	0.202
ʃ	ʃ	1.0
ˈa	ˈa	0.539
ˈa	ˈaː	0.225
ˈa	ˈɛː	0.141
ˈa	ˈɛ	0.084
ˈaʊ̯	ˈoː	1.0
ˈaː	ˈaː	0.265
ˈaː	ˈoː	0.265
ˈaː	ˈɛ	0.265
ˈaː	ˈa	0.161
ˈeo̯	ˈuː	0.69
ˈeo̯	ˈoː	0.278
ˈeː	ˈɛ	0.359
ˈeː	ˈɛː	0.266
ˈeː	ˈɪ	0.153
ˈeː	ˈiː	0.106
ˈeː	ˈʏ	0.074
ˈiː	ˈiː	0.379
ˈiː	ˈɪ	0.167
ˈiː	ˈeɪ̯	0.11
ˈiː	ˈeː	0.11
ˈiː	ˈɔʏ̯	0.085
ˈoː	ˈaʊ̯	0.238
ˈoː	ˈʏ	0.22
ˈoː	ˈɔ	0.133
ˈoː	ˈʊ	0.075
ˈoː_ɐ	ˈoː	0.238
ˈuː	ˈuː	0.402
ˈuː	ˈaʊ̯	0.259
ˈuː	ˈu	0.107
ˈuː	ˈyː	0.107
ˈuː	ˈoː	0.072
ˈyː	ˈyː	0.644
ˈyː	ˈøː	0.238
ˈøː	ˈyː	0.683
ˈøː	ˈøː	0.22
ˈœ	ˈe	0.238
ˈœ	ˈɛ	0.238
ˈœ	ˈœ	0.153
ˈɒː	ˈoː	0.449
ˈɒː	ˈaː	0.346
ˈɒː	ˈøː	0.082
ˈɒː	ˈɔ	0.062
ˈɒː	ˈa	0.048
ˈɔ	ˈɔ	0.357
ˈɔ	ˈa	0.26
ˈɔ	ˈo	0.173
ˈɔ	ˈu	0.151
ˈɔ	ˈaʊ̯	0.054
ˈɔʏ̯	ˈøː	0.794
ˈɔʏ̯	ˈyː	0.161
ˈɛ	ˈɛː	0.31
ˈɛ	ˈɪ	0.243
ˈɛ	ˈaː	0.103
ˈɛ	ˈɛ	0.103
ˈɛ	ˈa	0.101
ˈɛ_s	s	1.0
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈeː	0.729
ˈɛɪ̯	ˈiː	0.159
ˈɛɪ̯	ˈeɪ̯	0.089
ˈɛː	ˈɛː	0.272
ˈɛː	ˈa	0.165
ˈɛː	ˈaː	0.165
ˈɛː	ˈiː	0.165
ˈɛː	ˈɛ	0.07
ˈɪ	ˈe	0.313
ˈɪ	ˈɪ	0.192
ˈɪ	ˈɛ	0.171
ˈɪ	ˈeː	0.108
ˈɪ	ˈa	0.094
ˈʊ	ˈo	0.383
ˈʊ	ˈɔ	0.361
ˈʊ	ˈoː	0.233
ˈʏ	ˈœ	0.583
ˈʏ	ˈʏ	0.398
