Eastphalian	Ripuarian	probability
b	b	0.927
b	-	0.073
d	d	0.625
d	t	0.248
d	k	0.107
f	f	1.0
h	h	1.0
j	j	0.769
j	ɣ	0.13
j	ɕ	0.073
k	k	0.646
k	ɕ	0.252
k	x	0.099
l	l	0.997
m	m	0.917
m	v	0.054
n	n	0.531
n	ə	0.29
n	ŋ	0.176
p	f	0.511
p	p	0.489
r	ʀ	0.98
s	ʃ	0.504
s	s	0.445
s	z	0.05
t	t	0.415
t	s	0.305
t	ʦ	0.252
v	ʋ	0.832
v	v	0.152
w	ʋ	0.735
w	-	0.165
w	ˈœ	0.1
x	x	0.673
x	-	0.27
x	ɕ	0.058
z	z	0.738
z	-	0.153
z	s	0.109
ç	ɕ	1.0
ŋ	ŋ	0.849
ŋ	j	0.151
ɐ	ɐ	0.915
ɐ	-	0.055
ə	-	0.456
ə	ə	0.444
ə	ˈeɪ̯	0.1
ɡ	ɣ	1.0
ɣ	j	0.645
ɣ	ɕ	0.135
ɣ	k	0.082
ɣ	-	0.074
ɪ	ə	0.781
ɪ	ɪ	0.219
ʃ	ʃ	0.957
ˈa	ˈa	0.691
ˈa	ˈaː	0.133
ˈa	ˈɛː	0.107
ˈa	ˈɛ	0.07
ˈaʊ̯	ˈoː	1.0
ˈaː	ˈoː	0.405
ˈaː	ˈaː	0.298
ˈaː	ˈa	0.152
ˈaː	ˈɛ	0.145
ˈeo̯	ˈuː	0.677
ˈeo̯	ˈoː	0.323
ˈeː	ˈɛ	0.391
ˈeː	ˈɛː	0.281
ˈeː	ˈɪ	0.16
ˈeː	ˈiː	0.104
ˈeː	ˈʏ	0.064
ˈiː	ˈiː	0.449
ˈiː	ˈɪ	0.178
ˈiː	ˈeɪ̯	0.11
ˈiː	ˈœ	0.088
ˈiː	ˈeː	0.074
ˈiː	ˈɔʏ̯	0.063
ˈoː	ˈɔ	0.39
ˈoː	ˈaʊ̯	0.251
ˈoː	ˈʏ	0.188
ˈoː	ˈʊ	0.17
ˈuː	ˈuː	0.413
ˈuː	ˈaʊ̯	0.282
ˈuː	ˈyː	0.117
ˈuː	ˈu	0.117
ˈyː	ˈyː	0.808
ˈyː	ˈøː	0.192
ˈøː	ˈyː	0.61
ˈøː	ˈøː	0.39
ˈœ	ˈe	0.374
ˈœ	ˈœ	0.33
ˈœ	ˈɛ	0.296
ˈɒː	ˈaː	0.42
ˈɒː	ˈoː	0.385
ˈɒː	ˈɔ	0.082
ˈɒː	ˈøː	0.08
ˈɔ	ˈɔ	0.328
ˈɔ	ˈa	0.254
ˈɔ	ˈu	0.225
ˈɔ	ˈo	0.166
ˈɔʏ̯	ˈøː	0.88
ˈɔʏ̯	ˈyː	0.12
ˈɛ	ˈɛː	0.328
ˈɛ	ˈɪ	0.222
ˈɛ	ˈaː	0.144
ˈɛ	ˈɛ	0.128
ˈɛ	ˈa	0.082
ˈɛ	ˈe	0.055
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈeː	0.767
ˈɛɪ̯	ˈiː	0.155
ˈɛɪ̯	ˈeɪ̯	0.078
ˈɛː	ˈɛː	0.36
ˈɛː	ˈa	0.272
ˈɛː	ˈiː	0.234
ˈɛː	ˈaː	0.069
ˈɛː	ˈɛ	0.065
ˈɪ	ˈe	0.291
ˈɪ	ˈɪ	0.255
ˈɪ	ˈɛ	0.173
ˈɪ	ˈa	0.168
ˈɪ	ˈeː	0.059
ˈʊ	ˈo	0.631
ˈʊ	ˈɔ	0.143
ˈʊ	ˈuː	0.115
ˈʊ	ˈoː	0.111
ˈʏ	ˈœ	0.59
ˈʏ	ˈʏ	0.367
