Dutch	American English	probability
b	b	0.965
b	v	0.043
d	d	0.618
d	θ	0.263
d	ð	0.111
f	f	0.668
f	v	0.194
f	-	0.114
j	j	1.0
k	k	0.348
k	ʧ	0.314
k	kʰ	0.222
k	-	0.112
k_ə	k	1.0
l	l	0.477
l	ɫ	0.477
m	m	1.0
n	n	0.596
n	-	0.399
n_s	s	0.683
n_s	ʃ	0.221
n_t	θ	1.0
n_ˈeː	n	1.0
p	p	0.903
p	pʰ	0.089
s	s	0.667
s	ʃ	0.128
s	z	0.09
s	k_s	0.068
s	-	0.041
s_χ	ʃ	1.0
t	t	0.41
t	d	0.347
t	tʰ	0.096
t	ɫ_d	0.065
t	θ	0.057
t_ə	t	0.684
t_ə	ɾ	0.308
v	f	0.882
v	v	0.115
v_ə	v	0.49
w	ˈu	0.66
w	ˈoʊ̯	0.158
z	s	1.0
z_ə	z	0.393
z_ə	s	0.168
ŋ	ŋ	0.949
ŋ	-	0.05
ə	-	0.766
ə	ə	0.093
ə	ˈɛ	0.052
ə	ɪ	0.048
ə	oʊ̯	0.045
ə_f	v	0.49
ə_k	i	0.49
ə_ɫ	ɫ	1.0
ə_ɾ	ɚ	0.917
ə_ɾ	ɹ	0.071
ə_χ	i	1.0
ɦ	h	1.0
ɪ	ˈɪ	0.426
ɪ	i	0.102
ɫ	l	0.575
ɫ	ɫ	0.328
ɫ	-	0.062
ɫ	ˈoʊ̯	0.034
ɫ_ə	ɫ	0.49
ɾ	ɹ	0.643
ɾ	ɚ	0.265
ɾ	-	0.068
ɾ_ə	ɚ	0.323
ɾ_ə	ɹ	0.323
ɾ_ˈɔ	ɹ	0.24
ʋ	w	0.959
ʋ	ˈɔ	0.045
ˈaː	ˈi	0.338
ˈaː	ˈeɪ̯	0.205
ˈaː	ˈɛ	0.177
ˈaː	ˈɑ	0.099
ˈaː	ˈɝ	0.057
ˈeː	ˈɛ	0.257
ˈeː	ˈoʊ̯	0.232
ˈeː	ˈi	0.153
ˈeː	ˈɪ	0.113
ˈeː	ˈɛ_ð	0.099
ˈi	ˈi	0.485
ˈi	ˈɛ	0.139
ˈi	ˈaɪ̯	0.121
ˈi	-	0.07
ˈi	ˈɪ	0.07
ˈoː	ˈi	0.347
ˈoː	ˈɛ	0.181
ˈoː	ˈɔ	0.156
ˈoː	ˈʌ	0.083
ˈoː	-	0.076
ˈoː_χ	ˈaɪ̯	1.0
ˈu	ˈʌ	0.327
ˈu	ˈi	0.285
ˈu	ˈu	0.16
ˈu	ˈʊ	0.151
ˈu	ˈaʊ̯	0.055
ˈyː	ˈaɪ̯	0.66
ˈyː	ˈi	0.158
ˈøː	ˈoʊ̯	1.0
ˈœy̯	ˈaʊ̯	0.711
ˈœy̯	ˈaɪ̯	0.134
ˈœy̯	ˈɪ	0.101
ˈɑ	ˈæ	0.405
ˈɑ	ˈɑ	0.151
ˈɑ	ˈeɪ̯	0.124
ˈɑ	ˈu	0.085
ˈɑ	ˈɔ	0.074
ˈɑ_χ	ˈeɪ̯	0.49
ˈɑu̯	ˈoʊ̯	0.66
ˈɑu̯	ɫ	0.322
ˈɔ	ˈʌ	0.275
ˈɔ	ˈɑ	0.248
ˈɔ	ˈʊ	0.129
ˈɔ	ˈaʊ̯	0.118
ˈɔ	-	0.064
ˈɔ_ɾ	ɹ	1.0
ˈɛ	ˈɪ	0.231
ˈɛ	ˈɛ	0.152
ˈɛ	ˈeɪ̯	0.132
ˈɛ	ˈɑ	0.132
ˈɛ	ˈæ	0.1
ˈɛi̯	ˈaɪ̯	0.446
ˈɛi̯	ˈi	0.265
ˈɛi̯	ˈoʊ̯	0.156
ˈɛi̯	ˈɪ	0.094
ˈɪ	ˈɪ	0.581
ˈɪ	ˈaɪ̯	0.375
ˈɪ	ˈɛ	0.049
ˈʏ	ˈɪ	1.0
χ	-	0.381
χ	ɡ	0.37
χ	ʤ	0.132
χ	f	0.063
χ	j	0.048
χ_t	t	1.0
χ_ə	ˈaɪ̯	0.49
