Dutch	American English	probability
b	b	0.995
d	d	0.577
d	θ	0.325
d	ð	0.098
f	f	0.741
f	v	0.22
i	i	1.0
j	j	1.0
k	k	0.489
k	ʧ	0.322
k	kʰ	0.181
m	m	0.988
n	n	0.941
n	-	0.059
p	p	0.924
p	pʰ	0.067
s	s	0.45
s	ʃ	0.315
s	k_s	0.102
s	z	0.071
s	-	0.062
t	ʔ	0.335
t	d	0.289
t	t	0.112
t	tʰ	0.094
t	θ	0.077
v	f	0.807
v	v	0.176
w	ˈu	0.81
w	ˈoʊ̯	0.19
z	s	0.935
z	z	0.065
ŋ	ŋ	0.878
ŋ	-	0.122
ə	-	0.621
ə	ɚ	0.218
ə	ə	0.076
ɦ	h	1.0
ɪ	i	0.5
ɪ	ˈɪ	0.5
ɫ	l	0.599
ɫ	ɫ	0.357
ɾ	ɹ	0.628
ɾ	ɚ	0.241
ɾ	-	0.061
ʋ	w	0.954
ˈaː	ˈeɪ̯	0.203
ˈaː	ˈi	0.19
ˈaː	ˈɛ	0.174
ˈaː	ˈɑ	0.127
ˈaː	ˈʌ	0.105
ˈaː	-	0.104
ˈeː	ˈoʊ̯	0.328
ˈeː	ˈɛ	0.311
ˈeː	ˈi	0.158
ˈi	ˈi	0.439
ˈi	ˈɛ	0.17
ˈi	ˈaɪ̯	0.113
ˈi	ˈɔ	0.085
ˈi	ˈɪ	0.059
ˈoː	ˈi	0.336
ˈoː	ˈɔ	0.213
ˈoː	ˈʌ	0.176
ˈoː	ˈɛ	0.085
ˈoː	-	0.074
ˈoː	ˈaɪ̯	0.054
ˈu	ˈi	0.366
ˈu	ˈu	0.265
ˈu	ˈʌ	0.194
ˈu	ˈʊ	0.144
ˈyː	ˈaɪ̯	0.433
ˈyː	ˈi	0.433
ˈyː	ˈaʊ̯	0.134
ˈøː	ˈoʊ̯	1.0
ˈœy̯	ˈaʊ̯	0.499
ˈœy̯	ˈʌ	0.277
ˈœy̯	ˈaɪ̯	0.177
ˈɑ	ˈæ	0.431
ˈɑ	ˈɑ	0.149
ˈɑ	ˈeɪ̯	0.113
ˈɑ	ˈu	0.112
ˈɑ	ˈʌ	0.072
ˈɑ	ˈɔ	0.058
ˈɑu̯	ˈoʊ̯	0.673
ˈɑu̯	ɫ	0.158
ˈɑu̯	ˈu	0.158
ˈɔ	ˈʌ	0.467
ˈɔ	ˈɑ	0.113
ˈɔ	ˈaʊ̯	0.099
ˈɔ	-	0.093
ˈɔ	ˈɝ	0.069
ˈɔ	ˈɔ	0.066
ˈɔ	ˈʊ	0.053
ˈɛ	ˈɛ	0.246
ˈɛ	ˈɪ	0.187
ˈɛ	ˈɑ	0.149
ˈɛ	ˈɝ	0.13
ˈɛ	-	0.074
ˈɛ	ˈɔ	0.074
ˈɛ	ˈæ	0.064
ˈɛi̯	ˈaɪ̯	0.385
ˈɛi̯	ˈi	0.181
ˈɛi̯	ˈoʊ̯	0.147
ˈɛi̯	ˈʌɪ̯	0.135
ˈɛi̯	ˈɪ	0.067
ˈɛi̯	ˈu	0.06
ˈɪ	ˈɪ	0.629
ˈɪ	ˈaɪ̯	0.22
ˈɪ	ˈʌɪ̯	0.057
ˈɪ	ˈɛ	0.052
ˈʏ	ˈɪ	0.868
ˈʏ	ˈʌ	0.132
χ	-	0.468
χ	ʤ	0.224
χ	ɡ	0.183
χ	j	0.072
