Danish	Old West Norse	probability
ˈɛː	-	1.0
ˈɔː	ˈɑː	1.0
ˈɔˀ	ˈɑː	1.0
ˈɔ_b̥	pː	1.0
ˈɔ	ˈo	1.0
ˈɒː	-	1.0
ˈɒˀ	ˈɑː	1.0
ˈɑː	-	1.0
ˈœː	ˈøː	1.0
ˈy	ˈy	1.0
ˈu	ˈu	1.0
ˈi	-	1.0
ˈeː	ˈɛ	1.0
ʨ	θ	1.0
ʁ	r	1.0
ɕ	s	1.0
ɐˀ	r	1.0
ɐ_ð̞ˠ	ɾ	1.0
ŋˀ	ŋ_ɡ	1.0
wˀ	v	1.0
pʰ	pʰ	1.0
mˀ	-	1.0
m	m	1.0
jˀ	ɣ	1.0
i	i_ɡ	1.0
h	h	1.0
f	f	1.0
s	s	0.92
l	l	0.864
ˈoˀ	ˈoː	0.818
ˈiˀ	ˈiː	0.798
ˈuˀ	ˈuː	0.794
ʋ	v	0.783
b̥	b	0.734
ə	ɑ	0.684
ˈɑˀ	ˈɑ_r	0.667
ˈo	ˈo	0.603
ˈɛˀ	-	0.6
ˈøˀ	-	0.6
nˀ	n_d	0.598
ˈeˀ	ˈɛi̯	0.595
ˈoː	ˈoː	0.593
w	v	0.591
ˈæ	ˈɑ	0.588
ʦʰ	θ	0.584
d̥	t	0.584
kʰ	kʰ	0.574
ˈiː	-	0.571
n	n	0.56
ˈuː	ˈuː	0.553
ˈœˀ	-	0.549
ˈe	ˈi	0.517
ŋ	ŋ_ɟ	0.51
ˈøː	ˈøː	0.5
ˈøː	ˈøy̯	0.5
ˈyː	j_ˈoː	0.5
ˈyː	j	0.5
ˈyˀ	ˈyː	0.5
ŋ	ŋ	0.49
ˈœˀ	ˈɑu̯	0.451
ˈuː	-	0.447
ˈɛ	ˈe	0.434
ð̞ˠ	t	0.43
ˈiː	ˈiː	0.429
kʰ	cʰ	0.426
ˈœ	-	0.416
ʦʰ	tʰ	0.416
d̥	tː	0.416
ˈoː	-	0.407
n	nː	0.406
ˈɑ	ˈɑ	0.403
nˀ	nː	0.402
ˈɛˀ	ˈeː	0.4
ˈøˀ	ˈɑu̯	0.4
ˈo	-	0.397
lˀ	l	0.385
ˈø	ˈy	0.371
j	j	0.366
ˈø	-	0.354
ˈʌ	-	0.344
ˈœ	ˈy	0.338
ɐ	r	0.336
ˈɛ	ˈɑ	0.333
ˈɑˀ	-	0.333
ˈɑ	-	0.324
ð̞ˠ	ð	0.311
lˀ	lː	0.308
ɡ̊	c	0.291
ˈʌ	ˈu	0.29
ˈø	ˈøː	0.274
ˈɑ	ˈe	0.273
b̥	p	0.266
ˈæ	-	0.256
ˈyˀ	j_ˈuː	0.25
ˈyˀ	j_ˈoː	0.25
ˈœ	ˈo	0.247
ˈɛ	-	0.233
ɡ̊	ɡː	0.225
ˈʌ	ˈɑ	0.221
ˈe	-	0.207
ˈuˀ	-	0.206
ˈiˀ	-	0.202
ˈeˀ	-	0.193
j	-	0.189
j	r̥	0.188
ɡ̊	k	0.187
ɐ	r̥ː	0.187
ˈoˀ	ˈyː_r̥	0.182
lˀ	l_d	0.177
ɐ	r̥	0.174
ð̞ˠ	t_r̥	0.169
ə	a	0.167
w	ɣ	0.166
ˈæ	ˈɔ	0.156
w	ˈuː_ɣ	0.153
j	k	0.149
ˈʌ	ˈɔː	0.145
ʋ	x_w	0.145
ɡ̊	kː	0.144
ˈe	ˈɛ	0.142
ˈe	ˈe	0.135
lˀ	l_v	0.131
ˈeˀ	ˈɛː	0.108
j	k_r̥	0.108
ɡ̊	ɟː	0.106
ˈeˀ	ˈɑː	0.104
ð̞ˠ	ð_r̥	0.09
w	-	0.09
ɐ	r_ɑ	0.087
ə	u	0.077
l	lː	0.077
ɐ	i_r̥	0.074
ɐ	i	0.074
ʋ	v_ˈe	0.072
ɐ	r_i	0.067
l	l̥	0.059
