Sicilian	Sicilian	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈo	1.0
ˈu_tː	ˈo_ð	1.0
ˈo	ˈo	1.0
ˈi_n	ˈi_ɲ	1.0
ˈe	ˈe	1.0
ˈa_t	ˈa_ð	1.0
ʦː	θ	1.0
ʦ	-	1.0
ʤː	-	1.0
ʤ	ʃ	1.0
ʐː	r	1.0
ʐ	r	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ_ɽ	t_ɾ	1.0
ʃː_ɪ	θ_ˈe	1.0
ʃ	e_s	1.0
ɾ_ɪ_#>	#>	1.0
ɾ_n	ɾ_n	1.0
ɾ_a	ɾ_ɐ	1.0
ɽ	-	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_#>	#>	1.0
ɟː	ɟ	1.0
ɖː	l	1.0
ɕ_ɪ_#>	θ_#>	1.0
ŋ	ŋ	1.0
ç	ʧ	1.0
z	-	1.0
v_ˈa	β_ˈa	1.0
sː	s	1.0
s	s	1.0
r_s	l_s	1.0
r_k	ɾ_k	1.0
r	ɾ	1.0
o	ɔ	1.0
n_ˈa	n_a	1.0
n_ʊ	ŋ	1.0
n_ɪ	ŋ	1.0
n_a_#>	#>	1.0
mː	m	1.0
m_ʊ	m_ɪ	1.0
m	m	1.0
l_ˈa	ˈa	1.0
l_ɪ_#>	l_#>	1.0
kː	k	1.0
k_a	k_a	1.0
j_#>	s_#>	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d	d	1.0
cː	ɟ	1.0
c	ʧ	1.0
bː	β	1.0
a_t	a_ð	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#_ʃ	1.0
<#_a	<#	1.0
ɾ	ɾ	0.927
ʊ	ʊ	0.919
ɕ	θ	0.857
a	ɐ	0.851
b	b	0.846
ˈɛ	ˈɛ	0.808
p	p	0.795
<#_ˈa	<#_ˈa	0.778
k	k	0.765
nː	n	0.75
l	l	0.727
ˈa	ˈa	0.724
t	t	0.71
w	w	0.692
ɡ	ɡ	0.667
u	o	0.667
j	-	0.667
v	b	0.655
n	n	0.619
ˈɔ	ˈɔ	0.607
tː	j_t	0.6
ˈi	ˈe	0.574
i	e	0.545
ʃː	j_ʃ	0.5
ʃː	-	0.5
<#	<#_i	0.5
<#	<#_a	0.5
#>	ð_ɪ_#>	0.5
#>	s_#>	0.5
ɪ	ɪ	0.467
ˈu	ˈu	0.447
tː	t	0.4
ˈɔ	ˈo	0.393
ˈi	ˈi	0.383
ˈu	ˈo	0.34
ɡ	ɣ	0.333
u	u	0.333
j	ɾ	0.333
w	-	0.308
t	ð	0.29
n	-	0.286
v	β	0.276
l	-	0.273
i	i	0.273
nː	n_d	0.25
k	ɣ	0.235
<#_ˈa	<#_ˈo	0.222
p	β	0.205
ˈɛ	ˈe	0.192
i	-	0.182
ˈa	ˈɑ	0.172
b	-	0.154
ˈu	ˈɔ	0.149
ɕ	-	0.143
a	a	0.119
ɪ	ɾ	0.111
ɪ	j	0.111
ɪ	-	0.111
n	ɲ	0.095
ɪ	ˈe	0.089
ɾ	l	0.073
v	-	0.069
ɪ	s	0.067
ˈu	-	0.064
ʊ	ɪ	0.058
ˈa	ˈe_j	0.052
ˈa	a	0.052
