Italian	Emilian	probability
a	a	0.921
a	-	0.063
b	b	0.797
b	-	0.151
b	s	0.053
d	d	0.923
d	-	0.053
e	-	0.838
e	e	0.13
f	f	1.0
i	-	0.53
i	i	0.467
i_k	ɡ	1.0
i_m	m	1.0
j	j	0.574
j	-	0.39
j_o	i	1.0
j_ˈɛ	ˈa	0.22
j_ˈɛ	ˈɛː	0.11
k	k	0.709
k	-	0.175
k	ʧ	0.08
k_j	ʧ	1.0
k_o	k	0.538
k_o	ɡ	0.457
l	l	0.741
l	-	0.228
m	m	0.849
m	-	0.099
m	ŋ	0.053
m_i	m	0.503
n	n	0.501
n	ŋ	0.398
n_o	ŋ	0.833
n_o	n	0.158
n_w	n	0.253
o	-	0.826
o	u	0.098
o_n	ɲ	1.0
p	p	0.851
p	v	0.146
p_e	v	1.0
p_o	p	1.0
r	r	0.957
s	s	0.839
s	-	0.122
s_o	s	1.0
t	t	0.665
t	-	0.216
t	d	0.1
u	u	1.0
v	v	0.964
w	w	0.474
w	-	0.272
w	v	0.136
w	ˈʌ	0.101
w_ˈɔ	ˈɔː	0.646
w_ˈɔ	ˈuː	0.334
z	-	0.253
z_o	z	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɡ_j	ʤ	1.0
ɲ	ɲ	0.889
ɲ	-	0.089
ɲ_a	a	0.891
ɲ_a	ɲ	0.073
ɲ_o	ɲ	0.064
ʃ	s	0.693
ʃ	-	0.224
ʃ_e	e	1.0
ʎ	j	0.488
ʎ	-	0.252
ʎ	ˈɔː_l	0.107
ʎ	ˈe	0.074
ʎ	ˈɔː	0.057
ʎ_a	a	1.0
ʎ_o	j	0.253
ʣ	-	0.74
ʣ	ð	0.142
ʤ	ð	0.614
ʤ	ʤ	0.129
ʤ	-	0.121
ʤ	f	0.074
ʤ	v	0.053
ʦ	θ	0.822
ʦ	-	0.116
ʧ	θ	0.466
ʧ	z	0.312
ʧ	-	0.141
ˈa	ˈɛ	0.497
ˈa	ˈaː	0.258
ˈa	ˈa	0.233
ˈa_t	ˈɛː	0.574
ˈa_t	ˈaː	0.289
ˈe	ˈa	0.348
ˈe	ˈa_j	0.256
ˈe	ˈe	0.107
ˈe	ˈiː	0.099
ˈe	ˈæ	0.063
ˈe_ɲ	ˈa	1.0
ˈi	ˈe	0.501
ˈi	ˈiː	0.319
ˈi	ˈi	0.128
ˈi_ʎ	j	1.0
ˈo	ˈʌu̯	0.359
ˈo	ˈʌ	0.268
ˈo	ˈo	0.159
ˈo	ˈuː	0.091
ˈo	ˈaː	0.06
ˈu	ˈo	0.537
ˈu	ˈuː	0.335
ˈu	ˈʌu̯	0.05
ˈɔ	ˈɔ	0.403
ˈɔ	ˈɔː	0.401
ˈɔ	ˈo	0.092
ˈɔ	ˈuː	0.053
ˈɛ	ˈɛ	0.597
ˈɛ	ˈæ	0.115
ˈɛ	ˈɛː	0.096
ˈɛ	ˈiː	0.084
