English	English	probability
ˈɪ_ə	ʕ	1.0
ˈɛ_ə	ʕ	1.0
ˈɛ	-	1.0
ˈiː_n	eə̯	1.0
ˈe_n	n	1.0
ˈaɪ̯_d	ˈəi̯_d	1.0
ʤ	ɡ	1.0
ʃ	ʃ	1.0
ɹ	ʁ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ɜː	ʁ_ˈae̯	1.0
əʊ̯	-	1.0
ə_n	a	1.0
ə	ʌ	1.0
ŋ_ɡ	ŋ	1.0
ð	d	1.0
z	s	1.0
tʰ	ʦ	1.0
s_t	ʃ_d	1.0
pʰ	p͡f	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
b	b	1.0
<#_θ	<#_d	1.0
d	d	0.933
w	ʋ	0.92
ˈuː	-	0.875
ŋ	ŋ	0.875
n	n	0.848
s	s	0.784
ˈɜː	-	0.667
ˈæ	ˈa	0.667
p	f	0.667
θ	d	0.6
ˈɒ	-	0.571
ˈaʊ̯	ˈao̯	0.571
ˈʊ	ˈuə̯	0.5
ˈʊ	ˈo	0.5
ʧ	ç	0.5
ʧ	kʰ	0.5
t	s	0.452
ˈeɪ̯	ˈa	0.444
v	b	0.444
ˈɒ	ˈa	0.429
ˈəʊ̯	ˈɔe̯	0.412
θ	-	0.4
#>	ɡ_a_#>	0.4
#>	ɡ_#>	0.4
ˈe	ˈɛ	0.348
ˈaɪ̯	ˈəi̯	0.348
ˈɜː	ˈʌ	0.333
ˈɔː	ˈɔ_ʕ	0.333
ˈɔː	ˈi	0.333
ˈɔː	ˈa_ʕ	0.333
ˈɐ	ˈo	0.333
ˈæ	-	0.333
ˈeɪ̯	ˈaː	0.333
v	f	0.333
p	f_a	0.333
k	ɡ	0.333
ˈaʊ̯	-	0.286
ˈiː	-	0.269
k	ç	0.267
ˈe	-	0.261
ˈɪ	ˈi	0.24
ˈɪ	ˈe	0.24
ˈəʊ̯	ˈae̯	0.235
ˈeɪ̯	ɡ	0.222
v	b_a	0.222
s	ʃ	0.216
ˈɑː	ˈɛ_ʕ	0.2
ˈɑː	ˈa_ʕ	0.2
ˈɑː	ˈa_l	0.2
ˈɑː	ˈa	0.2
ˈɑː	-	0.2
k	ɡ_a	0.2
k	x	0.2
#>	ʌ_#>	0.2
t	ʦ	0.194
ˈəʊ̯	ˈa	0.176
ˈəʊ̯	-	0.176
ˈe	ˈoː	0.174
ˈɐ	ˈu	0.167
ˈɐ	ˈoː	0.167
ˈɪ	ˈɪ	0.16
ˈiː	ˈiə̯	0.154
ˈaʊ̯	ˈuː	0.143
ˈe	ˈɔe̯	0.13
ˈaɪ̯	ˈɛ	0.13
ˈaɪ̯	ˈi	0.13
ˈaɪ̯	ˈae̯	0.13
t	x_d	0.129
t	s_a	0.129
ˈɐ	ˈao̯	0.125
ˈɐ	-	0.125
ˈuː	ˈɔə̯	0.125
ŋ	i	0.125
ˈɪ	ˈeː	0.12
ˈiː	ˈi	0.115
n	a	0.091
ˈe	ˈeə̯	0.087
ˈaɪ̯	ˈiə̯	0.087
ˈaɪ̯	ɡ_a	0.087
ˈaɪ̯	-	0.087
ˈɐ	ˈuə̯	0.083
ˈɪ	ˈɛː	0.08
ˈɪ	ˈəi̯	0.08
ˈɪ	ˈu	0.08
w	-	0.08
ˈiː	ˈɔː	0.077
ˈiː	ˈoː	0.077
ˈiː	ˈiː	0.077
ˈiː	ˈeː	0.077
ˈiː	ˈao̯	0.077
ˈiː	ˈae̯	0.077
d	t	0.067
t	ç_d	0.065
n	-	0.061
