Spanish	Campidanese	probability
β_ˈe	ˈi	1.0
β_o	u	1.0
β_e	i	1.0
ˈu	ˈu	1.0
ˈi_ɾ	i	1.0
ˈi_n	ˈi_n	1.0
ˈa_ɾ	ˈa_i	1.0
ʧ	t	1.0
ɾ_o	u	1.0
ɾ_n	r	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
u	u	1.0
t_e	t_i	1.0
t_a	t_a	1.0
s_ˈo	z_ˈa	1.0
r	r	1.0
p_o	p_ˈo	1.0
p	p	1.0
o_l	ɔ_l	1.0
l_o	l_u	1.0
i	i	1.0
f	f	1.0
e_s	s	1.0
e_n	ˈɛ	1.0
d	d	1.0
b_ɾ	i_n	1.0
k	k	0.977
n	n	0.959
m	m	0.954
a	a	0.954
ˈa	ˈa	0.935
b	b	0.86
o	u	0.785
ɾ_a	ɾ_a	0.77
ˈi	ˈi	0.768
ð	ð	0.765
s	s	0.762
ɣ	ɣ	0.756
j_ˈe	ˈɛ	0.693
l	l	0.655
ʝ	ɖː	0.599
t	t	0.599
ɾ	ɾ	0.591
β	β	0.565
θ	ʒ	0.56
ɲ	n_ʤ	0.56
e	i	0.547
w_ˈe	ˈɔ	0.505
w	ˈu	0.5
w	w	0.5
w_ˈe	ˈo	0.495
x	ɭː	0.475
j	-	0.45
ʝ	-	0.401
ˈo	ˈɔ	0.396
ˈe	ˈi	0.396
ɟ͡ʝ	p	0.351
ɟ͡ʝ	ʤ	0.325
ɟ͡ʝ	k_ɾ	0.325
j_ˈe	ˈe	0.307
ˈo	ˈu	0.304
x	-	0.298
j	j	0.283
ˈe	ˈɛ	0.279
ɲ	nː	0.27
j	ˈɛ	0.267
ˈo	ˈo	0.264
ɾ	ɾ_i	0.26
ɣ	-	0.244
s	z	0.238
β	-	0.237
ɾ_a	a	0.23
t	-	0.23
x	ɣ	0.227
θ	-	0.18
t	t_ɛ	0.171
ɲ	ɲ	0.17
e	-	0.159
θ	ʃ	0.156
ð	d	0.148
e	a	0.146
b	-	0.14
l	i	0.133
ˈe	i	0.125
l	-	0.123
β	ɛ	0.108
ˈe	ˈe	0.105
ˈe	ˈa	0.095
ˈi	f_ˈi	0.094
β	u	0.09
l	ɖː	0.089
ˈi	i	0.087
ð	t	0.086
o	-	0.085
e	ɛ	0.077
o	ɔ	0.07
e	f	0.07
ˈa	i	0.065
θ	k	0.052
ɾ	ɾ_j	0.052
θ	ʦ	0.051
ˈi	ˈe	0.051
