Aromanian	Logudorese	probability
e̯a	-	1.0
z	-	1.0
ç	f	1.0
f	sː	0.081
j	e	0.051
k	k	0.61
p	p	0.691
r	r	0.731
s	z	0.091
u	o	0.231
w	u	0.081
ɡ	-	0.111
ɨ	ˈe	0.391
ɲ	-	0.071
ɲ	nː	0.121
ʃ	-	0.111
ʣ	-	0.101
ˈi	ˈi	0.491
ˈu	ˈo	0.391
b	v	0.082
d	-	0.442
e	e	0.872
i	i	0.102
j	ĕ	0.082
k	-	0.052
k	ɣ	0.242
l	l	0.482
r	l	0.112
u	u	0.592
v	-	0.082
v	β	0.082
ɨ	ˈo	0.382
ʦ	t	0.102
ʧ	-	0.292
ˈo	o	0.132
ˈu	ˈu	0.532
ˈɨ	ˈa	0.882
e̯ˈa	ˈi	0.43
i	a	0.073
m	m	0.83
n	-	0.163
p	b	0.103
r	rː	0.073
t	ð	0.303
ɡ	b	0.63
ʃ	s	0.843
ʣ	d	0.283
ʣ	ɡ	0.443
ʦ	-	0.183
ʦ	k	0.353
ˈa	ˈe	0.133
ˈe	ˈe	0.663
ˈo	ˈo	0.663
a	ˈa	0.194
a	-	0.54
j	j	0.084
j	ˈe	0.124
j	-	0.514
l	-	0.094
r	-	0.084
w	ˈu	0.134
w	e	0.274
ŋ	ŋ	0.504
ə	-	0.054
ʎ	ʣ	0.194
ʦ	ɣ	0.24
ˈə	ˈe	0.354
o̯ˈa	ˈa	0.255
o̯ˈa	ˈo	0.725
w	ɖː	0.115
ˈi	-	0.155
ˈɨ	ˈo	0.095
k	p	0.096
n	nː	0.06
p	f	0.06
s	s	0.856
t	t	0.46
v	b	0.836
ŋ	-	0.496
ʤ	j	0.196
ˈi	i	0.066
ˈə	rː	0.646
a	a	0.267
e̯ˈa	ˈe	0.527
i	e	0.687
j	z	0.07
j	ɲː	0.077
l	sː	0.057
w	j	0.207
ɨ	a	0.227
ʎ	l	0.157
ˈa	-	0.097
ˈe	ˈi	0.337
ˈo	ˈu	0.157
b	b	0.918
d	d	0.558
e	a	0.128
i	-	0.138
l	ɖː	0.098
t	k	0.148
ə	a	0.818
ʎ	r	0.58
ʦ	ð	0.068
ʧ	k	0.708
ˈi	ˈe	0.288
f	f	0.919
l	r	0.269
n	n	0.719
p	β	0.109
w	β	0.189
ə	e	0.089
ɡ	ɡ	0.259
ɲ	ʣ	0.109
ɲ	m	0.699
ʣ	b	0.069
ʤ	-	0.779
ˈa	ˈa	0.739
