Limburgish	Faroese	probability
b	b̥	1.0
v̥	v_ʊ	1.0
x	-	1.0
ɡ	-	1.0
ɡ̊	ɡ̊_ʊ	1.0
ʃ	ʃ	1.0
ˈi	ˈɔ̯aː	1.0
ˈiː	ˈʊ̯iː	1.0
ˈu	ˈɛːi̯	1.0
ˈuː	ˈʉːu̯	1.0
ˈæ	ˈœ	1.0
ˈœ	ˈɪ	1.0
ˈœi̯	ˈʊ	1.0
ˈœː	ˈɔ	1.0
ˈɒː	ˈɔ̯aː	1.0
ˈɔ	ˈʊ	1.0
ˈɔu̯	ˈɪ	1.0
ˈɔː	ˈɛːi̯	1.0
ˈɪ	ˈɛ	1.0
ˈɪː	ˈɪ	1.0
j	j	0.451
l	l_ʊ	0.091
m	m	0.681
t	t	0.371
ə	ʊ	0.141
ˈeː	ˈʉːu̯	0.091
ˈeː	ˈɛ	0.1
ˈɛː	ˈiː	0.101
ˈʊː	ˈɔːu̯	0.051
ˈʊː	ˈoː	0.061
ˈʊː	ˈɔ̯aː	0.1
n	n	0.682
v	f	0.702
z	s	0.832
ŋ	ŋ	0.482
ɦ	h	0.952
ˈeː	ˈuː	0.062
ˈeː	ˈeː	0.252
ˈæː	ˈɔ	0.422
ˈøː	ˈøː	0.682
ˈɛː	ˈai̯	0.592
l	l	0.683
m	m_j	0.063
n	n_ʊ	0.083
p	p	0.833
t	t_ʊ	0.173
ʀ	ɹ	0.823
ˈeː	ˈøː	0.123
ˈeː	ˈɔːu̯	0.13
ˈoː	ˈʊ	0.693
ˈɛ	ˈiː	0.283
ˈɛː	ˈaːi̯	0.243
d	tʰ	0.34
d	d̥	0.634
f	v	0.424
k	kʰ	0.404
l	t_l̥_ʊ	0.074
m	m_ʊ	0.24
n	nː	0.054
t	ʰtː	0.074
ə	a	0.54
ɣ	ɡ̊_v̥	0.064
ˈɛː	ˈœ	0.064
d̥	d̥_ʊ	0.475
j	l	0.125
l	t_l̥	0.075
s	s	0.825
t	ʰt	0.135
ɣ	ɡ̊	0.85
ˈɑ	ˈɔ	0.295
ˈɑː	ˈɔ	0.165
ˈɑː	ˈa	0.835
d̥	-	0.186
f	-	0.576
j	w	0.226
t	tʰ	0.206
ŋ	ɹ_#>	0.06
ɣ	ʤ̊	0.086
ʀ	ʊ_ɹ	0.056
ˈaː	-	0.106
ˈaː	ˈɛːa̯	0.396
ˈaː	ˈa	0.456
ˈʊː	ˈɔ	0.276
ˈʊː	ˈʊ	0.476
d̥	d̥	0.237
p	ʰp	0.167
ŋ	ŋ_ɡ̊	0.437
ə	ɪ	0.207
ˈeː	ˈɛːa̯	0.207
ˈoː	ˈɔːu̯	0.307
ˈɑ	ˈa	0.337
β	kʰ_v	0.137
β	v	0.857
n	-	0.18
s	s_k	0.098
v	v	0.298
z	ʃ	0.168
ˈæː	ˈa	0.578
ˈøː	ˈiː	0.318
ˈɑ	ˈɛːa̯	0.368
ˈɛ	ˈʊ̯iː	0.328
d̥	j_ʊ	0.059
j	-	0.199
k	k	0.059
k	ʧʰ	0.09
k	-	0.189
k	k_ʊ	0.209
ə	-	0.089
ʀ	-	0.069
ˈɛ	ˈɪ	0.099
ˈɛ	ˈɛ	0.29
