Limburgish	Faroese	probability
b	b̥	0.945
b	v	0.056
d	d̥	0.527
d	tʰ	0.354
d	ʤ̊	0.054
d	-	0.043
d	ʧʰ	0.031
d_ə	a	1.0
f	m	0.268
f	v	0.268
f	v_ʊ	0.186
f	-	0.162
j	-	0.245
j	w	0.206
j	j	0.175
j	l	0.129
j	ˈɔ̯aː	0.069
k	kʰ	0.303
k	k	0.232
k	ɡ̊_ʊ	0.18
k	ʤ̊	0.065
k	ʰʧ	0.065
l	l	0.655
l	l̥	0.116
l	l_ʊ	0.11
l	l̥_ʊ	0.047
l	ʎ	0.037
l_ə	l	0.574
l_ə	nː	0.278
m	m	0.707
m	m_ʊ	0.271
m	n	0.034
n	n	0.679
n	-	0.138
n	nː	0.138
n	n̥	0.032
n	ʤ̊	0.027
n_t	nː	1.0
p	ʰp	0.303
p	p	0.303
p	ɹ	0.136
p	tː	0.097
p	v	0.094
s	s	0.86
s	ʃ	0.101
s	sː	0.04
t	t	0.321
t	-	0.214
t	tʰ	0.102
t	ʰt	0.083
t	d̥_ʊ	0.073
v	f	0.731
v	v	0.186
v	d̥	0.044
v	-	0.04
w	ˈʊ	0.484
x	-	0.471
x	ʰtː	0.336
x	v_ʊ	0.176
z	s	0.955
z	ʃ	0.049
ŋ	ŋ	0.814
ŋ	ɡ̊	0.105
ŋ	ɲ	0.077
ŋ_k	ʰkː	1.0
ə	a	0.406
ə	-	0.238
ə	ɪ	0.113
ə	ʊ	0.064
ə	ɡ̊_ʊ	0.064
ə_k	k	0.683
ə_k	a	0.218
ə_l	l	0.484
ə_ʀ	a	0.366
ə_ʀ	n̥	0.177
ɡ	j	1.0
ɣ	ɡ̊	0.718
ɣ	ʤ̊	0.14
ɣ	ʧː	0.08
ɣ	ʧ	0.051
ɦ	h	0.974
ɦ	-	0.038
ɪ	ɛ	0.5
ɪ	ŋ	0.5
ɪː	ˈɪ	0.484
ʀ	ɹ	0.784
ʀ	-	0.043
ʀ	ʊ_ɹ	0.043
ʀ	ɹ_ʊ	0.042
ʀ	ɹ_a	0.032
ʀ_s	s	1.0
ʃ	ʃ	0.488
ʃ	f	0.28
ʃ	k	0.169
ˈaː	ˈɛːa̯	0.451
ˈaː	ˈa	0.379
ˈaː	ˈɛ	0.088
ˈaː	-	0.066
ˈeː	ˈeː	0.19
ˈeː	ˈɛːa̯	0.13
ˈeː	ˈuː	0.089
ˈeː	ˈiː	0.089
ˈeː	ˈɛ	0.089
ˈi	ˈɛːi̯	0.219
ˈi	ˈɔ̯aː	0.219
ˈi	ˈɛːa̯	0.219
ˈi	ˈɔːu̯	0.14
ˈi	ˈa	0.14
ˈi_x	ˈeː	1.0
ˈiː	ˈʊ̯iː	0.651
ˈiː	ˈɪ	0.122
ˈiː	ˈɔːu̯	0.089
ˈiː	ʊ̯ˈiː	0.089
ˈiː	ˈʊ	0.036
ˈoː	ˈɔːu̯	0.364
ˈoː	ˈuː	0.209
ˈoː	ˈɪ	0.209
ˈoː	ˈɔ	0.089
ˈoː	ˈʊ	0.059
ˈu	ˈɛːi̯	0.776
ˈu	ˈɔ̯aː	0.169
ˈuː	ˈʉːu̯	0.806
ˈuː	ˈʊ	0.112
ˈuː	ˈɔːi̯	0.054
ˈv	f	0.484
ˈyː	ɹː	0.206
ˈyː	ˈɔːi̯	0.206
ˈyː	ʊ	0.19
ˈyː	ˈʊ̯iː	0.114
ˈæ	ˈœ	0.561
ˈæ	ˈa	0.169
ˈæ	ˈɛːa̯	0.169
ˈæː	ˈa	0.629
ˈæː	ˈœ	0.361
ˈøː	ˈøː	0.384
ˈøː	ˈɔ	0.187
ˈøː	w	0.187
ˈøː	ˈʊ̯iː	0.09
ˈøː	ˈiː	0.08
ˈœ	ˈɪ	0.361
ˈœ	ˈœ	0.361
ˈœ	ˈɛːa̯	0.201
ˈœi̯	ˈʊ	0.271
ˈœi̯	ˈʊ̯iː	0.256
ˈœi̯	ˈɔːi̯	0.114
ˈœː	ˈɔ	1.0
ˈɑ	ˈɔ	0.257
ˈɑ	ˈɛːa̯	0.242
ˈɑ	ˈa	0.206
