Swiss German	Swiss German	probability
ˈøː	ˈeː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈuː	ˈao̯	1.0
ˈi_r	ˈʌ	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈao̯	1.0
ʒ̊	ʃ	1.0
ʋ	ʋ	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ə_r	ʌ	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋ	1.0
æ	eə̯	1.0
z̥	s	1.0
v̥	f	1.0
sː	s	1.0
r_ˈy	ʁ	1.0
r_n	ʕ_n	1.0
pː	b	1.0
m	m	1.0
l	l	1.0
kː	ɡ	1.0
j	j	1.0
h	h	1.0
fː	f	1.0
d̥_r	d_ʁ	1.0
d̥	d	1.0
b̥	b	1.0
<#_r	<#_ʁ	1.0
tː	d	0.945
ʦ	ʦ	0.938
n	n	0.875
ˈæi̯	ˈɔe̯	0.846
ˈiː	ˈəi̯	0.818
ɡ̊	ɡ	0.816
ˈɒ	ˈa	0.793
ˈoː	ˈoː	0.769
ə	a	0.722
p͡f	b̥͡f	0.667
ˈæ	ˈɛ	0.636
ˈuə̯	ˈuə̯	0.636
ˈæː	-	0.6
ˈiə̯	-	0.6
ˈeː	ˈeː	0.6
i	-	0.571
ˈu	ˈo	0.562
ˈyə̯	ˈuə̯	0.5
ˈyə̯	ˈiə̯	0.5
ˈy	ˈi	0.5
ˈy	-	0.5
χː	x	0.476
r	ʁ	0.439
ˈu	ˈu	0.438
ˈɒː	ˈɔː	0.429
ˈo	ˈɔ	0.429
ˈo	ˈo	0.429
r	ʕ	0.415
ˈi	ˈi	0.409
ˈæː	ˈɛː	0.4
ˈiə̯	ˈi	0.4
ˈeː	ˈae̯	0.4
ˈɒː	ˈaː	0.357
χː	ç	0.333
p͡f	p͡f	0.333
i	ɪ	0.286
ə	-	0.278
ˈuə̯	-	0.273
ˈyː	ˈəi̯	0.25
ˈyː	ˈae̯	0.25
ˈoː	-	0.231
ˈɒː	ˈa	0.214
χː	ɡ	0.19
ɡ̊	-	0.184
ˈæ	ˈɛː	0.182
ˈæ	-	0.182
ˈiː	ˈae̯	0.182
ˈi	ˈɪ	0.182
ˈi	ˈe	0.182
ˈyː	ˈiː	0.167
ˈyː	ˈiə̯	0.167
ˈyː	-	0.167
ˈæi̯	ˈae̯	0.154
r	ʌ	0.146
ˈo	ˈoː	0.143
i	i	0.143
ˈɒ	ˈaː	0.138
ˈi	ˈiː	0.136
n	-	0.125
ˈuə̯	ˈɔə̯	0.091
ˈi	-	0.091
ˈɒ	-	0.069
ʦ	ʣ	0.062
tː	t	0.055
