Franco-Provençal	Gascon	probability
d	d	1.0
k	k	1.0
p	p	1.0
z	z	1.0
ɔ	u	1.0
ɛ	e	1.0
ɲ	ɲ	1.0
ʒ	ʒ	1.0
ˈaː	ˈa	1.0
ˈɑː	ˈa	1.0
ˈɔ	ˈu	1.0
f	h	0.951
j	-	0.461
l	w	0.081
n	n	0.811
s	ʃ	0.11
ð	-	0.051
ð	ð	0.081
ð	ʒ	0.151
ˈa	ˈɛ	0.1
ˈe	ˈa	0.281
ˈoː	ˈu	0.101
ˈɔ̃	ˈy	0.31
ˈɛ	ˈe	0.361
b	b	0.872
e	e_s	0.812
l	l	0.692
ð	ɾ	0.522
ʃ	s	0.162
ʎ	l	0.112
ˈĩ	ˈi_ŋ	0.742
ˈoː	ˈa_w	0.12
ˈɛː	-	0.142
a	a	0.273
i	i	0.063
ˈu	ˈu	0.363
n	-	0.124
t	s_t	0.164
v	β	0.374
ɡ	ɣ	0.104
ˈe	ˈe_j	0.074
ˈɔ̃	ˈu	0.064
a	ɔ	0.65
n	ŋ	0.065
o	u	0.125
t	k	0.05
ð	r	0.155
ə	<#_a	0.185
ə	ɔ	0.435
ʃ	k	0.575
ˈo	<#_a	0.135
ˈø	-	0.245
ˈø	ˈu	0.755
ˈɑ̃	ˈa_m	0.065
ˈɔ̃	ˈu_n	0.175
ˈɔ̃	ˈu_ŋ	0.45
ˈɛː	ˈɛ	0.15
o	w	0.166
t	n_t	0.066
t	t	0.686
v	b	0.586
w	ˈɔ	0.06
w	ˈy	0.326
ɡ	ɡ	0.896
ʁ	r	0.446
ʁ	ɾ	0.486
ʃ	ʦ	0.166
ˈi	ˈɛ	0.16
ˈɑ̃	ˈa	0.106
ˈɛ̃	ɲ	0.566
i	ɔ	0.937
l	t	0.167
s	s	0.877
w	-	0.267
w	w	0.347
ʃ	-	0.097
ˈo	ˈy	0.127
ˈu	ˈy	0.637
ˈɛ̃	ˈe_n	0.167
b	β	0.128
e	e	0.188
m	m	0.908
ʎ	ʎ	0.888
ˈa	ˈa	0.88
ˈe	ˈi	0.098
ˈĩ	n	0.258
ˈɛ̃	ˈe_ŋ	0.158
j	j	0.539
o	e	0.709
ə	e	0.329
ˈe	-	0.069
ˈe	ˈe	0.159
ˈe	ˈɛ	0.319
ˈi	ˈe	0.29
ˈi	ˈi	0.549
ˈo	ˈu	0.739
ˈoː	ˈɔ	0.779
ˈɑ̃	ˈa_ŋ	0.829
ˈɛ	ˈɛ	0.639
ˈɛː	ˈe_j	0.109
ˈɛː	ˈe	0.599
ˈɛ̃	ˈe	0.109
