Yiddish	Old English	probability
ˈʊ_t	ˈoː_d	1.0
ˈɪ_ʀ	ˈeː	1.0
ˈɔ_ɡ	ˈæ_j	1.0
ˈɔ_b	bː	1.0
ˈa_ʀ	r	1.0
ˈa_n	ˈoː	1.0
ʧ	ʃː	1.0
ʃ_t	s_t	1.0
ʀ_ɛ	r	1.0
ʀ_ə	r	1.0
ɫ_d	ɫ_d	1.0
ɪ	i	1.0
ɡ_ʀ	ɡ_r	1.0
ɛ	-	1.0
ŋ	ŋ	1.0
s_t	s_t	1.0
p	-	1.0
m_ə	m_ɑ	1.0
k_ˈɛ	k	1.0
j	j	1.0
h	h	1.0
d_z	s	1.0
a	-	1.0
v	w	0.941
m	m	0.9
ʀ	r	0.89
z	s	0.869
ˈɛɪ̯	ˈɑː	0.861
t	d	0.749
f	f	0.704
ˈʊ	ˈu	0.668
n	n	0.664
ʦ	t	0.659
ə_ʀ	r_e	0.654
ɫ	l	0.64
b	b	0.617
ˈɔɪ̯	ˈæːɑ̯	0.566
s	t	0.565
k	k	0.549
ʃ	s	0.518
ˈɪ	ˈi	0.517
d	θ	0.517
ˈaɪ̯	ˈiː	0.501
ʃ	ʃ	0.482
ˈa	ˈɑ	0.469
b	v	0.383
ɡ	ɡ	0.378
ə	e	0.376
s	t_ɑ	0.376
ˈa	ˈæɑ̯	0.363
ə	ɑ	0.351
ˈɛ	ˈe	0.348
ə_ʀ	r	0.346
ʦ	tː	0.341
ɫ	ɫ	0.341
ˈɔɪ̯	ˈuː	0.326
ˈaɪ̯	ˈeːo̯	0.324
d	d	0.316
k	ʧ	0.309
f	p	0.296
χ	x	0.294
ˈɔ	ˈo	0.275
ə	o	0.259
χ	ç	0.246
χ	ʧ	0.221
ɡ	ɣ	0.217
ɡ	j	0.214
ˈʊ	ˈoː	0.204
n	ɑ_n	0.201
ˈɛ	ˈeo̯	0.194
ˈɔ	-	0.193
t	t	0.192
d	ð	0.168
ˈɛ	ˈiːy̯	0.161
ˈɪ	ˈeːo̯	0.156
ˈɛɪ̯	-	0.139
χ	ʧ_e	0.135
ˈɛ	-	0.134
ˈɔ	ˈu	0.134
z	z	0.131
ˈɔ	ˈæːɑ̯	0.128
ˈɔ	ˈæː	0.116
ʀ	-	0.11
ˈɔɪ̯	-	0.108
χ	xː	0.105
k	ʧː	0.101
m	-	0.1
ˈɪ	-	0.099
ɡ	ʤː	0.095
ˈaɪ̯	ˈyː	0.088
ˈaɪ̯	ˈiːy̯	0.087
ˈɛ	ˈɛ	0.085
ˈɪ	ˈeː	0.084
ˈɔ	ˈy	0.082
ˈɛ	ˈi	0.077
ˈʊ	ˈo	0.075
ˈa	ˈæ	0.075
ˈɔ	ˈæ	0.072
n	-	0.07
ˈɪ	ˈy	0.065
n	nː	0.065
v	h_w	0.059
t	θ	0.059
s	s	0.059
ˈʊ	-	0.054
ɡ	-	0.051
