Alsatian	Old English	probability
b̥	b	0.862
b̥	v	0.064
b̥	f	0.059
d̥	d	0.548
d̥	θ	0.318
d̥	ð	0.099
e	-	1.0
eː	iːy̯	1.0
f	f	0.667
f	p	0.217
f	-	0.07
h	h	1.0
i	i	0.778
i	-	0.116
i	e	0.106
j	j	0.823
j	ɣ	0.177
k	ʤ	0.448
k	k	0.337
k	ʧː	0.129
k	j	0.051
kʰ	ʧ	0.51
kʰ	k	0.427
kʰ	-	0.062
l	l	0.656
l	ɫ	0.276
m	m	0.823
m	w	0.082
m	-	0.068
n	n	0.844
n	-	0.078
p	p	1.0
p͡f	pː	0.5
p͡f	v	0.5
s	s	0.564
s	t	0.35
s	z	0.086
t	d	0.709
t	t	0.244
v	v	0.496
v	j	0.327
v	ʤː	0.177
w	w	1.0
x	ʧ	0.365
x	ç	0.323
x	x	0.312
ŋ	ŋ	1.0
ə	ɑ	0.504
ə	e	0.229
ə	o	0.194
ə	-	0.073
ɡ̊	ɡ	0.651
ɡ̊	j	0.259
ɡ̊	k	0.07
ʁ	r	0.837
ʁ	-	0.079
ʃ	s	0.328
ʃ	ʃ	0.323
ʃ	k	0.104
ʃ	x	0.084
ʃ	ʧ	0.072
ʋ	w	0.774
ʋ	ʍ	0.178
ʦ	t	0.968
ˈai̯	ˈiːy̯	1.0
ˈaː	ˈæ	0.679
ˈaː	ˈe	0.321
ˈe	ˈu	0.313
ˈe	ˈe	0.264
ˈe	ˈeo̯	0.216
ˈe	ˈi	0.128
ˈe	ˈo	0.078
ˈei̯	ˈeːo̯	0.488
ˈei̯	ˈiːy̯	0.322
ˈei̯	ˈiː	0.189
ˈeː	ˈiːy̯	0.406
ˈeː	ˈɑː	0.281
ˈeː	ˈeː	0.176
ˈeː	ˈæː	0.078
ˈeː	ˈe	0.059
ˈi	ˈi	0.642
ˈi	ˈeːo̯	0.152
ˈi	ˈyː	0.058
ˈiː	ˈeːo̯	0.26
ˈiː	ˈi	0.196
ˈiː	ˈeː	0.191
ˈiː	ˈiː	0.173
ˈiː	ˈyː	0.074
ˈiː	ˈiːy̯	0.068
ˈo	ˈo	0.635
ˈo	ˈu	0.3
ˈo	ˈæːɑ̯	0.065
ˈoː	ˈæːɑ̯	0.339
ˈoː	ˈoː	0.284
ˈoː	ˈæː	0.279
ˈoː	ˈu	0.069
ˈu	ˈu	0.703
ˈu	ˈy	0.16
ˈyː	ˈuː	0.933
ˈyː	ˈyː	0.067
ˈæ	ˈe	0.57
ˈæ	ˈiy̯	0.353
ˈæ	ˈi	0.05
ˈæː	ˈeːo̯	0.52
ˈæː	ˈe	0.28
ˈæː	ˈeo̯	0.1
ˈæː	ˈiːy̯	0.1
ˈø	ˈu	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈæːɑ̯	1.0
ˈɒ	ˈɑ	0.499
ˈɒ	ˈæɑ̯	0.195
ˈɒ	ˈæ	0.125
ˈɒ	ˈoː	0.124
ˈɒː	ˈæ	0.301
ˈɒː	ˈoː	0.248
ˈɒː	ˈæɑ̯	0.182
ˈɒː	ˈi	0.12
ˈɒː	ˈo	0.079
ˈɒː	ˈæː	0.069
ˈɔi̯	w	1.0
ˈəi̯	ˈɑː	0.911
ˈəi̯	ˈæː	0.089
ˈɛ	ˈɛ	0.906
ˈɛ	ˈe	0.094
ˈʊː	ˈoː	0.518
ˈʊː	ˈæːɑ̯	0.248
ˈʊː	ˈeː	0.14
ˈʊː	w	0.053
