East Frisian Low Saxon	Luxembourgish	probability
ˈʏə̯	ˈe	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	-	1.0
ˈɒː_t	ˈaː_s	1.0
ˈɑːʊ̯	-	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈɑɪ̯	-	1.0
ˈœy̯	-	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈæːɪ̯	ˈɜɪ̯	1.0
ˈæː	ˈɜɪ̯	1.0
ˈyː	-	1.0
ˈeːe̯	ˈiə̯_d	1.0
ˈeː_t	s	1.0
ɣ̊_#>	#>	1.0
ɡ_l	l	1.0
ɐ_ɣ̊	ə_ɕ	1.0
ɐ_n_#>	ʀ_#>	1.0
ɐ_m	m	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	w	1.0
v̥	v̥	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
nː	n_ə	1.0
n_ɐ	n_ɐ	1.0
l	l	1.0
k_ˈɪ	ˈə	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_ˈɪ	d_ˈe	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
#>	n_#>	1.0
m	m	0.923
d	d	0.906
z	z	0.905
r	ʀ	0.893
v	v	0.885
b	b	0.85
d̥	d̥	0.846
s	ʃ	0.84
ˈɛ	-	0.8
ɐ	ɐ	0.8
n	n	0.795
ˈiː	ˈæːɪ̯	0.778
ˈeː	-	0.75
ˈæɪ̯	ˈeː	0.647
ɡ	ɡ	0.636
ˈɑːɑ̯	ˈaː	0.6
ˈʏ	ˈə	0.571
ɣ̊	ɕ	0.571
ˈuː	ˈæːʊ̯	0.556
χ	ˈiː_ɕ	0.5
χ	ɕ	0.5
ˈɪ	ˈɑ	0.5
ˈɑː	ˈaː	0.5
ˈɑː	-	0.5
t	t	0.5
ˈɑ	ˈaː	0.474
ˈʊ	ˈo	0.455
ˈɔ	ˈo	0.455
ˈøː	-	0.444
ˈoː	ˈaː	0.444
ˈʏ	-	0.429
ˈɛːɪ̯_#>	ˈɜɪ̯_#>	0.429
ɣ̊	k	0.429
ˈɑ	ˈɑ	0.421
ˈɑːɑ̯	ˈɑ	0.4
ˈʊ	-	0.364
ˈɔ	-	0.364
ˈɒː	ˈoː	0.364
p	p	0.364
ˈæɪ̯	ˈɜɪ̯	0.353
ˈøː	ə	0.333
k	ɕ	0.312
ˈɪ	ˈə	0.3
ˈɑʊ̯	ˈəʊ̯	0.3
ˈɑʊ̯	ˈu	0.3
ˈɛːɪ̯_#>	ˈæːɪ̯_#>	0.286
ˈɛːɪ̯_#>	#>	0.286
ˈoː	ˈəʊ̯	0.278
ˈɒː	-	0.273
p	f_ə	0.273
t	s	0.262
ˈeː	ˈɛː	0.25
k	χ	0.25
ɡ	ə	0.227
ˈøː	ˈiː	0.222
ˈuː	ˈɑʊ̯	0.222
ˈuː	-	0.222
ˈiː	-	0.222
ˈɪ	-	0.2
ˈɛ	ˈeː	0.2
ˈɑʊ̯	ˈʊ	0.2
ˈɑʊ̯	-	0.2
k	k_ə	0.188
ˈʊ	ˈɔ	0.182
ˈɔ	ˈaː	0.182
ˈɒː	ˈəʊ̯	0.182
ˈɒː	ˈoː_ə	0.182
p	pʰ	0.182
p	f	0.182
ˈoː	-	0.167
t	ʦ	0.167
d̥	t	0.154
b	b_ˈiː	0.15
ɡ	-	0.136
k	ɕ_ə	0.125
k	k	0.125
v	w	0.115
ˈoː	ˈo	0.111
r	ʀ_ˈaː	0.107
ˈɑ	ˈuə̯	0.105
ɐ	ˈuː_ɐ	0.1
ɐ	ʀ	0.1
z	-	0.095
d	-	0.094
n	-	0.082
s	z̥	0.08
s	s	0.08
m	-	0.077
t	s_ə	0.071
n	ŋ	0.055
