Swedish	Danish	probability
ˈɑː_r	ˈɑː	1.0
ˈɑː_d	ˈæ_ð̞ˠ	1.0
ˈœː	ˈøː	1.0
ˈæ	ˈɛ	1.0
ˈoː_r	ˈɒˀ	1.0
ˈoː_n	n	1.0
ˈiː_ʊ	ˈiˀ	1.0
ʈː	ɐ_d̥	1.0
ʈ	d̥	1.0
ʂ	ɐ_s	1.0
ɪ	i	1.0
ɡː	ɡ̊	1.0
ɛ_r	ɐ	1.0
ɛ_n	ə_n	1.0
ɛ	-	1.0
ɖ	ɐˀ	1.0
ɔ	ə	1.0
sː	s	1.0
s	s	1.0
rː	ɐˀ	1.0
r_m	m	1.0
r_a	ɐ	1.0
pː	b̥	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n_d	nˀ	1.0
lː	lˀ	1.0
l_v	lˀ	1.0
kʰ	kʰ	1.0
jː	ˈiː	1.0
j_ˈʉː	d̥_ˈyˀ	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
a	ə	0.959
tʰ	ʦʰ	0.944
nː	n	0.898
n	n	0.86
m	m	0.826
l	l	0.82
ˈiː	ˈiˀ	0.8
mː	m	0.768
ɕ	kʰ	0.751
ˈeː	ˈeˀ	0.721
ˈɪ	ˈe	0.716
ˈyː	ˈyˀ	0.695
kː	ɡ̊	0.682
t	ð̞ˠ	0.661
ŋː	ŋˀ	0.659
k	ɡ̊	0.657
v	ʋ	0.65
ˈa	ˈæ	0.592
ˈɑː	-	0.591
ˈuː	ˈoˀ	0.584
ˈɵ	ˈu	0.575
ˈæː	ˈɛ	0.562
ŋ	-	0.545
j	j	0.532
ˈʊ	ˈu	0.521
tː	ð̞ˠ	0.52
ɧ	s_ɡ̊	0.486
tː	d̥	0.48
ˈʊ	-	0.479
ˈoː	ˈɔˀ	0.463
d	ð̞ˠ	0.458
r	ʁ	0.457
ŋ	ŋ	0.455
ɡ	ɡ̊	0.445
ˈæː	ˈɛˀ	0.438
ɳ	ɐˀ_n	0.429
ɧ	s	0.425
ˈʉː	ˈuˀ	0.418
ˈuː	ˈo	0.416
ˈœ	ˈœ	0.412
ɳ	ɐ_n	0.409
ˈʏ	ˈœ	0.402
ˈɛ	ˈe	0.402
r	ɐ	0.372
ɡ	w	0.363
ˈɔ	ˈʌ	0.357
ˈœ	-	0.351
ŋː	ŋ	0.341
t	d̥	0.339
ˈɛː	ˈɛˀ	0.331
ˈɛː	ˈeˀ	0.331
ˈɔ	ˈo	0.331
ˈoː	ˈɔː	0.32
kː	-	0.318
d	d̥	0.317
ˈɔ	-	0.312
ˈyː	ˈyː	0.305
ˈʏ	ˈy	0.301
ˈʏ	-	0.297
ˈøː	ˈœˀ	0.296
v	w	0.279
ˈøː	ˈøˀ	0.268
k	j	0.267
ˈɛ	ˈɑ	0.265
ɕ	ʦʰ	0.249
ˈœ	ˈø	0.237
ˈɑː	ˈɛː	0.232
mː	mˀ	0.232
ˈʉː	ˈyː	0.219
ˈoː	-	0.218
j	ɡ̊	0.212
ˈiː	ˈiː	0.2
d	-	0.194
ɡ	-	0.192
ˈɛ	ˈɛ	0.183
ˈɵ	ˈɔ	0.178
ˈɑː	ˈæˀ	0.177
ˈa	ˈɑ	0.177
m	-	0.174
ˈʉː	ˈyˀ	0.173
r	ɐˀ	0.171
ˈɛː	ˈeː	0.169
ˈɛː	-	0.169
ˈeː	ˈiː	0.164
ˈɪ	ˈɛ	0.163
ɳ	n	0.162
ˈøː	ˈøː	0.156
ˈɛ	ˈeˀ	0.15
ˈa	-	0.145
ˈɵ	ˈø	0.14
n	nˀ	0.14
ˈøː	-	0.133
ˈʉː	ˈuː	0.13
ˈɪ	-	0.121
l	lˀ	0.12
ˈeː	-	0.114
ˈɵ	-	0.108
j	-	0.103
nː	nˀ	0.102
ɧ	ɕ	0.089
ˈa	ˈʌ	0.086
j	l	0.082
ˈøː	ˈʌˀ	0.076
k	w	0.075
ˈøː	ˈœː	0.071
v	-	0.071
j	w	0.071
ˈʉː	-	0.06
l	ˈi	0.06
tʰ	ʨ	0.056
