Western Lombard	Western Lombard	probability
ˈɛ_r	ˈa_rː	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈoː	ˈo	1.0
ˈĩ	ˈi_n	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʒ_e	ɟ	1.0
ɲ	ɲː	1.0
z	-	1.0
y	u	1.0
w	-	1.0
ũ	-	1.0
u_l	u_l	1.0
u	u	1.0
s_#>	#>	1.0
r_#>	#>	1.0
p_ˈoː	p_ˈɔ	1.0
p	p	1.0
o	u	1.0
ĩ	-	1.0
ẽ	a_n	1.0
b	b	1.0
ã	-	1.0
a_v	a_p	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	a	0.955
k	k	0.917
m	m	0.88
ˈyː	ˈu	0.833
ɡ	ɡ	0.786
ˈã	ˈa_n	0.778
n	n	0.737
ˈøː	ˈɔ	0.727
f	f	0.724
ˈe	ˈe	0.714
d	d	0.704
ˈɔ	ˈɔ	0.684
#>	u_#>	0.673
t	t	0.667
i	i	0.625
e	i	0.619
j	j	0.615
l	l	0.611
ˈi_#>	ˈi_#>	0.6
ʒ	-	0.6
v	v	0.6
e_r	u	0.6
r	r	0.577
ˈẽ	ˈɛ_n	0.571
s	s	0.547
ˈɛ	ˈe	0.5
ˈuː	ˈɔ	0.5
ˈuː	ˈu	0.5
ˈu	ˈu	0.5
ʤ	ɟ	0.5
ʤ	-	0.5
ˈũ	ˈɔ_n	0.444
ˈẽ	ˈɛ	0.429
ˈeː	ˈɛ	0.412
ˈi_#>	#>	0.4
ʒ	ʧ	0.4
e_r	r_u	0.4
j	-	0.385
i	u	0.375
ʧ	cː	0.364
ˈɛ	ˈɛ	0.344
ˈũ	ˈo_n	0.333
ˈu	ˈɔ	0.333
l	ɖː	0.333
ˈeː	ˈi	0.294
ˈe	-	0.286
ˈøː	ˈo	0.273
ʧ	tː_u	0.273
#>	i_#>	0.271
v	-	0.24
ˈũ	ˈu_n	0.222
ˈã	ˈa	0.222
d	t	0.222
ɡ	-	0.214
ˈɔ	ˈa	0.211
r	l	0.192
e	a	0.19
e	-	0.19
ʧ	ɟː	0.182
ʧ	c	0.182
ˈeː	ˈe	0.176
s	ʧ_i	0.17
ˈyː	-	0.167
ˈu	ˈo	0.167
t	tː	0.167
n	u	0.158
ˈɛ	ˈi	0.156
f	u	0.138
m	mː	0.12
ˈeː	-	0.118
r	r_u	0.115
ˈɔ	ˈo	0.105
n	-	0.105
f	i	0.103
s	sː	0.094
v	p	0.08
v	a	0.08
d	-	0.074
t	tː_i	0.071
s	ʦ	0.057
s	ʃː	0.057
l	u	0.056
#>	a_#>	0.056
