Slovenian	Standard Serbian	probability
́_w	̂	1.0
́	̂	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	e	1.0
ə_w	a_o	1.0
ə_n	a_n	1.0
ə_k	a_k	1.0
z̥	-	1.0
z	z	1.0
w	o	1.0
uː	uː	1.0
u	-	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
p	p	1.0
oː_́	uː	1.0
oː_̀	o_̂	1.0
o	o	1.0
m	m	1.0
k	k	1.0
iː_̀	i_̂	1.0
i	i	1.0
eː_́	eː	1.0
d	d	1.0
b	b	1.0
aː_́	aː	1.0
aː_̀	a_̂	1.0
aː	aː	1.0
a_t	a_t	1.0
a	a	1.0
n	n	0.948
̀	̌	0.905
l	l	0.874
x	x	0.839
iː	iː	0.82
ɛ	e	0.796
r	r	0.777
eː	eː	0.719
ɔ	o	0.711
e	e_̂	0.6
ʧ	ʨ	0.586
ə	a	0.574
eː_̀	e_̂	0.564
j	j	0.532
ɔː	o	0.483
j	-	0.468
eː_̀	e	0.436
ʧ	ʧ	0.414
e	eː	0.4
oː	oː	0.392
ɔː	uː	0.311
eː	e	0.281
oː	uː	0.251
oː	o	0.248
ə	r̩	0.247
r	-	0.223
ɔː	u	0.206
ɔ	oː	0.191
iː	i	0.18
x	k	0.161
ɛ	-	0.121
ə	r̩ː	0.121
oː	u	0.108
ɔ	-	0.099
̀	̂	0.095
ɛ	e_̌	0.082
l	ʎ	0.072
ə	eː	0.058
l	-	0.054
n	ɲ	0.052
