Westphalian	Westphalian	probability
ˈɪə̯	-	1.0
ˈɛː	-	1.0
ˈɔ	ˈo	1.0
ˈɒː	ˈɛ_r	1.0
ˈyːœ̯	ˈʏː	1.0
ˈyː	ˈʏː	1.0
ˈyə̯	ˈʉ	1.0
ˈuə̯	-	1.0
ˈiɛ̯	-	1.0
ˈa_l	ˈɔː	1.0
ʃ_l	l̥	1.0
ɣ	-	1.0
ɡ_n	ɑ	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z	s	1.0
x_t	tː	1.0
v_ˈʊ	ˈʉ	1.0
r	r	1.0
n_#>	#>	1.0
m	m	1.0
l_ə_#>	lː_#>	1.0
l_#>	ɽ_#>	1.0
k_#>	#>	1.0
j	-	1.0
f	f	1.0
d̥	ð	1.0
d_n	ð_ɑ	1.0
b	b	1.0
aɪ̯	ɔ̃	1.0
<#_ˈa	<#_ˈɔ	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
s	s	0.857
t	t	0.833
#>	ɑ_#>	0.818
ˈʊ	ˈʉ	0.8
ɡ	ɣ	0.8
<#_h	<#	0.8
p	p	0.778
ˈoː	ˈʉːə̯	0.75
d̥_#>	d_#>	0.727
ə	ɑ	0.7
ˈɪ	ˈɪ	0.696
ˈʏ	ˈʏ	0.667
ˈaː	ˈɑː	0.667
ˈaʊ̯	ˈœː	0.667
ˈa	ˈɑ	0.647
ʃ	s	0.619
l	ɽ	0.609
ˈøː	ˈyːœ̯	0.571
ˈeː	ˈiːe̯	0.556
ɐ	r	0.531
ˈɪɛ̯	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔː	ˈɔː	0.5
ˈɔː	-	0.5
ʋ	w	0.5
ʋ	v	0.5
x_#>	ɣ_#>	0.5
x_#>	#>	0.5
x	ʥ_ˈæ	0.5
x	-	0.5
d	d	0.481
ˈiː	ˈɑːi̯	0.462
k	k	0.458
v	w	0.455
ˈuː	ˈɑːu̯	0.444
ˈeː	-	0.444
ˈøː	-	0.429
ɐ	ɛ_r	0.375
n	n	0.37
ˈaɪ̯	j_ˈʉːə̯	0.357
ˈʏ	-	0.333
ˈuːə̯	ˈʉː	0.333
ˈuːə̯	ˈʉə̯	0.333
ˈuːə̯	-	0.333
ˈuː	ˈʉː	0.333
ˈaː	ˈɑ	0.333
ˈaʊ̯	ˈoː	0.333
d	tʰ	0.333
v	v	0.318
n	ɑ	0.315
ˈɪɛ̯	j	0.3
k	kʰ	0.292
d̥_#>	#>	0.273
ˈoː	-	0.25
ʃ	s_ʨ	0.238
ˈa	-	0.235
ˈiː	ˈɪː	0.231
ˈiː	-	0.231
ˈuː	-	0.222
p	-	0.222
ˈaɪ̯	-	0.214
ˈʊ	ˈɑːu̯	0.2
ˈɪɛ̯	j_ˈæː	0.2
ɡ	ʥː	0.2
ə	ʉ	0.2
<#_h	<#_j	0.2
#>	ð_#>	0.182
ˈɪ	ˈɪː	0.174
l	l	0.174
k	ʨ	0.167
ˈaɪ̯	ˈʉːə̯	0.143
ˈaɪ̯	ˈɪː	0.143
ˈaɪ̯	j	0.143
ʃ	s_k	0.143
v	w_ˈɛː	0.136
n	nː	0.13
l	lː	0.13
ˈa	ˈɑː	0.118
d	-	0.111
ə	ɑ̃	0.1
t	tː	0.1
s	s_j	0.095
ɐ	ˈæː_r	0.094
v	-	0.091
ˈɪ	-	0.087
l	-	0.087
k	kː	0.083
ˈiː	ˈɪ̃ː	0.077
n	ɔ	0.074
n	n_d	0.074
d	ð	0.074
t	ˈɛ_tː	0.067
