Luxembourgish	Gothic	probability
b	b	0.875
b	t	0.125
d	θ	0.47
d	d	0.405
d	-	0.126
f	f	0.701
f	p	0.102
f	kʷ	0.078
f	p_s	0.068
h	h	1.0
j	j	1.0
k	ɡ_s	0.636
k	h	0.203
k	k	0.161
kʰ	k	0.852
kʰ	kʷ	0.119
l	l	0.935
l	lː	0.065
m	m	0.588
m	-	0.28
m	m_s	0.132
n	n	0.904
p	p	0.942
p	β	0.058
s	t	0.788
s	s	0.212
t	t	0.224
t	θ	0.139
t	-	0.134
t	θ_s	0.108
t	t_s	0.102
t	d_s	0.069
t	d	0.064
t	d_u	0.056
t	θ_u	0.056
v	w	0.558
v	ʍ	0.207
v	β	0.111
v	f	0.111
w	w	1.0
z	s	0.978
ŋ	ŋ	0.618
ŋ	h	0.292
ŋ	n	0.089
ɐ	r	0.369
ɐ	a	0.208
ɐ	oː	0.089
ɐ	-	0.082
ɐ	r_a	0.067
ɐ	ˈuː	0.067
ɐ	w_s	0.055
ɕ	k	0.454
ɕ	s	0.267
ɕ	h	0.229
ə	a	0.597
ə	-	0.11
ə	u	0.109
ə	j_a	0.075
ə	aː	0.051
ɡ	ɡ	0.931
ɡ	-	0.069
ʀ	r	0.726
ʀ	ˈi	0.132
ʀ	r_n	0.114
ʃ	s	0.628
ʃ	s_k	0.256
ʃ	z	0.067
ʦ	t	0.884
ʦ	ɣ	0.116
ˈaː	ˈa	0.453
ˈaː	ˈɔ	0.196
ˈaː	ˈiu̯	0.137
ˈaː	ˈa_r	0.097
ˈaː	ˈɔː	0.087
ˈe	ˈɛ	0.328
ˈe	ˈi	0.303
ˈe	ˈiu̯	0.192
ˈe	ˈiː	0.177
ˈeː	ˈɛː	0.707
ˈeː	ˈi_ɡ	0.258
ˈi	a	0.531
ˈi	ˈi	0.164
ˈi	ˈu	0.157
ˈi	ˈoː	0.148
ˈiə̯	ˈa	1.0
ˈiː	ˈɛ	0.438
ˈiː	j	0.147
ˈiː	ˈi	0.121
ˈiː	ˈɛː	0.108
ˈiː	ˈɔː	0.1
ˈo	ˈu	0.504
ˈo	ˈi	0.261
ˈo	ˈuː	0.201
ˈoː	ˈa	0.606
ˈoː	ˈeː	0.394
ˈu	ˈa	0.478
ˈu	ˈoː	0.41
ˈu	ˈu	0.081
ˈuə̯	ˈa	0.897
ˈuə̯	ˈɔː	0.103
ˈuː	ˈɔ	1.0
ˈæ	ˈa	1.0
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.701
ˈæːɪ̯	ˈiː_s	0.245
ˈæːɪ̯	ˈiu̯	0.054
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈi	0.534
ˈɑ	ˈa	0.364
ˈɑ	ˈu	0.076
ˈɑɪ̯	ˈu	0.463
ˈɑɪ̯	ˈoː	0.197
ˈɑɪ̯	j	0.152
ˈɑɪ̯	ˈeː	0.135
ˈɑɪ̯	ˈiː	0.053
ˈɔ	ˈu	1.0
ˈə	ˈi	0.669
ˈə	ˈu	0.233
ˈə	ˈa	0.098
ˈəʊ̯	ˈeː	0.542
ˈəʊ̯	ˈɔ	0.2
ˈəʊ̯	ˈoː	0.148
ˈəʊ̯	ˈɔː	0.111
ˈɛ	ˈa	0.356
ˈɛ	ˈi	0.356
ˈɛ	ˈɛ	0.144
ˈɛ	ˈɛː	0.144
ˈɛː	ˈɛ	1.0
ˈɜɪ̯	ˈiu̯	0.457
ˈɜɪ̯	ˈɔː	0.406
ˈɜɪ̯	w	0.065
ˈɜɪ̯	w_s	0.059
ˈʊ	ˈoː	0.515
ˈʊ	ˈu	0.485
ˈʊɪ̯	ˈɔː	1.0
χ	x	0.587
χ	h	0.275
χ	k	0.139
