Provençal	Provençal	probability
ˈɔ_w	w	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ	ˈu	1.0
ˈu_#>	o̯ˈa_r_e_#>	1.0
ˈĩ	ˈi	1.0
ˈi_ɡ	ˈi_k	1.0
ˈi	ˈi	1.0
ˈe_ʀ	r_t	1.0
ˈe_w	w	1.0
ˈe_n	n	1.0
ˈe_j	kʲ	1.0
ˈa_w	ˈa_l	1.0
ʧ	p_t	1.0
ʀ_m	r_m	1.0
ʀ_k	r_k	1.0
ʀ	r	1.0
ɥ_ˈe	o̯ˈa	1.0
ɥ	ˈo	1.0
ɔ_#>	#>	1.0
ŋ_d	n_e	1.0
ŋ_#>	#>	1.0
z	-	1.0
y	u	1.0
w_ˈẽ	ˈu	1.0
w_#>	r_#>	1.0
t_e	ʦʲ	1.0
p	p	1.0
n	n	1.0
mː	ə_m	1.0
m	m	1.0
k_#>	k_#>	1.0
j_ɾ	t	1.0
j_s	ʃ_t	1.0
j_#>	#>	1.0
ĩ	i	1.0
i	-	1.0
f	f	1.0
ẽ	-	1.0
e_s	s	1.0
b_ɾ	p_r	1.0
ã	ɨ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
k	k	0.929
ɾ	r	0.857
b	b	0.857
t	t	0.846
ˈa	ˈa	0.842
ɔ	ə	0.822
v	v	0.812
ɡ	ɡ	0.769
ˈẽ	ˈi	0.7
d	t	0.7
u	u	0.692
w_ˈe	ˈo	0.667
j_ˈe	j_ˈe	0.667
s	s	0.622
ˈu	ˈu	0.619
ˈã	ˈɨ	0.583
e	e	0.576
ŋ	n	0.548
ˈe	ˈe	0.5
ɲ	n	0.5
ɲ	m_n	0.5
l	-	0.5
j	-	0.5
e_#>	u_#>	0.5
e_#>	#>	0.5
#>	e_#>	0.481
ʤ	ʤ	0.467
l	l	0.389
#>	r_e_#>	0.385
w_ˈe	o̯ˈa	0.333
j_ˈe	ˈi	0.333
a	a	0.333
d	z	0.3
ʤ	ʒ	0.267
ʤ	-	0.267
ˈɛ	ˈe	0.261
ˈã	-	0.25
a	ə	0.25
a	-	0.25
ɡ	-	0.231
j	e	0.214
ˈẽ	ˈɨ	0.2
ŋ	n_t	0.194
ˈu	ˈo	0.19
v	-	0.188
e	ə	0.182
ˈɛ	j_ˈe	0.174
ˈɛ	j	0.174
ˈɛ	-	0.174
w	ˈo	0.174
w	r	0.174
w	l	0.174
ˈe	ˈi	0.167
ˈe	e̯ˈa	0.167
ˈã	ˈɨ_j	0.167
a	e	0.167
s	ʦ	0.162
ŋ	n_e	0.161
u	o	0.154
u	-	0.154
t	ʦ	0.154
ɾ	e_r	0.143
j	kʲ	0.143
j	d_ˈe	0.143
b	f_r	0.143
s	ʧ	0.135
ˈɛ	e̯ˈa	0.13
w	ˈu	0.13
l	r	0.111
ˈa	ˈɨ	0.105
ˈẽ	nʲ	0.1
ŋ	ŋ	0.097
#>	ə_#>	0.096
ˈu	ˈo_j	0.095
ˈu	o̯ˈa	0.095
e	i	0.091
e	e_r	0.091
ɔ	e	0.089
ˈɛ	u_m	0.087
w	ˈe_l	0.087
w	ˈau̯	0.087
w	w	0.087
w	o̯ˈa	0.087
ˈe	ˈo	0.083
ˈe	-	0.083
s	-	0.081
k	ʧʲ	0.071
e	a	0.061
ˈa	-	0.053
