American English	Old Frisian	probability
θ	θ	1.0
ˈi_ɚ	ˈaː_r	1.0
ˈi_d	ˈeː_d	1.0
ʤ	ɡː	1.0
ʃ	s_k	1.0
ɾ	t	1.0
ɹ_n	r_n	1.0
ɪ	ə	1.0
ɡ	ɡ	1.0
ə_n	ə_n	1.0
z	z	1.0
w	w	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
oʊ̯	ə	1.0
l	l	1.0
i	i_ɣ̥	1.0
h	h	1.0
f	f	1.0
d_ˈɛ	d_ˈaː	1.0
b	b	1.0
m	m	0.961
d	d	0.929
p	p	0.916
ɹ	r	0.892
ʔ	t	0.87
n	n	0.838
ˈaʊ̯	ˈuː	0.734
k	k	0.726
ɫ	l	0.712
ˈoʊ̯	ˈɛː	0.696
v	v	0.67
ˈɝ	r	0.659
ˈʌ	ˈu	0.615
ŋ	ŋ_ɡ	0.614
ˈʌɪ̯	x	0.6
ˈʊ	ˈoː	0.6
ˈɛə̯	ˈɔː	0.6
ˈɪ	ˈi	0.583
ʧ	ʦ	0.562
ð	ð	0.5
ð	d	0.5
ˈæ	ˈe	0.497
ˈi	ˈeː	0.487
ˈɛ	ˈe	0.479
ɚ	ə_r	0.447
ʧ	k_ə	0.438
ˈɑ	ˈe	0.42
ˈu	ˈoː	0.409
ˈʌɪ̯	ˈiː	0.4
ˈʊ	ˈu	0.4
ˈɛə̯	ˈa	0.4
ŋ	ŋ	0.386
ˈaɪ̯	ˈiː	0.368
ˈɔ	ˈɔː	0.364
ˈɝ	ˈɔː_r	0.341
ˈæ	ˈa	0.335
ˈeɪ̯	ˈe_j	0.322
ˈeɪ̯	ˈa	0.312
ˈaɪ̯	ˈi	0.311
ˈɔ	ˈo	0.273
ˈaʊ̯	-	0.266
ˈɑ	-	0.264
ˈu	ˈiː	0.251
ˈɑ	ˈo	0.243
ɚ	r	0.238
ˈeɪ̯	ˈɔː	0.234
v	f	0.207
ˈɪ	ˈe	0.201
ˈu	-	0.196
ɚ	ə	0.196
ɫ	l_ə	0.189
ˈɛ	-	0.185
ˈɔ	ˈa	0.182
ˈɔ	w	0.182
ˈaɪ̯	ɣ	0.177
k	k_ə	0.175
ˈi	ˈi̯aː	0.173
ˈæ	ˈa_l	0.168
ˈoʊ̯	ˈa	0.152
ˈoʊ̯	-	0.152
ˈu	w	0.144
ˈaɪ̯	ˈi̯aː_ɣ	0.144
ˈʌ	ˈuː	0.138
ˈi	ˈaː	0.134
ˈeɪ̯	ˈaː	0.132
ˈʌ	-	0.13
ʔ	tː	0.13
v	bː	0.122
ɚ	r_ə	0.12
n	nː	0.119
ˈi	ˈɛː	0.117
ˈʌ	ˈoː	0.116
ˈɛ	ˈaː	0.112
k	ə	0.099
ˈɪ	-	0.098
ˈi	r	0.09
p	pː	0.084
ˈɛ	ˈi̯uː	0.077
ˈɛ	ˈi̯aː	0.077
ˈɑ	ˈa	0.073
ˈɪ	ˈe_n	0.072
ˈɛ	ˈeː	0.071
ɹ	ˈe_r	0.064
ɫ	ə_l	0.063
d	-	0.057
