Kashubian	Kashubian	probability
ˈ_#>	ˈ_#>	1.0
ʧ_ɛ	ɕː	1.0
ʤ	ɡʲ	1.0
ʣ	dʲ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ_ʧ	d̥ʲ	1.0
ʃ	ʨ	1.0
ɾ	rʲ	1.0
ɲ	nʲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ_ˈ	ˈ	1.0
ɔ_ˈ	ɐ	1.0
ɔ_#>	ə_#>	1.0
z_ɛ	zʲ_ɪ	1.0
x	x	1.0
w_ʉ	u	1.0
w_a	ɫ_a	1.0
w_#>	ɫ_#>	1.0
v_j	vʲ	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
r̝	rʲ	1.0
r_#>	r_#>	1.0
p_j	pʲ	1.0
n	n	1.0
m_j	mʲ	1.0
l_#>	lʲ_#>	1.0
l	lʲ	1.0
k_#>	k_#>	1.0
d̥	d̥	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_j	<#_j	1.0
#>	ˈ_#>	0.889
r	r	0.882
k	k	0.882
v	v	0.857
w	ɫ	0.842
t	t	0.833
m	m	0.786
z	z	0.778
ˈ	ˈ	0.752
ʦ	tʲ	0.75
f	vʲ	0.75
d	d	0.75
õ	u	0.667
b̥	b̥	0.667
b	b	0.667
u	o	0.643
ɔ	o	0.636
j	-	0.6
<#_ʦ	<#	0.6
p	p	0.571
s	s	0.56
a	a	0.553
i	ɨ_j	0.522
e	e	0.455
ʧ	ʨ	0.429
p	pʲ	0.429
ɞ	-	0.417
ɛ	e	0.417
ã	ɪ	0.417
ə	ɨ	0.412
j	ɪ	0.4
<#_ʦ	<#_tʲ	0.4
u̯ɛ	ɐ	0.375
u̯ɛ	o	0.375
ɔ	-	0.364
e	ɪ	0.364
s	sʲ	0.36
ɞ	o	0.333
ɛ	-	0.333
õ	-	0.333
b̥	b̥ʲ	0.333
b	bʲ	0.333
ʧ	kʲ_ɪ	0.286
ʧ	-	0.286
i	j	0.261
ʦ	-	0.25
ɞ	a	0.25
u̯ɛ	ə	0.25
f	fʲ	0.25
d	-	0.25
ã	-	0.25
z	zʲ	0.222
u	ɵ	0.214
m	mʲ	0.214
a	ə	0.211
ˈ	-	0.197
a	e	0.184
e	-	0.182
ə	ɪ	0.176
ə	i	0.176
ə	-	0.176
t	tʲ	0.167
ã	u	0.167
ã	a	0.167
w	-	0.158
v	vʲ	0.143
u	ɪ	0.143
i	ɨ	0.13
r	-	0.118
k	-	0.118
#>	ə_#>	0.111
i	i	0.087
ɛ	ɵ	0.083
ɛ	ɪ	0.083
ɛ	e_ˈ	0.083
s	sʲ_ɪ	0.08
ə	ʉ	0.059
a	o	0.053
