Provençal	Provençal	probability
ˈɛ_s	ˈe_s	1.0
ˈɔ_w	w	1.0
ˈɔ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_w	ˈi_w	1.0
ˈi	ˈi	1.0
ˈe_ʀ	r_t	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈu	1.0
ɔ_#>	#>	1.0
ŋ_k	ŋ	1.0
y	u	1.0
w_ˈẽ	ˈɔ	1.0
w_ˈe	ˈɔ	1.0
v_ˈe	b_ˈɛ	1.0
v_e	b_ə	1.0
ũ	u	1.0
u	u	1.0
t_ɔ	t_ə	1.0
t	t	1.0
s_ˈe	s_ˈɛ	1.0
s_#>	w_#>	1.0
s	s	1.0
p	p	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l_ɔ	l_ə	1.0
k	k	1.0
j_ɔ	ʎ_ə	1.0
j_s	ʃ	1.0
j_#>	#>	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
e_#>	#>	1.0
d_ɔ	ð_ə	1.0
ã	ə	1.0
a_ɾ	ə_ɾ	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_e	<#_ə	1.0
<#_a	<#_ə	1.0
ɔ	ə	0.962
ɾ	ɾ	0.953
ˈa	ˈa	0.951
ʀ	r	0.926
ˈy	ˈu	0.818
e	ə	0.804
ʤ	ʒ	0.8
ˈu	ˈo	0.72
d	d	0.72
v	b	0.682
ɡ	ɡ	0.667
ŋ_#>	#>	0.667
#>	t_#>	0.65
ˈɛ	ˈe	0.621
ˈẽ	ˈe	0.6
ʧ	t	0.6
ɥ	-	0.6
b	b	0.593
ŋ	n	0.571
ˈe	ˈɛ	0.556
j_ˈe	ˈi	0.556
i	i	0.556
z	-	0.545
ˈũ	ˈo	0.5
w_#>	ʎ_#>	0.5
l	ʎ	0.5
l	l	0.5
z	z	0.455
j_ˈe	ˈe	0.444
i	ə	0.444
w_#>	l_#>	0.409
b	β	0.407
ˈẽ	ˈɛ	0.4
ʧ	j_t	0.4
ɥ	ˈɔ	0.4
w	w	0.4
ˈɛ	ˈɛ	0.379
j	ʎ	0.368
ˈũ	ˈu	0.333
ˈe	ˈe	0.333
ɡ	ɣ	0.333
ŋ_#>	n_#>	0.333
v	β	0.318
w	l	0.3
d	ð	0.28
j	j	0.263
#>	s_#>	0.25
ŋ	ɲ	0.214
ŋ	ŋ	0.214
j	-	0.211
ʤ	ʤ	0.2
w	ˈɔ	0.2
ˈy	ˈo	0.182
ˈũ	ˈɔ	0.167
ˈu	ˈɛ	0.12
ˈe	ˈi	0.111
j	ɾ	0.105
w	u	0.1
#>	n_#>	0.1
w_#>	#>	0.091
e	i	0.087
ˈu	ˈu	0.08
ˈu	-	0.08
ʀ	-	0.074
e	ə_s	0.065
j	ʎː	0.053
