Limburgish	North Frisian	probability
ˈɪ	ˈa	1.0
ˈɛːi̯	ˈiː	1.0
ˈɛ	ˈa	1.0
ˈɔː	ˈuː	1.0
ˈœ	-	1.0
ˈæː	ˈeː	1.0
ˈoː	ˈœ	1.0
ˈaː_t	ˈɒː_d	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɦ	h	1.0
ɣ_ə	n	1.0
ɡ	d	1.0
ə_x_#>	i_#>	1.0
ə_l	ə_l	1.0
ŋ	ŋ	1.0
z	s	1.0
v̥_#>	f_#>	1.0
v_ə	v_ə	1.0
v	f	1.0
t_ˈɛː	t_ˈiː	1.0
p	p	1.0
n_d̥	nʲ	1.0
n_d	n	1.0
l_ˈeː	l_ˈiː	1.0
l_ə	l	1.0
k_#>	#>	1.0
j	dʲ	1.0
f_#>	v_#>	1.0
f	n	1.0
d̥	dʲ	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_l	<#	1.0
l	l	0.941
k	k	0.92
m	m	0.917
ʀ	r	0.885
ə	ə	0.877
β	v	0.857
n	n	0.85
x	x_t	0.778
t	t	0.735
d	d	0.704
ɣ	ɡ	0.688
ˈu	ˈyː	0.667
ˈuː	ˈyː	0.636
ˈiː	ˈi	0.636
ʀ_ə	r	0.636
s	s	0.636
ˈɑː	ˈœ	0.6
ˈøː	ˈɛ	0.6
ˈɔ	ˈɔː	0.571
ˈɛː	ˈiː	0.556
ˈi	ˈiː	0.556
d̥_#>	d_#>	0.556
ˈæ	ˈʊ	0.5
ˈæ	ˈeː	0.5
x_#>	j_#>	0.5
x_#>	#>	0.5
v̥	v	0.5
v̥	l_ə	0.5
ˈɑ	ˈɒ	0.455
d̥_#>	#>	0.444
ˈɔ	ˈʊ	0.429
ˈɑː	ˈɒ	0.4
ˈøː	ˈɛi̯	0.4
ˈɑ	ˈɒː	0.364
ˈiː	ˈiː	0.364
ʀ_ə	r_n	0.364
ˈʊː	ˈʊ	0.35
ˈɪː	ˈʊ	0.333
ˈɪː	ˈi	0.333
ˈɪː	ˈai̯	0.333
ˈu	ˈuː	0.333
#>	v_#>	0.333
#>	f_#>	0.333
#>	d_#>	0.333
ɣ	j	0.312
ˈaː	ˈuː	0.3
ˈaː	ˈa	0.3
d	t	0.296
ˈɒː	ˈɛː	0.25
ˈɒː	ˈɛi̯	0.25
ˈɒː	ˈɔː	0.25
ˈɒː	ˈɔu̯	0.25
ˈeː	ˈiː	0.25
ˈɛː	ˈi	0.222
ˈɛː	ˈaː	0.222
ˈi	ˈɛi̯	0.222
ˈi	ˈa	0.222
x	x	0.222
s	ʃ	0.212
t	tʲ	0.206
ˈʊː	ˈɔ	0.2
ˈʊː	ˈœ	0.2
ˈaː	ˈœ	0.2
ˈaː	ˈeː	0.2
ˈɑ	ˈa	0.182
ˈuː	ˈøː	0.182
ˈuː	ˈuː	0.182
s	s_t	0.152
ˈʊː	ˈyː	0.15
ˈeː	ˈi	0.15
β	-	0.143
ˈʊː	ˈaː	0.1
ˈeː	ˈɛː_d	0.1
ˈeː	ˈɛː	0.1
ˈeː	ˈɔː	0.1
ˈeː	ˈeː	0.1
ˈeː	j_ˈa	0.1
ˈeː	j	0.1
n	nʲ	0.1
m	m_ə	0.083
k	w	0.08
ʀ	ə_r	0.077
t	z	0.059
l	lʲ	0.059
ə	v_ə	0.053
