Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ	-	1.0
́_s	k	1.0
́_r	r	1.0
́	-	1.0
ˀ_n	n	1.0
ˀ_#>	#>	1.0
ʃ	x	1.0
ɛ	ɛ	1.0
ŋ	-	1.0
z	z	1.0
uː_́ˀ	i	1.0
sʲ	s	1.0
s_#>	#>	1.0
o	-	1.0
n_s	s	1.0
n_#>	#>	1.0
k_a	k	1.0
j	-	1.0
iː	i	1.0
i_́	ɤ	1.0
eː_́	ɛ	1.0
eː	a	1.0
e_s	i	1.0
d_a	d̥	1.0
aː_́ˀ	a	1.0
a_́	ɔ	1.0
a_s_#>	#>	1.0
a_l	ɫ	1.0
<#_w	<#_v	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
#>	ˈ_#>	1.0
d	d	0.867
r	r	0.857
b	b	0.857
ˀ	-	0.846
zʲ	z	0.818
oː	a	0.714
au̯	u	0.714
t	t	0.708
m	m	0.706
e_́	ɛ_ˈ	0.7
l	ɫ	0.682
u	-	0.667
w	v	0.643
p	p	0.625
ei̯	i	0.6
ɡ	ɡ	0.55
i	-	0.542
aː	ɐ	0.5
aː	a	0.5
ai̯	ɛ	0.5
ai̯	a	0.5
<#	<#_v	0.5
<#	<#_j	0.5
n	n	0.4
ei̯	j_ɐ	0.4
p	-	0.375
e	ɛ_ˈ	0.375
e	ɛ	0.375
u	ɐ	0.333
s	s	0.3
s	-	0.3
n	-	0.3
k	ʃ	0.3
e_́	ɛ	0.3
m	-	0.294
t	-	0.292
oː	ɐ	0.286
au̯	-	0.286
i	ɛ	0.25
e	-	0.25
a	o	0.25
a	ɤ_ˈ	0.222
w	vʲ	0.214
i	ɤ	0.208
ɡ	ʒ	0.2
s	n	0.2
s	f	0.2
n	t	0.2
k	ʦ	0.2
k	k	0.2
k	-	0.2
zʲ	z̥	0.182
l	l	0.182
a	ɔ	0.167
a	-	0.167
ˀ	a_ˈ	0.154
ɡ	-	0.15
w	-	0.143
r	-	0.143
b	bʲ	0.143
l	lʲ	0.136
d	d̥	0.133
a	ɐ	0.111
ɡ	ɡ̊	0.1
n	nʲ	0.1
k	ʦʲ	0.1
a	a_ˈ	0.083
