Luxembourgish	Luxembourgish	probability
χ	k	1.0
ˈʊ	ˈœ	1.0
ˈɜɪ̯_ə	ˈiː	1.0
ˈɛː	j_ˈa	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	-	1.0
ˈæːʊ̯	ˈʏ	1.0
ˈæːɪ̯	ˈi	1.0
ˈæ	-	1.0
ˈuː_ɐ	ʀ	1.0
ˈiː	-	1.0
ˈeː_n	n	1.0
ˈeː_#>	#>	1.0
ˈe	-	1.0
ˈaː_s	ˈɒː_d	1.0
ˈaː_l	lʲ	1.0
ʦ	t	1.0
ʑ	j	1.0
ʃ_l	s_l	1.0
ʃ_#>	ʃ_#>	1.0
ʀ_ˈæːɪ̯	ʀ_ˈa	1.0
ʀ_#>	ʀ_n_#>	1.0
ɡ̊	-	1.0
ə_ɕ	i	1.0
ə_n	ə	1.0
ɕ_#>	#>	1.0
z̥_#>	s_#>	1.0
w	v	1.0
v̥	v̥	1.0
v_ˈo	ˈʊ	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	k	1.0
f_#>	n_#>	1.0
e	ɛi̯	1.0
d_ə	dʲ_ə	1.0
b	b	1.0
<#_ʀ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
v	v	0.909
h	h	0.9
ʀ	ʀ	0.895
z	s	0.895
ɡ	ɡ	0.846
l	l	0.83
t	t	0.826
ˈeː	ˈiː	0.769
ŋ	ŋ	0.692
ˈiː_ɐ	ʀ	0.667
ˈi	-	0.667
ʃ	s	0.667
k	k	0.667
f	f	0.667
#>	ç_#>	0.667
d	d	0.633
n	n	0.611
ɐ	ə_ʀ	0.607
ˈoː	-	0.556
ɕ	x	0.533
ə	ə	0.529
ˈɜɪ̯	ˈiː	0.5
ˈɛ	ˈeː	0.5
ˈɛ	-	0.5
ˈɑɪ̯	-	0.5
ˈuə̯	ˈɔː	0.5
ˈuə̯	ˈɒ	0.5
ˈiə̯	ˈɛː	0.5
ˈiə̯	-	0.5
ɕ	k	0.467
ˈəʊ̯	-	0.455
s	tʲ	0.438
ˈu	ˈœ	0.429
ɐ	ʀ	0.393
n_d̥	nʲ	0.375
n_d̥	n	0.375
ˈəʊ̯	ˈyː	0.364
ˈo	ˈʊ	0.357
ˈiː_ɐ	ˈɛ	0.333
ˈi	ˈiː	0.333
ʃ	ʃ	0.333
k	-	0.333
<#	<#_ˈa	0.333
<#	<#_n	0.333
<#	<#_j	0.333
#>	s_#>	0.333
s	t	0.312
d̥	d̥	0.312
d̥	dʲ	0.312
ŋ	n	0.308
d	t	0.3
ˈə	ˈa	0.294
ə	-	0.294
ˈu	ə	0.286
ˈu	-	0.286
f	p	0.267
ˈɑɪ̯	ˈœː	0.25
ˈɑɪ̯	ˈi	0.25
ˈaː	ˈuː	0.25
n_d̥	n_ə	0.25
d̥	z̥	0.25
ˈɑ	ˈœ	0.238
ˈɑ	-	0.238
ˈə	ˈi	0.235
ˈeː	-	0.231
ˈoː	ˈɛi̯	0.222
ˈoː	ˈeː	0.222
ˈo	ˈaː	0.214
ˈɑ	ˈʊ	0.19
ˈəʊ̯	ˈɔu̯	0.182
t	d̥	0.174
ˈaː	ˈɒː	0.167
n	nʲ	0.167
ɡ	j	0.154
ˈɜɪ̯	ˈɛi̯	0.15
ˈɜɪ̯	-	0.15
ˈɑ	ˈi	0.143
ˈo	ˈʏ	0.143
ˈo	ˈœ	0.143
ˈo	-	0.143
ˈaː	ˈɔ	0.125
ˈaː	ˈɒ	0.125
ˈaː	ˈeː	0.125
ˈaː	ˈa	0.125
s	z	0.125
s	-	0.125
d̥	-	0.125
ˈə	ˈʏ	0.118
ˈə	ˈɔː	0.118
ˈə	ˈeː	0.118
ˈə	-	0.118
ə	d_ə	0.118
n	ə	0.111
n	-	0.111
ʀ	-	0.105
z	-	0.105
ˈɜɪ̯	ˈɛ	0.1
ˈɜɪ̯	ˈuː	0.1
h	h_ˈeː	0.1
ˈɑ	ˈɒ	0.095
ˈɑ	ˈuː	0.095
v	-	0.091
ˈaː	ʀ	0.083
f	v̥	0.067
d	tʲ	0.067
l	lʲ	0.064
l	l_ˈa	0.064
ə	w	0.059
