Swiss German	Gothic	probability
b̥	b	0.712
b̥	f_s	0.154
b̥	β	0.07
b̥	f	0.065
d̥	θ	0.744
d̥	d	0.088
d̥	d_s	0.087
f	f	0.62
f	p	0.231
f	kʷ	0.09
fː	p	1.0
h	h	0.873
h	-	0.127
i	ˈi	0.42
i	a	0.366
i	u	0.214
j	j	1.0
k	k	1.0
l	l	0.918
l	lː	0.066
m	m	0.7
m	m_s	0.212
m	-	0.088
n	n	0.86
n	nː	0.097
nː	n	1.0
p	β	1.0
p͡f	p	0.923
p͡f	β	0.077
r	r	0.778
r	-	0.075
rː	r	1.0
s	s	0.93
sː	t	1.0
t	d	0.306
t	t	0.22
t	θ	0.166
t	t_s	0.117
t	θ_s	0.094
t	ð	0.059
tː	ð	1.0
ŋ	ŋ	0.776
ŋ	n_d	0.142
ə	a	0.667
ə	-	0.147
ə	oː	0.058
ə	ɡ_oː	0.052
ɡ̊	ɡ	0.615
ɡ̊	ɡ_s	0.119
ɡ̊	ɣ	0.074
ɡ̊	x	0.072
ɡ̊	k	0.055
ʃ	s	0.604
ʃ	s_k	0.274
ʃ	k_s	0.122
ʃː	z	1.0
ʋ	w	0.862
ʋ	ʍ	0.138
ʦ	t	1.0
ˈau̯	ˈɔː	0.659
ˈau̯	oː	0.341
ˈe	ˈɛː	0.884
ˈe	ˈa	0.116
ˈei̯	ˈɛː_n	0.479
ˈei̯	a	0.306
ˈei̯	ˈiː	0.216
ˈeː	ˈɛː_w	0.722
ˈeː	ˈɛ	0.278
ˈi	ˈi	0.9
ˈi	ˈiː	0.078
ˈiə̯	ˈiu̯	0.615
ˈiə̯	ˈi	0.268
ˈiə̯	ˈeː	0.117
ˈiː	ˈiː	1.0
ˈo	ˈu	0.529
ˈo	ˈɔ	0.315
ˈo	ˈeː	0.103
ˈo	ˈɔː	0.053
ˈou̯	ˈa	0.409
ˈou̯	ˈɔː	0.353
ˈou̯	ˈɔ	0.238
ˈoː	ˈɔ	0.407
ˈoː	ˈɔː	0.282
ˈoː	ˈeː	0.14
ˈoː	ˈu	0.087
ˈoː	ˈi	0.084
ˈu	ˈu	0.656
ˈu	ˈuː	0.168
ˈu	ˈɔ	0.112
ˈuə̯	ˈoː	1.0
ˈuː	ˈuː	0.79
ˈuː	ˈu	0.21
ˈy	ˈɔː	0.503
ˈy	ˈi	0.187
ˈy	ˈu	0.169
ˈy	j	0.141
ˈyə̯	ˈoː	1.0
ˈyː	ˈiu̯	0.567
ˈyː	ˈoː	0.257
ˈyː	ˈi	0.118
ˈyː	ˈiː	0.058
ˈæ	ˈɛ	0.477
ˈæ	ˈa	0.389
ˈæ	ˈi	0.134
ˈæi̯	ˈɛː	1.0
ˈæː	ˈɛ	0.63
ˈæː	ˈi	0.37
ˈø	ˈu	0.38
ˈø	ˈi	0.322
ˈø	ˈa	0.297
ˈøi̯	ˈiu̯	0.354
ˈøi̯	ˈɛː	0.354
ˈøi̯	ŋ	0.292
ˈøː	ˈɔː	1.0
ˈɒ	ˈa	0.947
ˈɒ	ˈu	0.053
ˈɒː	ˈa	0.532
ˈɒː	ˈeː	0.468
ˈɛi̯	ˈɛː	1.0
χ	k	0.57
χ	h	0.388
