Palatine German	Old English	probability
β_ˈɑ	w	1.0
ˈɛ̃ː	ˈɑː_n	1.0
ˈɛː_s	ˈɑː_t	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈæː_j	1.0
ˈɑː_ɐ	ˈæɑ̯_r	1.0
ˈɑ_x	ˈi_ç	1.0
ˈu_n	ˈuː	1.0
ˈõː	n_u	1.0
ˈoː_n	ˈoː_n	1.0
ˈo	ˈæː	1.0
ˈĩː	ˈeː_n	1.0
ˈi	ˈeːo̯	1.0
ˈẽː	ˈiːy̯_n	1.0
ˈau̯̯	ˈyː	1.0
ˈau̯	ˈuː	1.0
ʃ_d̥	s_t	1.0
ɑ	ɑ	1.0
ɐ_ʣ̥	r_t	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_d	1.0
r_ˈaɪ̯	r_ˈeːo̯	1.0
j	ɣ	1.0
h	h	1.0
eː	iːy̯_n	1.0
d̥_ɐ	t_o	1.0
d̥_r	d_r	1.0
m	m	0.961
b̥	b	0.812
ə	ɑ_n	0.774
f	f	0.772
ˈuː	ˈoː	0.755
β	w	0.753
ˈu	ˈu	0.752
r	r	0.718
ˈiː	ˈeːo̯	0.715
ˈɪ	ˈi	0.706
ˈaɪ̯	ˈiː	0.695
ɪ	i	0.667
ɣ̊	ɣ	0.66
ʣ̥	t	0.65
ˈɑ	ˈɑ	0.61
s	s	0.605
n	n	0.593
ŋ	ŋ	0.574
kʰ	k	0.56
l	l	0.552
ˈɔ	ˈo	0.534
d̥	d	0.5
ˈoː	ˈæːɑ̯	0.468
ɐ	r	0.455
ɡ̊	ɡ	0.441
kʰ	ʧ	0.44
ˈɑː	ˈæːɑ̯	0.427
ŋ	ŋ_ɡ	0.426
l	ɫ	0.419
ˈɛ	ˈe	0.414
d̥	θ	0.399
x	x	0.391
ˈɛː	ˈɑː	0.383
ˈɑː	ˈæ	0.362
ˈeː	-	0.357
ˈɔ	ˈu	0.353
ʣ̥	tː	0.35
ʃ	ʃ	0.346
ɣ̊	j	0.34
ɪ	-	0.333
x	ʧ	0.305
ˈeː	ˈɑː	0.292
ɡ̊	k	0.291
s	t	0.288
ʃ	s	0.275
ˈɛː	ˈe	0.272
ˈuː	ˈeː	0.245
ˈeː	ˈiːy̯	0.232
f	p	0.215
ˈoː	ˈu	0.212
ɐ	e_r	0.212
ˈɛː	-	0.211
ˈɑː	-	0.21
ˈɛ	ˈeo̯	0.203
x	-	0.203
ˈaɪ̯	-	0.202
r	d	0.19
ˈiː	ˈeː	0.189
ˈoː	ˈæː	0.188
ˈɑ	ˈæɑ̯	0.187
ɡ̊	j	0.185
β	v	0.181
n	nː	0.166
ˈu	ˈoː	0.157
ˈɑ	ˈæ	0.146
ˈɛː	ˈeo̯	0.134
n	-	0.132
ˈoː	ˈo	0.131
ˈɪ	ˈy	0.13
ˈɪ	-	0.126
ˈɛ	-	0.12
ˈɛ	ˈi	0.119
ˈeː	ˈɑː_w	0.119
ə	-	0.115
ˈɔ	ˈy	0.113
b̥	p	0.112
ɐ	-	0.111
n	n_d	0.109
ˈaɪ̯	ˈeːo̯	0.102
x	xː	0.102
d̥	t	0.101
ʃ	ç	0.099
ɐ	o_r	0.099
ˈiː	ˈeːo̯_w	0.096
ˈu	ˈo	0.092
ˈɛ	ˈɛ	0.089
ʃ	ʧ	0.081
ʃ	ɣ̊	0.081
b̥	v	0.076
ʃ	x	0.073
ɐ	r_e	0.067
β	h_w	0.066
s	z	0.06
r	ð	0.059
ˈɑ	ˈiy̯	0.057
ɐ	e	0.057
ˈɛ	ˈæ	0.055
ə	ɑ	0.055
ə	n	0.055
