Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
β_ɑ	m	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑ_x	ˈɒː	1.0
ˈɑ_r	ˈaː	1.0
ˈu_r	ˈuː_æ	1.0
ˈĩː	ˈɪ	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈeː	ˈiː	1.0
ˈe_r	ˈaː	1.0
ˈe_k	ˈɪ_k	1.0
ɸ	f	1.0
ɣ_ɑ	ŋ	1.0
ɣ_i	ç	1.0
ɡʷ	-	1.0
ɛː	æ	1.0
ɔ̃ː_#>	#>	1.0
ɔːː_#>	#>	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	t_ɪ	1.0
ɑ_ð	t	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ŋ	ŋ	1.0
ð_ɛː	ɾ	1.0
ð_i	t	1.0
z_#>	#>	1.0
x_ˈɑu̯	h	1.0
x_t	ç	1.0
x_s	s	1.0
x_r	r	1.0
wː	ˈuː	1.0
w_u	ɣ	1.0
u	-	1.0
tː	t	1.0
t_ɑ	t	1.0
s_ˈe	z	1.0
s_ɑ̃	z̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ̃	æ	1.0
r_u	æ	1.0
pː	p	1.0
nː	n	1.0
n_θ	n	1.0
n_ɑ̃_#>	#>	1.0
n_d	n	1.0
mː	ˈɛ	1.0
m_b	m	1.0
lː	l	1.0
l	l	1.0
kː	-	1.0
kʷ	-	1.0
k_n	kʰ_n	1.0
k_i	k	1.0
k	k	1.0
jː	ˈae̯	1.0
iː	-	1.0
i	-	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈu	<#	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
n	n	0.959
t	t	0.914
ɑ_n	n	0.913
j	-	0.9
ɡ	-	0.889
ˈɑi̯	ˈae̯	0.867
m	m	0.846
p	p	0.818
ˈuː	ˈuː	0.8
ˈeu̯	ˈae̯	0.8
ˈɛː	ˈɒː	0.75
β	v̥	0.727
ð	d̥	0.714
θ	d	0.692
x	h	0.69
ˈɑː	ˈɒː	0.667
ˈɑu̯	ˈaʊ̯	0.667
e	æ	0.667
w	v	0.647
ˈi	ˈɪ	0.645
r_#>	æ_#>	0.636
ˈɔː	ˈaʊ̯	0.625
d	d	0.619
ɣ_j	ç	0.6
xʷ	v	0.6
r	r	0.579
ɑ	-	0.571
z	ç	0.5
z	-	0.5
ˈɑ	ˈa	0.465
s	z	0.463
ɑ	ɪ	0.429
ɣ_j	ŋ	0.4
xʷ	-	0.4
d	d̥	0.381
ˈɔː	ˈɔʏ̯	0.375
ɣ	ç	0.375
r_#>	#>	0.364
ˈu	ˈʊ	0.359
ˈe	ˈɛ	0.35
ˈɑː	ˈɛɪ̯	0.333
e	ae̯	0.333
β	m	0.273
r	æ	0.263
ˈɛː	ˈoː	0.25
ɣ	ɡ	0.25
ɣ	j	0.25
s	ʃ	0.244
w	-	0.235
ˈu	ˈɔ	0.231
ˈi	-	0.226
x	x	0.207
ˈu	ˈʏ	0.205
ˈɑu̯	ˈɔʏ̯	0.2
ˈuː	-	0.2
ˈeu̯	-	0.2
ˈe	ˈɛː	0.2
θ	d̥	0.192
p	-	0.182
s	s	0.171
m	-	0.154
ˈe	ˈiː	0.15
ˈe	ˈae̯	0.15
ˈe	-	0.15
ð	ɾ	0.143
ð	-	0.143
ˈɑ	ˈɒː	0.14
ˈɑu̯	ˈoː	0.133
ˈɑi̯	ˈɪ	0.133
ˈi	ˈiː	0.129
ˈu	ˈœː	0.128
ɣ	ɣ̊	0.125
s	z̥	0.122
w	w	0.118
θ	-	0.115
ɡ	ɡ̊	0.111
r	-	0.105
x	-	0.103
j	æ	0.1
ˈɑ	ˈɛ	0.093
ˈɑ	-	0.093
ɑ_n	m	0.087
t	-	0.086
ˈɑ	ˈaː	0.07
r	ˈoː_æ	0.053
ˈu	-	0.051
