Ligurian	Ligurian	probability
ˈɛ_l	ɾ_m	1.0
ˈyː	ˈu	1.0
ˈy_t	ˈo	1.0
ˈy	ˈu	1.0
ˈuː_r	ˈo	1.0
ˈi_ʤ	ˈi	1.0
ˈe_j	ˈi	1.0
ˈaː_t	ˈo_t	1.0
ʧ	ʎ	1.0
ʒ_e_#>	θ_#>	1.0
ɥ	a_ð	1.0
ɡ_u	ˈe_u	1.0
ɔː	o	1.0
z_a	s_a	1.0
z	-	1.0
y	e_m	1.0
w_ˈiː	ˈo_s	1.0
w_a	w_a	1.0
u_#>	#>	1.0
sː	ʃ	1.0
s_u	s_u	1.0
r_u	ɾ_u	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
m	m	1.0
l_ˈeː	ˈe_ʎ	1.0
l	ʎ	1.0
k	k	1.0
j_a	ɾ_a	1.0
j_#>	s_#>	1.0
f	f	1.0
e_#>	#>	1.0
d_e	ɾ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
p	p	0.939
ˈa	ˈa	0.931
a	a	0.931
r	ɾ	0.852
ˈøː	w_ˈe	0.8
u	u	0.788
d	d	0.778
e	e	0.756
ˈu	ˈo	0.75
ʤ	ʝ	0.75
ɲ	ɲ	0.714
ˈi	ˈi	0.692
ˈø	w_ˈe	0.667
ʃ	-	0.667
ɡ	ɣ	0.667
t	t	0.667
s	s	0.667
n	n	0.667
b	b	0.643
ˈɔ	w_ˈe	0.625
ˈe	ˈe	0.613
ʒ	θ	0.6
ˈuː	ˈo	0.571
ŋ	n	0.556
<#	<#_ɡ	0.545
v	β	0.531
ˈɔː	w_ˈe	0.5
ŋ_#>	ŋ_#>	0.5
ŋ_#>	n_u_#>	0.5
w	o	0.5
v	b	0.469
ˈuː	-	0.429
ˈeː	ˈe	0.4
ʒ	b	0.4
ˈaː	ˈa_ɾ	0.387
ˈiː	ˈi_ɾ	0.385
ˈɔ	-	0.375
i	-	0.357
ˈɛ	ˈe_j	0.333
ˈɛ	ɾ	0.333
ˈɛ	j	0.333
ˈɔː	ˈo	0.333
ˈø	-	0.333
ˈeː	j_ˈe	0.333
ʃ	θ	0.333
n	ɲ	0.333
ˈiː	ˈi	0.308
ˈi	ˈe	0.308
w	ˈa_ð	0.3
j	e	0.294
ɲ	-	0.286
i	i	0.286
<#	<#_a	0.273
ˈɛː	j_ˈe	0.267
ˈaː	ˈa	0.258
#>	ɾ_#>	0.25
#>	l_u_#>	0.25
#>	a_#>	0.25
j	ɾ	0.235
i	o_s	0.214
b	-	0.214
ˈɛː	ˈe	0.2
ˈɛː	ˈa	0.2
ˈɛː	-	0.2
ˈøː	w	0.2
ɡ	ɡ	0.2
w	w	0.2
ˈe	j	0.194
s	e_s	0.194
<#	<#_ʎ	0.182
j	o_s	0.176
j	-	0.176
ˈɔː	ˈo_ɾ	0.167
ˈu	ˈu	0.167
ŋ	ŋ	0.167
ˈaː	ˈa_l	0.161
ˈiː	ɾ	0.154
ˈiː	-	0.154
t	ð	0.152
i	s	0.143
b	f_e	0.143
ŋ	ˈe_n	0.139
ˈɛː	ɾ_e	0.133
ˈeː	ɾ_ˈe	0.133
ˈeː	-	0.133
ɡ	-	0.133
ˈe	j_ˈe	0.129
ʤ	b	0.125
ʤ	-	0.125
#>	u_#>	0.125
#>	l_#>	0.125
e	ˈe_ɾ	0.122
t	ʧ	0.121
j	ˈe	0.118
d	ð	0.111
d	-	0.111
ˈu	o	0.083
ŋ	-	0.083
s	θ	0.083
u	o	0.076
r	r	0.074
r	-	0.074
e	ɾ	0.073
ˈa	-	0.069
ˈe	-	0.065
ˈaː	ɾ	0.065
ˈaː	l_ˈa_ɾ	0.065
ˈaː	-	0.065
t	-	0.061
p	-	0.061
ŋ	m	0.056
s	-	0.056
