Aragonese	Gallurese	probability
ˈu_ʎ	ˈɔ_cː	1.0
ˈu_j	ˈɔ	1.0
ˈu	ˈu	1.0
ˈi_ɾ	ˈi	1.0
ˈe_ɾ	l	1.0
ˈe_n	n_t	1.0
ˈa_t	ˈa_i	1.0
ˈa_s	ˈa_z	1.0
ˈa	ˈa	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_n	rː	1.0
ɾ_e	u	1.0
ɾ_a	r_a	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z_u	1.0
t_ɾ	l_t	1.0
r	rː	1.0
p_o	p_u	1.0
p_l	p_j	1.0
p	p	1.0
o_s	i	1.0
l_o	l_u	1.0
k_w	k	1.0
k_l	c	1.0
j_t	tː	1.0
e_s	s	1.0
d	d	1.0
b_ɾ	i	1.0
b_e	v_i	1.0
a_ð	a_t	1.0
k	k	0.976
f	f	0.962
n	n	0.945
m	m	0.929
o	u	0.91
a	a	0.91
w_ˈe	ˈɔ	0.876
ˈi	ˈi	0.738
j_ˈe	ˈɛ	0.737
θ	ʧ	0.707
s	s	0.707
u	u	0.706
ɲ	ɲː	0.689
ʎ	ɖː	0.686
ɾ	r	0.676
m_b	mː_a	0.671
i	i	0.649
ʝ	-	0.617
ʃ	ʃː	0.616
t	t	0.601
ʧ	ɟ	0.552
b	b	0.506
b	v	0.494
j	-	0.481
e	i	0.477
ð	t	0.47
ˈo	ˈo	0.451
ʧ	-	0.448
ɣ	ɡ	0.437
t	tː	0.399
l	l	0.399
ɣ	k	0.398
ʃ	sː	0.384
ʝ	d	0.383
w	-	0.363
β	-	0.354
i	-	0.351
w	ˈɔ	0.337
m_b	m	0.329
ð	d	0.328
ɲ	nː	0.311
u	o	0.294
ˈe	ˈe	0.293
θ	-	0.271
j_ˈe	ˈe	0.263
l	ɖː	0.26
e	-	0.256
ˈe	ˈi	0.245
ˈo	ˈu	0.244
ˈe	ˈɛ	0.242
ɾ	l	0.225
ˈo	ˈɔ	0.221
β	p	0.21
ʎ	cː	0.182
e	u	0.173
β	b	0.172
l	j	0.172
ˈi	-	0.17
ɣ	-	0.165
j	j	0.153
s	-	0.152
j	ˈe	0.138
ʎ	-	0.132
β	a	0.127
w	ˈo	0.126
w_ˈe	ˈo	0.124
ð	ɟː	0.121
ˈe	ˈa	0.118
w	i	0.115
j	ˈɛ	0.113
l	-	0.109
e	ˈi	0.094
ˈi	i	0.092
a	-	0.09
s	sː	0.085
ˈo	-	0.084
β	p_a	0.083
ð	tː	0.082
m	mː	0.071
j	tː_i	0.065
w	u	0.06
l	ɖː_i	0.059
ˈe	-	0.056
ɾ	ˈa	0.056
s	j	0.056
β	bː	0.054
j	i	0.051
