East Franconian	Afrikaans	probability
β	-	1.0
ˈɪ_m	ˈəɪ̯	1.0
ˈɒː	ˈɑː	1.0
ˈɒ_l	ˈœu̯	1.0
ˈaʊ̯	ˈœɪ̯	1.0
ˈa	ˈæː	1.0
ʦ	t	1.0
ɾ_ɐ	r	1.0
ɾ	d_ə	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɡ̊_s	s	1.0
ŋ_a	ŋ	1.0
ç_d̥	χ	1.0
x	k	1.0
v̥	p	1.0
v	v	1.0
s	s	1.0
r	r	1.0
n_ʃ	n_s	1.0
n_a	n	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
i	-	1.0
h	ɦ	1.0
eː	i	1.0
d̥_ˈɔ	d_ˈɔ	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
a	-	1.0
m	m	0.934
f	v̥	0.934
n	n	0.899
ˈɒ	ˈa	0.819
ɡ̊	χ	0.812
ˈʊ	ˈɔ	0.766
ʃ_d̥	s_t	0.759
z̥	t	0.715
ˈɪ	ˈə	0.688
ʃ	s	0.681
ɐ	r	0.676
ˈoː	ˈɑː	0.653
ˈiː	ˈi	0.642
ˈuː	ˈu	0.57
ˈaɪ̯	ˈəɪ̯	0.538
ˈɔ	ˈɔ	0.535
ˈeː	ˈʊə̯	0.513
ˈɛː	ˈɑː	0.5
ˈɛː	-	0.5
ç	k	0.5
x_d̥	χ_t	0.5
x_d̥	χ	0.5
ŋ	ŋ	0.494
d̥	d	0.491
ˈeː	ˈɪə̯	0.487
ˈaː	ˈʊə̯	0.403
d̥	d̥	0.392
ˈuː	ˈʊə̯	0.386
ˈaː	ˈəɪ̯	0.345
ʃ	s_k	0.319
ŋ	χ	0.294
z̥	s_ə	0.285
ˈɛ	ˈɛ	0.279
ˈaː	ˈɪə̯	0.252
ç	χ	0.252
ç	ŋ	0.248
ʃ_d̥	s	0.241
ˈoː	ˈa	0.234
ɐ	ə_r	0.234
ŋ	n	0.212
ˈɛ	ˈɪə̯	0.208
ˈɔ	ˈʊə̯_r	0.198
ɡ̊	k	0.188
ˈʊ	-	0.183
ˈɒ	ˈɑː	0.181
ˈaɪ̯	ˈi	0.18
ˈɛ	ˈɑː	0.169
ˈɛ	ˈæ	0.167
ˈiː	ˈu	0.148
ˈɪ	ˈœ	0.135
ˈaɪ̯	ˈœɪ̯	0.135
ˈɔ	ˈʊə̯	0.133
ˈɔ	ˈa	0.133
ˈɛ	ˈa	0.115
ˈoː	ˈɪø̯	0.113
ˈiː	ˈə	0.105
ˈiː	-	0.105
ˈɪ	ˈɛ	0.102
ɐ	ə	0.09
ˈaɪ̯	ˈə	0.082
ˈɪ	-	0.074
n	n_d	0.069
ˈaɪ̯	ˈyː	0.066
m	-	0.066
f	p	0.066
ˈɛ	ˈæː	0.062
d̥	t	0.058
d̥	-	0.058
ˈʊ	ˈœ	0.051
