Min Bei	Min Bei	probability
⁵⁴	˦	1.0
ɥ	u	1.0
œ	ɨ	1.0
ŋ_²¹	ŋ_˦	1.0
²⁴_#>	#>	1.0
²⁴	u_t̚	1.0
y_⁴²	ɨ_o	1.0
w_ɛ	ɑ	1.0
w_³³	u_˦	1.0
s_u	ʃˠ	1.0
pʰ	-	1.0
o	-	1.0
n_a	n_ʌ	1.0
n	ȵ	1.0
l	l	1.0
j_u	ɨ_u	1.0
i_ŋ	e_n	1.0
a_²⁴	æ_k̚	1.0
a_w	ɑ_u	1.0
a_j	e_i	1.0
<#_t	<#	1.0
<#_p	<#	1.0
<#_n	<#	1.0
#>	˧˥_#>	1.0
⁵⁵	˥˩	0.857
³³	˦	0.818
²¹	˧˥	0.793
kʰ	kʰ	0.75
e	i	0.75
<#	<#_ɦ	0.75
x	h	0.714
tʰ	tʰ	0.667
ɔ	u	0.611
m	m	0.571
ʦʰ	ʦʰ	0.556
ɛ	i	0.556
⁴²	˧˥	0.5
⁴²	u_k̚	0.5
s	s	0.5
p	p	0.5
p	b	0.5
i	i_ɪ	0.5
k	k	0.462
ŋ	ŋ	0.455
ʦʰ	ʨʰ	0.444
ʦ	ʦ	0.444
u	ɨ	0.444
t	d	0.429
m	mˠ	0.429
y	i_u	0.417
ŋ	n	0.386
a	a	0.353
ʦ	ʣ	0.333
y	ɨ_ʌ	0.333
w	ʌ	0.333
w	w	0.333
w	u	0.333
u	u_o	0.333
tʰ	d	0.333
j	i	0.333
i	ɨ	0.333
s	ɕ	0.3
a	e	0.294
x	ɨ	0.286
t	ʈ	0.286
t	t	0.286
y	ɨ	0.25
kʰ	kʰˠ	0.25
e	ə_u	0.25
<#	<#_m	0.25
j	ɪ	0.238
a	ɑ	0.235
k	ɡ	0.231
ʦ	ʨ	0.222
ɛ	ʌ_i	0.222
ɛ	ə_k̚	0.222
u	u	0.222
²¹	˦	0.207
j	ɛ	0.19
³³	˥˩	0.182
ɔ	ɑ	0.167
i	i_e	0.167
ŋ	m	0.159
k	ɡˠ	0.154
k	kˠ	0.154
⁵⁵	˧˥	0.143
j	-	0.143
a	æ	0.118
ɔ	ʌ	0.111
ɔ	ɨ_ɐ	0.111
s	ʃ	0.1
s	ɕˠ	0.1
j	e	0.095
