Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈeː	1.0
ˈœː	-	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː_æ	ɐ	1.0
ˈiː_d̥	ˈaɪ̯_d̥	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	ˈiː	1.0
ˈae̯_n_#>	ˈaː_#>	1.0
ʃ	ʃ	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊	-	1.0
ɡ_n	ŋ	1.0
ŋ	ŋ	1.0
æ	ɐ	1.0
z̥	s	1.0
z_ˈœː	s	1.0
x	x	1.0
w	v	1.0
v̥_#>	b̥_#>	1.0
v̥	-	1.0
v	v	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	b̥͡v̥	1.0
n_n	n_a	1.0
l_d̥	l_d̥	1.0
l	l	1.0
kʰ	ɡ̊	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_ˈɪ	d̥_ˈɪ	1.0
d	d̥	1.0
ae̯	eː	1.0
<#_n	<#_n	1.0
m	m	0.938
ˈa	ˈɒ	0.905
z	s	0.889
b	b̥	0.85
n	n	0.831
ɡ	ɡ̊	0.8
ˈʊ	ˈʊ	0.769
#>	n_#>	0.75
ɾ	ɾ	0.714
ˈɒː	ˈoː	0.706
ˈaʊ̯	ˈuː	0.682
ɪ	i	0.667
j	ɡ̊	0.667
ˈiː	ˈaɪ̯	0.625
ˈuː	ˈaʊ̯	0.579
ˈɪ	ˈɪ	0.577
ˈʏ	ˈɪ	0.556
ˈɛ	ˈɛ	0.5
ˈɔʏ̯	ˈiː	0.5
ˈɔʏ̯	-	0.5
ˈɔ	ˈɔ	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈoː	ˈoː	0.5
ˈoː	-	0.5
k_#>	ɡ̊_#>	0.5
k_#>	#>	0.5
ˈae̯	ˈiː	0.474
k	x	0.462
s	s	0.429
ˈae̯	ˈaː	0.421
ˈɛː	ˈɛ	0.375
ˈɛː	-	0.375
t	d̥	0.375
ɪ	ɪ	0.333
j	j	0.333
k	ç	0.308
ˈɔ	ˈʊ	0.3
t	s	0.3
ˈaː	ˈɛ_ɐ	0.286
ˈaː	ˈoː	0.286
ˈaː	ɐ	0.286
ɾ	-	0.286
s	ʃ	0.286
s	ɡ̊_s	0.286
ˈuː	-	0.263
ˈɛː	ˈoː	0.25
ˈiː	ˈiː	0.25
ç	ç	0.25
#>	ˈuː_#>	0.25
ˈʊ	ˈɔ	0.231
k	ɡ̊	0.231
ˈaʊ̯	ˈaː	0.227
ˈʏ	ˈʊ	0.222
ˈʏ	ˈaɪ̯	0.222
ˈɛ	ˈeː	0.214
ˈɔ	ˈɒ	0.2
ɡ	-	0.2
ˈɪ	ˈiː	0.192
ç	ɡ̊_n	0.188
ç	-	0.188
t	ʦ	0.175
ˈuː	ˈɔ	0.158
b	-	0.15
ˈɛ	ˈɪ	0.143
ˈɛ	-	0.143
ˈaː	ˈa	0.143
ˈiː	ˈɛ	0.125
ç	ɡ̊	0.125
ç	ç_d̥	0.125
ç	x	0.125
t	z̥	0.125
ˈɒː	ˈɒ	0.118
ˈɒː	-	0.118
z	-	0.111
ˈae̯	ˈaɪ̯	0.105
n	-	0.102
ˈa	ˈɔ	0.095
ˈaʊ̯	ˈɒ	0.091
ˈɪ	ˈaː	0.077
ˈɪ	ˈaɪ̯	0.077
ˈɪ	-	0.077
m	-	0.062
ˈɒː	ˈɒː	0.059
