Western Lombard	Latin	probability
b	b	1.0
i	ɛ	1.0
ĩ	iː	1.0
n	n	1.0
z	s	1.0
ˈeː	ˈɪ	1.0
ˈɛ̃ː	ˈɛ	1.0
a	aː	0.081
k	k_ʊ̃ː	0.161
r	r_ɛ̃ː	0.071
ˈaː	ˈa	0.511
ˈãː	ʊ̃ː	0.11
ˈe	ˈɪ	0.41
ˈẽː	ˈɛ_n	0.801
ˈø	ˈɔ	0.921
a	ɛ̃ː	0.062
e	ɪ	0.152
j	-	0.2
l	ɫ	0.532
m	ɪ_m	0.052
u	ɔ	0.932
ɡ	ɡ	0.452
ʃ	<#_h	0.122
ʃ	<#_a	0.122
ʤ	k	0.052
ʦ	t	0.302
ˈe	ˈɛ	0.432
ˈy	ʊ̃ː	0.122
ˈøː	ɛ̃ː_#>	0.162
ˈɔ	ˈɔ	0.802
ˈɛ	ˈeː	0.082
d	t	0.153
f	-	0.223
t	t	0.693
ʧ	k_t	0.183
ˈa	ˈaː	0.153
ˈa	ˈa	0.513
ˈũː	ʊ̃ː	0.793
ˈyː	ˈuː	0.653
ˈøː	ɛ_#>	0.153
e	ɛ	0.714
j	i	0.174
t	tː	0.054
t	n_t	0.194
ʋ	w	0.924
ˈãː	ˈa	0.814
ˈi	ˈiː_lʲ	0.114
ˈi	ˈiː_r	0.24
j	lʲ_i	0.05
l	lʲː	0.075
l	l	0.145
r	r	0.805
s	-	0.285
ɲ	n_e	0.115
ʤ	j	0.245
ʤ	ɡ	0.615
ʧ	k	0.555
ˈu	ˈɔ	0.305
ˈøː	ˈɔ	0.445
a	a	0.156
j	ʊ_ɫ	0.106
l	ɫ_ʊ̃ː	0.066
m	m	0.836
p	p	0.996
s	s	0.586
ʋ	-	0.076
ʧ	-	0.196
ˈãː	ˈa_ŋ	0.076
ˈi	ˈuː	0.076
ˈu	ˈoː	0.086
a	ãː	0.577
e	ɔ	0.087
f	f	0.777
j	ɫ	0.47
k	k	0.767
l	lʲː_ʊ̃ː	0.17
ɲ	ɡ_n	0.207
ʃ	-	0.477
ˈe	ˈeː	0.117
ˈi	ˈiː	0.557
ˈũː	ˈʊ	0.207
ˈyː	ˈoː	0.347
ˈøː	ʊ̃ː_#>	0.177
d	d	0.8
m	m_ɛ̃ː	0.078
u	a	0.068
ɡ	k	0.548
ɲ	n	0.678
ʃ	s	0.28
ʤ	ŋ_ɡ	0.088
ʦ	-	0.698
ˈa	ˈaː_r	0.288
ˈy	ˈuː	0.878
ˈɛ	ˈɛ	0.918
t	k_t	0.059
ˈaː	ˈaː	0.489
ˈẽː	ˈɪ	0.199
ˈu	ˈʊ	0.609
ˈø	ˈʊ	0.079
ˈɔ	ˈa	0.059
ˈɔ	ˈau̯	0.139
