Catalan	Lombard	probability
b	ʋ	0.517
b	b	0.391
d	d	0.909
d	-	0.086
f	f	1.0
i	ĩ	0.415
i	i	0.315
i	-	0.128
i	j	0.084
j	-	0.758
j	j	0.183
k	k	0.955
l	l	0.527
l	j	0.209
l	-	0.172
l	l_a	0.069
m	m	0.842
m	-	0.141
n	n	0.63
n	t	0.202
n	-	0.08
n	ɲ	0.056
p	p	0.972
r	r	0.969
s	s	0.598
s	ʧ	0.154
s	-	0.068
s	ʦ	0.065
s	ʃ	0.053
t	t	0.784
t	ʧ	0.14
u	u	0.54
u	-	0.099
u	o	0.076
u	e	0.062
u	j	0.062
u	ũ	0.06
u	y	0.052
w	f	0.269
w	-	0.25
w	w	0.201
w	ʦ	0.09
w	ˈu	0.058
w	i	0.053
w	ˈɔ	0.051
z	-	0.574
z	s	0.284
ð	d	0.722
ð	-	0.232
ŋ	k	0.549
ŋ	-	0.284
ŋ	ˈẽː	0.133
ə	a	0.582
ə	-	0.239
ə	e	0.097
ɡ	ɡ	0.631
ɡ	ʤ	0.356
ɣ	ɡ	0.558
ɣ	k	0.251
ɣ	-	0.143
ɲ	ɲ	0.582
ɲ	n	0.17
ɲ	ã	0.084
ɲ	ˈy	0.084
ɲ	ʦ	0.063
ɾ	r	0.625
ɾ	e_r	0.165
ɾ	-	0.128
ʃ	s	1.0
ʃ_ə	s	1.0
ʎ	l	0.74
ʎ	ʧ	0.12
ʎ	j	0.063
ʒ	ʤ	0.62
ʒ	-	0.308
ʒ	f	0.07
ʤ	d	0.213
ʤ	ʧ	0.213
ʧ	s	0.327
ʧ	ʦ	0.327
ˈa	ˈa	0.674
ˈa	ˈãː	0.168
ˈa	ˈaː	0.107
ˈe	ˈe	0.38
ˈe	ˈɛ	0.349
ˈe	ˈa	0.122
ˈe	ˈɛ̃ː	0.067
ˈe	ˈẽː	0.058
ˈi	ˈi	0.523
ˈi	ˈĩː	0.177
ˈi	ˈɛ	0.086
ˈi	ˈe	0.086
ˈi	ˈa	0.057
ˈi	ˈu	0.057
ˈi_ʎ	ˈi	1.0
ˈo	ˈu	0.39
ˈo	ˈũː	0.186
ˈo	ˈy	0.162
ˈo	ˈø	0.11
ˈo	ˈyː	0.084
ˈo	ˈuː	0.054
ˈu	ˈy	0.327
ˈu	ˈø	0.214
ˈu	ˈu	0.127
ˈu	ˈyː	0.12
ˈu	ˈi	0.111
ˈu	ˈũː	0.084
ˈɔ	ˈɔ	0.504
ˈɔ	ˈøː	0.164
ˈɔ	ˈu	0.118
ˈɔ	ˈũː	0.061
ˈɔ	ˈyː	0.053
ˈɔ	ˈø	0.053
ˈɛ	ˈɛ	0.371
ˈɛ	ˈe	0.265
ˈɛ	ˈeː	0.093
ˈɛ	-	0.089
ˈɛ	ˈɔ	0.06
ˈɛ_w	ˈɛ	1.0
β	ʋ	0.573
β	b	0.194
β	-	0.115
β	ɡ	0.076
