Sassarese	Sassarese	probability
β_i	i	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈu	ˈu	1.0
ˈi_#>	i_#>	1.0
ˈa_mː	ˈa_m	1.0
ˈa_#>	ˈa_i_#>	1.0
ʧː	ɣ	1.0
ʧ	k_ɾ	1.0
ʤː	ʤ	1.0
ʤ	ʤ	1.0
ʣ	z	1.0
ʒ	ʒ	1.0
ʎː	ɭː	1.0
ʃː	ʃ	1.0
ɲː	n_ʤ	1.0
ɮ	ɾ	1.0
ɔ	ɔ_n	1.0
ŋ	ŋ	1.0
z_u	z_u	1.0
xː	k	1.0
x	k	1.0
w	w	1.0
v	b	1.0
u_r	ɔ_l	1.0
tː	t	1.0
t_i	t_i	1.0
sː_u	s_u	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_ˈɔ	ɾ_ˈu	1.0
r_a	a	1.0
pː	p	1.0
p_u	p_ˈo	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
n_a	n_a	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	k	1.0
i_m	i_m	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	ɛ	1.0
d_i	i	1.0
a_β	u	1.0
a_n	a_n	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
a	a	0.966
k	k	0.933
p	p	0.931
n	n	0.929
b	b	0.905
ˈa	ˈa	0.902
t	t	0.889
ˈi	ˈi	0.848
u	u	0.84
ɡː	ɣ	0.8
i	i	0.765
r_u	l_u	0.7
ʦ	ʒ	0.667
ˈɛ	ˈɛ	0.656
r	ɾ	0.632
d	d	0.591
ɡ	ɡ	0.583
<#_i	<#_s	0.571
β	β	0.5
β	-	0.5
ɬ	s	0.5
bː	β	0.5
bː	-	0.5
a_r	ɾ	0.5
a_r	ɛ_ɾ	0.5
dː	ð	0.478
ˈɔ	ˈɔ	0.471
<#_i	<#	0.429
ɡ	ɣ	0.417
ˈe	ˈɛ	0.414
#>	ŭ_#>	0.407
#>	i_#>	0.407
ˈo	ˈo	0.37
dː	ɖː	0.348
ˈe	ˈe	0.345
ˈo	ˈɔ	0.333
ʦː	ʧ	0.333
ʦː	ʦ	0.333
ʦː	s	0.333
ʦ	-	0.333
ɬ	-	0.333
r_u	u	0.3
ˈɛ	ˈe	0.281
d	-	0.273
ˈɔ	ˈo	0.265
j	ɾ	0.261
ˈo	ˈu	0.222
j	z	0.217
j	j	0.217
j	-	0.217
ɡː	-	0.2
#>	ɾ_i_#>	0.185
r	l	0.184
ɬ	ɾ	0.167
ˈɔ	ˈu	0.147
ˈe	ˈi	0.138
d	ð	0.136
t	t_ˈa	0.111
ˈe	i	0.103
b	-	0.095
ˈi	i	0.091
j	ˈa	0.087
dː	ɭː	0.087
dː	-	0.087
r	ɛ_ɾ	0.079
ˈo	ɾ_ˈu	0.074
n	-	0.071
p	β	0.069
k	-	0.067
ˈɛ	ˈi	0.062
ˈi	i_ɾ	0.061
ˈɔ	ɾ_ˈo	0.059
ˈɔ	-	0.059
u	i	0.053
r	r	0.053
r	-	0.053
