Bellunese	Bellunese	probability
ˈɛ_ð	i	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_r	æɛ̯_ʁ	1.0
ˈɛ_n	ã	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_ʧ	u	1.0
ˈɔ_s	o	1.0
ˈu_n	œ̃ʏ̯̃	1.0
ˈo_ɡ	øʏ̯	1.0
ˈo_ŋ	ɒ̃ʊ̯̃	1.0
ˈo_l	u	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈi_r	i_ʁ	1.0
ˈe_n	ã	1.0
ˈa_ŋ	ẽɪ̯̃	1.0
ˈa_r	e	1.0
ʤ	ɡ	1.0
ŋ_t_#>	#>	1.0
w	-	1.0
v_ˈa	v_a	1.0
v_e	e	1.0
u	-	1.0
t_#>	#>	1.0
s_e	t	1.0
p	p	1.0
o_#>	#>	1.0
m_a_#>	m_#>	1.0
m	m	1.0
l_a	l	1.0
l_#>	#>	1.0
k_ˈa	ʃ	1.0
k_a	ʃ	1.0
j_ˈa	l	1.0
i	-	1.0
f	f	1.0
e_#>	#>	1.0
d_e	ɛ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
#>	e_#>	1.0
r	ʁ	0.918
l	l	0.846
θ	s	0.789
n	n	0.789
t	t	0.778
ð	ʒ	0.75
s	s	0.727
k	k	0.692
v	v	0.667
d	-	0.643
ˈɔ	ɑɔ̯	0.6
z	z	0.6
a	a	0.579
ˈu	y	0.571
e	-	0.56
j	j	0.556
ˈɛ	ɛ	0.5
ˈɛ	-	0.5
ɲ	ɲ	0.5
ɲ	-	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ŋ	ã	0.5
<#	<#_ʁ	0.5
<#	<#_ɡ	0.5
ˈi	ɪ	0.467
ˈu	u	0.429
z	-	0.4
ˈa	æɛ̯	0.364
ŋ	ẽɪ̯̃	0.357
j	l	0.333
k	ʃ	0.308
o	-	0.286
s	-	0.273
ˈi	i	0.267
ˈi	-	0.267
ð	-	0.25
o	u	0.238
ˈe	ɛ	0.229
ˈe	-	0.229
t	-	0.222
d	ʣ	0.214
ˈa	a	0.212
θ	-	0.211
n	-	0.211
a	-	0.211
ˈɔ	u	0.2
ˈɔ	-	0.2
ˈe	w_ɛ	0.2
e	œ	0.2
o	ɔ	0.19
ˈo	œ	0.174
ˈo	aœ̯	0.174
ˈo	-	0.174
e	ɛ	0.16
l	-	0.154
v	-	0.148
ˈe	w	0.143
ŋ	-	0.143
o	ʁ	0.143
o	øʏ̯	0.143
d	d	0.143
ˈo	ʊ	0.13
ˈo	ɔ	0.13
ˈo	u	0.13
ˈa	ɛ	0.121
ˈa	e	0.121
ˈa	-	0.121
ˈe	æɛ̯	0.114
v	v_w	0.111
j	-	0.111
a	ɛ	0.105
a	l	0.105
ˈo	w	0.087
ˈe	ã	0.086
e	d	0.08
v	f	0.074
ˈa	l	0.061
