Proto-Slavic	Proto-Slavic	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɨ̌	ɨ̌	1.0
ɨ̂ː	ɨ̂ː	1.0
ɨˀ	ɨˀ	1.0
ɡ	ɡ	1.0
ɛ̌ː	ɛ̌ː	1.0
ɛ̌	ɛ̌	1.0
ɛ̂ː	ɛ̂ː	1.0
ɛː	ɛː	1.0
ɛˀ	ɛˀ	1.0
ɛ	ɛ	1.0
z	z	1.0
x	x	1.0
v	v	1.0
ǔː	ǔː	1.0
ŭ̌	ŭ̌	1.0
ŭ̂	ŭ̂	1.0
ŭ_t	ŭ_t	1.0
ŭ	ŭ	1.0
ûː	ûː	1.0
t_ŭ	t_ŭ	1.0
t_r	t_r	1.0
t	t	1.0
s	s	1.0
r_v	r_v	1.0
r_ŭ	r_ŭ	1.0
r	r	1.0
p	p	1.0
ǒ	ǒ	1.0
õː	õː	1.0
ôː	ôː	1.0
ô	ô	1.0
oˀ	oˀ	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l_ŭ	l_ŭ	1.0
l	l	1.0
k_r	k_r	1.0
k	k	1.0
j	j	1.0
ǐ	ǐ	1.0
ĭ̌ː	ĭ̌ː	1.0
ĭ̌	ĭ̌	1.0
ĭ̂	ĭ̂	1.0
ĭˀ	ĭˀ	1.0
ĭ	ĭ	1.0
i	i	1.0
ě	ě	1.0
ẽ̂ː	ẽ̂ː	1.0
ẽː	ẽː	1.0
ẽ	ẽ	1.0
êː	êː	1.0
ê	ê	1.0
e	e	1.0
d_ŭ	d_ŭ	1.0
d_l	d_l	1.0
d	d	1.0
b	b	1.0
ǎ	ǎ	1.0
aˀ	aˀ	1.0
a	a	1.0
<#_l	<#_l	1.0
