Icelandic	Old English	probability
θ	θ	1.0
ˈɛi̯	ˈɑː	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈæɑ̯	1.0
ˈœːy̯	ˈæːɑ̯	1.0
ˈœː	-	1.0
ˈu	ˈu	1.0
ˈou̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	ˈæ_t	1.0
ʰt	t	1.0
ʰp	pː	1.0
ʰc	ʧː	1.0
ɲ	ŋ	1.0
ɣ_ʏ	j	1.0
ɣ	ɣ	1.0
ɛ_ɣ	iː	1.0
ɛ	eo̯	1.0
ɑu̯	i	1.0
ŋ	ŋ	1.0
ð_ʏ	θ	1.0
ð_j	dː	1.0
ç	h	1.0
x	-	1.0
u	w	1.0
t͡n̥	n	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r_t͡n̥	r_n	1.0
pʰ	p	1.0
n̥	n	1.0
n	n	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	h_w	1.0
j_ˈuː	ˈeːo̯	1.0
j_ˈoːu̯	ˈeːo̯	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	k	1.0
c	ʧ	1.0
b̥	b	1.0
aːu̯	iːy̯	1.0
s	s	0.903
r	r	0.89
ˈoːu̯	ˈoː	0.861
ˈœ	-	0.794
ˈi	ˈi	0.783
r̥	r	0.781
p	p	0.754
kʰ	k	0.735
a	ɑ_n	0.708
ð	d	0.704
ˈɔː	ˈu	0.703
ˈuː	ˈuː	0.69
ʏ	e	0.675
ʰk	ŋ_k	0.667
ˈʏ	ˈu	0.608
ɟ̊	ɡ	0.6
ˈɔ	ˈo	0.598
ˈaːi̯	ˈeː	0.596
ˈaːu̯	-	0.593
ˈiː	ˈiː	0.587
k	k	0.579
ˈʏː	ˈu	0.578
ˈɪː	ˈi	0.559
ˈɪ	ˈi	0.548
ˈɛːi̯	ˈɑː	0.541
ˈaː	ˈæ	0.539
l	l	0.539
v	v	0.518
ɡ̊ː	ʤ	0.5
ɡ̊ː	-	0.5
nː	nː	0.5
ɡ̊	ɡ	0.476
t͡l̥	ɫː	0.475
ˈa	ˈæɑ̯	0.474
l	ɫ	0.461
ˈɛːi̯	-	0.459
ˈɪː	-	0.441
ɪ	o	0.434
ˈʏː	-	0.422
k	ʧ	0.421
ˈaːu̯	ˈɑː	0.407
ˈaːi̯	-	0.404
ɟ̊	j	0.4
ˈɑːu̯	ˈæːɑ̯	0.392
ˈaː	ˈɑ	0.385
ɪ	e	0.347
ɡ̊	j	0.337
ˈɛ	ˈe	0.333
ˈɑːu̯	-	0.333
ʰk	kː	0.333
j	-	0.313
ˈuː	ɣ	0.31
v	w	0.307
ˈɛː	ˈe	0.304
ˈɔː	ˈæː	0.297
t͡l̥	l	0.29
ˈɛː	w	0.289
ˈiː	ˈiːy̯	0.283
nː	-	0.282
ˈa	ˈɑ	0.278
ˈɑːu̯	ˈæː	0.275
kʰ	ʧ	0.265
ˈʏ	-	0.262
a	e	0.259
ˈɔ	w	0.25
ˈa	-	0.248
j	ˈeːo̯	0.247
p	-	0.246
t͡l̥	ɫ	0.235
ˈɛː	ˈeː	0.229
ˈɛ	-	0.225
r̥	e	0.219
nː	θ	0.218
ˈi	-	0.217
ˈɛ	ˈeo̯	0.214
ˈœ	ˈɑ	0.206
j	ˈe	0.183
j	ˈeo̯	0.181
ˈɛː	-	0.178
ɪ	-	0.174
ˈɪ	ˈy	0.156
ˈɛ	ˈi	0.153
ˈɔ	-	0.152
ˈɪ	ˈo	0.148
ˈɪ	-	0.148
ˈoːu̯	ˈeːo̯	0.139
ʏ	o	0.135
ˈʏ	ˈuː	0.131
ˈiː	ˈeːo̯	0.13
ʏ	u	0.107
ð	-	0.107
ð	ð	0.104
v	-	0.103
ɡ̊	-	0.101
ɡ̊	ɣ̊	0.085
ð	θ	0.085
ʏ	-	0.083
j	xː	0.076
ˈɛ	ˈæː	0.075
ˈaː	æːɑ̯	0.075
v	bː	0.072
r	r_ˈeːo̯	0.062
s	s_w	0.051
