Québécois French	Québécois French	probability
ʦ	ʧ	1.0
ʣ	dʲ	1.0
ʒ	ʤ	1.0
ʏ	ˈy	1.0
ʊ	ˈu	1.0
ʃ	ʧ	1.0
ʁ_w	ʀ_ˈɪ	1.0
ɲ	ɲ	1.0
ɡ_ɥ	ɡʲ	1.0
ɛɪ̯	ˈe	1.0
ɛ_#>	#>	1.0
œ̃ʏ̯̃	ˈỹ	1.0
æɛ̯_n	ˈa_n	1.0
v_ʁ	b_ʀ	1.0
v_a	v_ˈa	1.0
u_ʁ	ˈu_ʀ	1.0
t_#>	t_ɔ_#>	1.0
s_a	s_ˈa	1.0
s_#>	s_ɔ_#>	1.0
p_w	pʲ	1.0
p	p	1.0
o	ˈɔ	1.0
n_œ	n_w	1.0
n	n	1.0
j_e	ˈe	1.0
i_ʁ	ˈi	1.0
i_#>	j_#>	1.0
f_#>	w_#>	1.0
e	ˈa	1.0
d	d	1.0
b_#>	b_ɔ_#>	1.0
aœ̯_ʁ	ˈu	1.0
<#_ʁ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_e	<#_ɪ	1.0
ʁ	ʀ	0.921
l	l	0.903
m	m	0.889
s	s	0.879
k	k	0.87
b	b	0.867
t	t	0.846
e_#>	ˈa_#>	0.833
f	f	0.818
ɪ	ˈi	0.75
ɑɔ̯	w_ˈɔ	0.75
<#_l	<#_l	0.75
v	v	0.737
ɡ	ɡ	0.727
ɛ_l	ˈa_l	0.667
y	ˈy	0.667
ɥ	ˈœ	0.625
ɔ	w_ˈɔ	0.571
u	ˈu	0.526
ɛ_ʁ	ʀ_ə	0.5
ɛ_ʁ	ə	0.5
ɑ	ˈa	0.5
ɑ	-	0.5
æɛ̯_j	ˈa_ʎ	0.5
æɛ̯_j	ʎ	0.5
z	ʒ	0.5
z	z	0.5
w_ɛ	ˈu_s	0.5
w_ɛ	ə	0.5
oʊ̯	ˈa_w	0.5
j	ʎ	0.5
a	ˈa	0.471
i	ˈi	0.455
#>	ɔ_#>	0.442
ɔ	u	0.429
øʏ̯	-	0.429
a	ɒ	0.412
ẽɪ̯̃	ˈã	0.389
ã	ˈã_ŋ	0.389
ɥ	-	0.375
ɒ̃ʊ̯̃	ˈũ	0.357
oʊ̯	ˈe_l	0.357
ɛ_l	l	0.333
y	-	0.333
w	ˈɪ	0.333
ẽɪ̯̃	ˈĩ	0.333
ã	ˈẽ_ŋ	0.333
ɛ	j	0.312
œ	ə	0.312
ɒ̃ʊ̯̃	w_ˈɔ̃	0.286
øʏ̯	ˈɔ_k	0.286
øʏ̯	k	0.286
ɡ	-	0.273
æɛ̯	ˈe_j	0.267
v	vʲ	0.263
u	u	0.263
ɪ	-	0.25
ɛ	ˈɪ	0.25
ɑɔ̯	-	0.25
<#_l	<#_ʎ	0.25
æɛ̯	ˈa	0.233
#>	ə_#>	0.233
u	w	0.211
æɛ̯	ˈe	0.2
æɛ̯	ɒ	0.2
j	-	0.2
w	-	0.19
ɛ	-	0.188
œ	ɒ	0.188
i	ˈe_s	0.182
i	ɔ	0.182
i	i	0.182
e_#>	#>	0.167
ã	ã	0.167
#>	ŋ_#>	0.155
t	ʧ	0.154
j	ˈe	0.15
j	ˈa	0.15
ɒ̃ʊ̯̃	ˈɔ̃	0.143
ɒ̃ʊ̯̃	ˈũ_ŋ	0.143
w	ˈe	0.143
w	w_ˈẽ	0.143
oʊ̯	ˈɛ	0.143
b	b_w	0.133
k	k_w	0.13
ɛ	ˈe	0.125
ɛ	ə	0.125
œ	ˈœ	0.125
œ	j_ˈɔ	0.125
œ	j	0.125
œ	-	0.125
a	a	0.118
m	mʲ	0.111
ẽɪ̯̃	ɲ	0.111
ẽɪ̯̃	ŋ	0.111
ã	ŋ	0.111
æɛ̯	ˈɪ	0.1
w	ʀ	0.095
w	w	0.095
f	ˈɔ_w	0.091
f	fʲ	0.091
ɒ̃ʊ̯̃	ũ	0.071
l	ʎ	0.065
s	s_ə	0.061
s	-	0.061
ẽɪ̯̃	ĩ	0.056
