Proto-Germanic	Nynorsk Norwegian	probability
a	-	0.479
b	b	0.953
b	-	0.049
d	d	0.639
d	-	0.234
d	tʰ	0.118
d_ɑ	d	0.85
d_ɑ	nː	0.071
e	ɑ	0.66
e	e	0.151
i	-	0.672
i	e	0.224
i	ɛ	0.046
i	ʋ	0.041
i	ə	0.032
i_j	ɾ	0.479
iː	ɪ	0.574
iː	-	0.275
j	-	0.886
j	ˈɪ	0.057
j	ə	0.057
j_ɔ̃ː	ə	1.0
jː	ɡː	1.0
k	kʰ	0.523
k	k	0.158
k	ç	0.138
k	-	0.07
k	ʰkː	0.07
k_i	k	1.0
k_s	k	1.0
k_ɑ	k	0.733
k_ɑ	ʰkː	0.265
k_ˈi	ˈiː	0.479
kʷ	ç	0.758
kʷ	kʰ	0.083
kː	k	0.479
l	l	0.77
l	lː	0.091
l	j	0.047
l	nː	0.036
l	-	0.034
l_ɑ	l	1.0
lː	lː	1.0
m	m	0.913
m	mː	0.059
m	-	0.037
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.229
n	n	0.566
n	-	0.357
n	nː	0.074
n_ɑ	n	0.803
n_ɑ	ɾ	0.148
n_ɑ̃	ɑ	0.75
n_ɑ̃	n	0.249
n_θ	nː	1.0
nː	nː	1.0
p	p	0.886
p	-	0.099
pː	ʋ	0.053
r	ɾ	0.895
r	-	0.104
r_i	ɾ	0.479
r_ð	ɾ	1.0
r_ɑ	ɾ	1.0
r_ɑ̃	ɾ	1.0
r_ɔː	ɾ	1.0
r_θ	ɾ	1.0
s	s	0.832
s	ʃ	0.087
s	-	0.075
s_k	ʃ	1.0
s_ɑ̃	s	1.0
sː	s	1.0
t	t	0.525
t	tʰ	0.278
t	ç	0.074
t	-	0.063
t	çː	0.049
t_s	ʰtː	0.37
t_s	t	0.363
t_ɑ	t	0.775
t_ɑ	ʰtː	0.211
t_ɑ̃	t	0.74
t_ɑ̃	s	0.129
u	-	0.801
u	e	0.14
u	ʉ	0.053
w	-	0.455
w	ʋ	0.421
w	ˈuː	0.062
w	ˈʏ	0.036
w	v	0.034
w_ˈe	ʋ	0.229
w_ˈu	ˈʉ	0.561
w_ˈu	ˈuː	0.425
wː	ɡ	1.0
x	h	0.535
x	-	0.373
x	ɡ	0.035
x	k	0.035
x	ŋː	0.03
x_t	ʰtː	1.0
xʷ	kʰ_ʋ	0.74
