Proto-Germanic	Nynorsk Norwegian	probability
a	-	1.0
b	b	0.963
d	d	0.673
d	-	0.238
d	tʰ	0.055
e	-	0.455
e	ə	0.455
e	e	0.091
i	-	0.73
i	e	0.125
i	ɾ	0.082
iː	ɪ	0.513
iː	-	0.487
j	-	0.895
j	ə	0.105
jː	ɡː	1.0
k	k	0.409
k	kʰ	0.189
k	-	0.17
k	ɕ	0.152
kʷ	kʰ	0.884
kʷ	ɕ	0.116
kː	k	0.677
kː	ɕː	0.323
l	l	0.817
l	lː	0.102
l	j	0.057
lː	lː	1.0
m	m	0.94
mː	j	1.0
n	n	0.472
n	-	0.436
n	nː	0.092
nː	nː	1.0
p	p	0.945
p	-	0.055
pː	ʰpː	1.0
r	ɾ	0.94
r	-	0.06
s	s	0.761
s	ʃ	0.216
sː	s	1.0
t	t	0.543
t	tʰ	0.179
t	-	0.137
t	tː	0.056
u	-	0.816
u	e	0.154
w	ʋ	0.482
w	-	0.401
w	v	0.077
wː	ɡ	1.0
x	h	0.488
x	-	0.285
x	ʰtː	0.137
x	j	0.052
xʷ	kʰ	0.617
xʷ	-	0.383
z	-	0.991
ð	-	0.903
ð	d	0.097
ŋ	-	0.5
ŋ	ŋ	0.301
ŋ	ɲ	0.199
ɑ	-	0.688
ɑ	ɑ	0.296
ɑi̯	-	1.0
ɑː	ɑ	1.0
ɑ̃	-	0.603
ɑ̃	e	0.181
ɑ̃	ŋ	0.108
ɑ̃	ɑ	0.108
ɔː	e	0.643
ɔː	-	0.215
ɔː	ɑ	0.142
ɔːu̯	e	1.0
ɔːː	e	0.479
ɔːː	ɑ	0.234
ɔːː	n	0.188
ɔːː	-	0.1
ɔ̃ː	e	1.0
ɛː	-	0.468
ɛː	e	0.376
ɛː	ɛ	0.156
ɡ	ŋː	0.746
ɡ	-	0.254
ɡʷ	j	1.0
ɣ	ɡ	0.568
ɣ	j	0.197
ɣ	ɡː	0.173
ɣ	-	0.061
ɸ	f	0.936
ɸ	-	0.058
ˈe	ˈɛ	0.188
ˈe	ˈeː	0.137
ˈe	j	0.105
ˈe	ˈoː	0.091
ˈe	ˈiː	0.075
ˈe	ˈœ	0.068
ˈe	ˈɛː	0.059
ˈe	ˈæ	0.052
ˈe	ˈʉː	0.051
ˈeu̯	ˈyː	0.457
ˈeu̯	ˈʉː	0.38
ˈeu̯	ˈuː	0.082
ˈeu̯	ˈʏ	0.082
ˈeː	ˈeː	1.0
ˈi	ˈɪ	0.507
ˈi	ˈʏ	0.146
ˈi	ˈiː	0.126
ˈi	ˈɛ	0.114
ˈi	ˈeː	0.089
ˈiu̯	ˈyː	0.795
ˈiu̯	ˈʏ	0.157
ˈiː	ˈiː	0.918
ˈiː	ˈeː	0.082
ˈĩː	ˈɛ	1.0
ˈu	ˈʉ	0.406
ˈu	ˈɔ	0.209
ˈu	ˈʊ	0.162
ˈu	ˈʏ	0.136
ˈu	ˈuː	0.052
ˈuː	ˈʉː	0.892
ˈuː	ˈyː	0.064
ˈɑ	ˈɑ	0.564
ˈɑ	ˈɑː	0.17
ˈɑ	ˈɛ	0.098
ˈɑ	ˈoː	0.056
ˈɑi̯	ˈæɪ̯	0.477
ˈɑi̯	ˈoː	0.205
ˈɑi̯	ˈæːɪ̯	0.134
ˈɑi̯	ˈɛ	0.091
ˈɑi̯	ˈøː	0.073
ˈɑu̯	ˈæʉ̯	0.565
ˈɑu̯	ˈœʏ̯	0.359
ˈɑː	ˈoː	0.5
ˈɑː	ˈɑ	0.5
ˈɔː	ˈuː	0.545
ˈɔː	ˈøː	0.381
ˈɔː	ˈyː	0.074
ˈɛː	ˈoː	1.0
β	ʋ	0.723
β	-	0.277
θ	-	0.477
θ	tʰ	0.333
θ	ɕ	0.118
θ	d	0.072
