Old West Norse	Old Frisian	probability
θ	θ	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈɛː	1.0
ˈɔː	ˈoː	1.0
ˈɒu̯	ˈaː	1.0
ˈɑu̯	ˈaː	1.0
ˈuː	ˈuː	1.0
ˈi	ˈi	1.0
ʦ	ˈoː_s	1.0
ʝː	ʣ	1.0
ɾ	e	1.0
ɑː	iː	1.0
ð_j	dː	1.0
ç	h	1.0
x	h	1.0
w	w	1.0
sː	s	1.0
pː	p	1.0
pʰ	p	1.0
n̥	n	1.0
mː	mː	1.0
m	m	1.0
l̥	h_l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
k	k	1.0
j_ˈɔ	ˈe	1.0
j_ˈɑ	ˈe	1.0
j_ˈuː	ˈi̯aː	1.0
j_ˈoː	ˈi̯aː	1.0
j	ˈi̯uː	1.0
i_r̥	ə_r	1.0
h	h	1.0
f	f	1.0
e	ə	1.0
d	d	1.0
cː	kː	1.0
cʰ_ˈy	ʦ	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
n	n	0.956
t	t	0.93
s	s	0.929
ɑ	ə	0.924
p	p	0.884
r	r	0.874
u	ə	0.788
ŋ	ŋ	0.763
ɡ	ɡ	0.762
a	ə	0.75
ˈɛ	ˈe	0.741
ð	d	0.699
ˈyː	-	0.671
ˈøː	ˈeː	0.67
ɟ	j	0.665
ˈo	ˈo	0.657
ɡː	ɡː	0.642
ˈe	ˈe	0.633
ˈu	ˈu	0.625
i	ə	0.614
r̥ː	r_ə	0.593
ˈiː	ˈiː	0.587
tː	t	0.585
ˈɔ	-	0.581
ˈøy̯	-	0.562
ˈy	ˈo	0.525
v	v	0.523
ˈa	ˈɔː	0.5
ˈa	-	0.5
lː	l	0.5
ˈɑ	ˈe	0.472
ˈoː	ˈoː	0.468
ˈoː	-	0.445
ˈøy̯	ˈɛː	0.438
nː	n	0.435
ˈɔ	ˈa	0.419
r̥	ə	0.417
ɣ	x	0.416
tː	x	0.415
ˈeː	ˈeː	0.41
r̥ː	r	0.407
ˈeː	ˈiː	0.404
i	-	0.386
ɡː	-	0.358
ˈɑ	ˈa	0.354
nː	nː	0.344
v	w	0.342
ɟ	ɡ	0.335
ˈøː	ˈe	0.33
ˈyː	ˈi̯uː	0.329
lː	l_d	0.305
ɣ	ɣ	0.3
ˈɑː	ˈeː	0.298
ˈy	ˈe	0.285
ɣ	j	0.283
ˈɛ	ˈa	0.259
ˈɑː	ˈaː	0.259
a	-	0.25
ɡ	-	0.238
ŋ	-	0.237
ˈe	ˈi	0.235
ˈiː	-	0.234
nː	-	0.221
ð	-	0.217
u	i	0.212
ˈo	ˈu	0.198
lː	lː	0.195
ˈy	ˈi	0.19
ˈeː	-	0.185
ˈiː	ˈi	0.179
ˈɑː	-	0.164
r̥	ə_r	0.155
ˈɑː	ˈɔː	0.148
ˈo	w_ˈe	0.146
ˈu	ˈuː	0.136
ˈe	ˈa	0.132
ˈɑː	ˈa_x	0.131
p	pː	0.116
r̥	x	0.112
v	-	0.111
r̥	ˈeː	0.111
ˈɑ	ˈɔː	0.087
ˈɑ	-	0.087
ˈoː	ˈi̯aː	0.087
r̥	r	0.087
ð	ð	0.084
ˈu	ˈe	0.08
ˈu	w	0.08
ˈu	-	0.079
t	t_ə	0.07
r̥	t	0.06
r̥	h_r	0.058
r	-	0.058
s	s_w	0.052
