Dutch	Swedish	probability
χ_ə	jː	1.0
χ_t	tː	1.0
ˈɑu̯	-	1.0
ˈøː	ˈɛː	1.0
ˈyː	ˈyː	1.0
ˈoː_n	ˈoː_n	1.0
ˈeː_n	ˈeː_n	1.0
ɾ_ə	ɳ	1.0
ɾ_t	ʈː	1.0
ɾ_s	ʂ	1.0
ɾ_d̥	ɖ	1.0
ɪ	-	1.0
ə_ɾ	r	1.0
ə_n	a	1.0
ŋ_k	kː	1.0
w	-	1.0
v̥	v	1.0
v_ə	v_ɛ	1.0
v	f	1.0
s_χ	ɧ	1.0
n_d	nː	1.0
i	ɔ	1.0
d_ˈi	j_ˈʉː	1.0
b	b	1.0
s	s	0.923
d̥	d	0.923
ʋ	v	0.915
ɦ	h	0.909
ɾ	r	0.874
ˈɛi̯	ˈiː	0.833
ɫ	l	0.789
z	s	0.768
m	m	0.753
ˈœy̯	ˈʉː	0.752
n	n	0.743
t	t	0.733
ŋ	ŋː	0.687
ˈɪ	ˈɪ	0.653
p	p	0.624
ə	ɛ	0.614
ˈu	ˈuː	0.603
ˈɑ	ˈa	0.602
ˈʏ	ˈʏ	0.568
d	d	0.533
ˈɛ	ˈɛ	0.525
ˈaː	ˈoː	0.52
ˈɛ	-	0.475
ˈʏ	ˈɵ	0.432
ˈɔ	ˈɵ	0.414
χ	ɡ	0.406
k	k	0.389
ˈɪ	-	0.347
k	kʰ	0.32
d	tʰ	0.32
ˈoː	ˈøː	0.314
ŋ	ŋ	0.313
ˈaː	ˈɑː	0.277
ˈi	ˈʉː	0.253
ˈu	ˈøː	0.251
ˈœy̯	ˈɵ	0.248
ˈeː	ˈɛ	0.248
m	mː	0.247
ˈi	-	0.246
p	pː	0.242
χ	k	0.234
z	ɧ	0.232
ˈi	ˈyː	0.22
ˈeː	ˈeː	0.22
t	tː	0.217
ə	-	0.196
ˈɔ	ˈʊ	0.192
ˈɔ	ˈɔ	0.192
χ	ɡː	0.185
k	kː	0.182
χ	j	0.175
ˈeː	-	0.175
n	nː	0.171
ˈɛi̯	ˈeː	0.167
ˈoː	ˈɔ	0.15
ˈoː	ˈœ	0.15
ə	a	0.149
ˈu	-	0.147
ˈeː	ˈɛː_d	0.135
p	pʰ	0.133
ˈoː	ˈœː	0.132
ˈoː	ˈuː	0.131
ˈaː	-	0.118
ˈɑ	ˈɑː	0.117
ˈi	ˈeː	0.116
ˈeː	ˈɛː	0.111
ˈeː	ˈoː	0.111
k	ɕ	0.109
ˈɑ	ˈɛ	0.108
ˈɑ	ˈoː	0.1
ɦ	j	0.091
ˈɔ	-	0.088
ˈaː	ˈa	0.086
ʋ	-	0.085
ˈi	j_ˈʉː	0.083
d	-	0.082
ˈi	ˈɛː	0.081
s	s_k	0.077
d̥	lː	0.077
ˈoː	-	0.076
ɫ	lː	0.075
ˈɑ	-	0.073
ɫ	j	0.072
ˈɔ	ˈœ	0.068
d	ɕ	0.065
ɫ	ˈœ_l	0.064
n	ˈiː	0.062
ɾ	ɳ	0.057
ɾ	-	0.051
