Spanish	Spanish	probability
θ_o	ʦ	1.0
β_ˈe	v_ˈe	1.0
ˈo_β	ˈy	1.0
ˈo_ʧ	w	1.0
ˈo_t	ˈo	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈe_β_e_#>	f_#>	1.0
ˈe_β	ˈe_v	1.0
ˈe_ɣ	ˈa	1.0
ˈe_k	ˈɛ_t	1.0
ˈe_j	ˈɛː	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_s	ˈe_s	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_l	ˈɑː	1.0
ʧ	t	1.0
ɾ_β	ʁ_b	1.0
ɾ_t	ʁ	1.0
ɾ_i	ʁ	1.0
ɾ_e	ʁ_o	1.0
ɾ_#>	#>	1.0
ɲ_o	ˈɛ̃	1.0
ɡ	ɡ	1.0
ŋ_ɡ	n	1.0
ŋ	-	1.0
ð_ɾ	ð	1.0
ð	-	1.0
u	o	1.0
s_#>	#>	1.0
p_ˈe	p_ˈɛː	1.0
n_o	ˈɔ̃	1.0
l_#>	#>	1.0
k_ˈa	ʃ	1.0
j_ˈe	ˈe	1.0
i	-	1.0
f	f	1.0
e_s	e	1.0
e_n	ɛ̃	1.0
e_#>	#>	1.0
b_w	b	1.0
b_j	v	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈo	<#_ˈoː	1.0
<#_x	<#_ð	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
o_#>	#>	0.968
p	p	0.913
x	ʎ	0.857
d	d	0.846
l	l	0.842
<#	<#_f	0.833
ˈe_n	ˈɛ̃	0.778
ɣ	-	0.778
ʝ	l	0.75
m	m	0.733
ɾ_a	ʁ_a	0.714
n	n	0.667
t	t	0.652
w_ˈe	ˈoː	0.625
a	a	0.613
ɲ	-	0.6
ɟ͡ʝ	l	0.6
ɾ	ʁ	0.586
θ_#>	ʃ_#>	0.571
b	v	0.536
w	w	0.533
ˈu	w	0.5
ˈe_ɾ	ʁ_ə	0.5
ˈe_ɾ	ʁ	0.5
k	k	0.5
s	-	0.462
o	o	0.448
ˈa	ˈa	0.439
ˈi	ˈi	0.435
θ_#>	#>	0.429
θ	s	0.429
j	-	0.429
k	ʃ	0.425
β	-	0.412
ɲ	ɲ	0.4
ɟ͡ʝ	p_l	0.4
s	s	0.385
w_ˈe	ˈɔ	0.375
e	ə	0.364
θ	z	0.357
t	-	0.348
ˈu	ˈu	0.333
b	b	0.321
o	-	0.31
ˈi	ˈe	0.304
β	v	0.294
ɾ_a	a	0.286
j	j	0.286
e	-	0.273
m	-	0.267
ˈo	w	0.259
a	ə	0.258
ʝ	-	0.25
n	-	0.25
ˈe	ˈɛ	0.236
ˈe_n	ˈɔ̃	0.222
ɣ	ɡ	0.222
θ	-	0.214
w	ˈu	0.2
ˈo	ˈo	0.185
ˈe	ˈɛː	0.182
e	ɛ	0.182
β	b	0.176
ˈi	-	0.174
ˈu	j	0.167
<#	<#_ð	0.167
ˈe	-	0.164
l	-	0.158
s	ˈe	0.154
d	-	0.154
ˈo	ˈu	0.148
ˈo	ˈoː	0.148
x	-	0.143
j	ˈɛː	0.143
j	ˈi	0.143
b	-	0.143
ɾ	ð	0.138
ɾ	-	0.138
w	ˈø	0.133
w	-	0.133
ˈa	ˈaː	0.122
β	f	0.118
ˈo	w_ˈe	0.111
ˈe	ˈe	0.109
o	ɔ	0.103
ˈe	ˈi	0.091
e	e	0.091
e	a	0.091
ˈi	ˈĩ	0.087
p	-	0.087
n	ˈɛ̃	0.083
k	-	0.075
ˈo	ˈɔ	0.074
ˈo	ˈø	0.074
ˈe	j	0.073
ˈa	ˈɛː	0.073
ˈa	ˈɑ̃	0.073
ˈa	ˈɑː	0.073
ˈa	ˈe	0.073
ˈa	j	0.073
ˈa	-	0.073
ɾ	ˈe	0.069
ɾ	ð_ə	0.069
o	ʁ_o	0.069
o	a	0.069
a	i	0.065
a	-	0.065
