Limburgish	Afrikaans	probability
#>	#>	0.975
<#	<#	1.0
b	b	0.973
d	d	0.914
d	t	0.084
f	f	1.0
j	t	0.435
j	-	0.323
j	j	0.234
j_#>	#>	1.0
k	k	0.91
k	χ	0.086
k_#>	#>	1.0
l	ɫ	0.989
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	0.962
t_#>	#>	1.0
v	f	0.786
v	v	0.105
v	-	0.082
w	ˈœu̯	0.517
x	χ	0.929
x	k	0.071
x_#>	#>	0.267
z	s	1.0
ŋ	ŋ	1.0
ə	ə	0.617
ə	-	0.37
ə_#>	#>	1.0
ə_m	m	1.0
ə_x	χ	1.0
ɡ	-	0.517
ɣ	χ	0.821
ɣ	-	0.17
ɦ	ɦ	0.942
ɦ	k	0.062
ɪ	ə	0.517
ɪː	ˈə	0.517
ʀ	r	0.986
ʃ	s_k	1.0
ʦ	s	0.138
ˈaː	ˈa	0.481
ˈaː	ˈɑː	0.373
ˈaː	ˈɔː	0.085
ˈaː	ˈæː	0.061
ˈaː_j	ˈœu̯	1.0
ˈeː	ˈɪə̯	0.422
ˈeː	ˈi	0.317
ˈeː	ˈə	0.102
ˈeː	ˈɛ	0.066
ˈi	ˈi	0.324
ˈi	ˈɑː	0.209
ˈi	ˈɪə̯	0.146
ˈi	ˈə	0.138
ˈi	ˈæ	0.084
ˈi	ˈəɪ̯	0.07
ˈiː	ˈəɪ̯	0.743
ˈiː	ˈi	0.15
ˈiː	ˈœi̯	0.073
ˈoː	ˈu	0.375
ˈoː	ˈʊə̯	0.21
ˈoː	ˈɪø̯	0.147
ˈoː	ˈuːi̯	0.139
ˈu	ˈʊə̯	0.809
ˈu	ˈoːi̯	0.187
ˈuː	ˈœɪ̯	0.809
ˈuː	ˈʊə̯	0.091
ˈuː	ˈɔ	0.073
ˈv	f	0.517
ˈyː	ˈʊə̯	0.392
ˈyː	ˈyː	0.207
ˈyː	-	0.091
ˈæ	ˈa	0.723
ˈæ	ˈɑː	0.215
ˈæː	ˈæ	0.28
ˈæː	ˈæː	0.28
ˈæː	ˈa	0.181
ˈæː	ˈɛ	0.181
ˈøː	ˈu	0.527
ˈøː	ˈʊə̯	0.243
ˈøː	ˈuː	0.14
ˈøː	ˈyː	0.079
ˈœ	ˈœ	0.594
ˈœ	ˈɔ	0.22
ˈœ	ˈɛː	0.084
ˈœi̯	ˈi	0.291
ˈœi̯	ˈʊə̯	0.291
ˈœi̯	ˈœɪ̯	0.284
ˈœː	ˈɔ	0.574
ˈœː	ˈœ	0.297
ˈɑ	ˈa	0.921
ˈɑ	ˈœu̯	0.079
ˈɑː	ˈa	1.0
ˈɒː	ˈɑː	0.925
ˈɒː	ˈɪø̯	0.077
ˈɔ	ˈɔ	1.0
ˈɔu̯	ˈœu̯	0.66
ˈɔu̯	ˈʊə̯	0.176
ˈɔː	ˈʊə̯	0.579
ˈɔː	ˈɔ	0.267
ˈɔː	-	0.126
ˈɛ	ˈɛ	0.305
ˈɛ	ˈəɪ̯	0.266
ˈɛ	ˈə	0.196
ˈɛ	ˈɛː	0.137
ˈɛi̯	ˈi	0.267
ˈɛː	ˈɪə̯	0.404
ˈɛː	ˈəɪ̯	0.392
ˈɛː	ˈɛ	0.171
ˈɛːi̯	ˈəɪ̯	1.0
ˈɪ	ˈə	0.538
ˈɪ	ˈɛ	0.457
ˈɪː	ˈə	0.809
ˈɪː	ˈɛ	0.102
ˈɪː	ˈɪ	0.078
ˈʊ	ˈɔ	0.517
ˈʊː	ˈʊə̯	0.359
ˈʊː	ˈu	0.238
ˈʊː	ˈɔ	0.225
ˈʊː	ˈɑː	0.078
ˈʊː	ˈɪø̯	0.057
ˈʊː	ˈɔː	0.051
ˈʏ	ˈœ	0.341
ˈʏ	ˈɛ	0.176
ˈʏː	ˈɔ	0.29
ˈʏː	ˈi	0.252
ˈʏː	ˈœ	0.15
β	v	0.737
β	w	0.214
