Asturian	Walloon	probability
f	f	1.0
i	-	1.0
r	ʀ	1.0
ð	-	1.0
ɲ	-	1.0
ʝ	-	1.0
ʧ	t	1.0
a	j	0.281
e	-	0.1
j	-	0.51
ɾ	ʀ	0.771
ʃ	-	0.11
ˈi	ˈɛ	0.51
ˈo	ˈoː	0.161
ˈo	ˈɔ	0.341
β	f	0.381
θ	-	0.211
θ	ʃ	0.341
d	-	0.052
m	-	0.252
n	n	0.392
w	-	0.2
ʎ	l	0.872
ˈe	ˈi	0.052
ˈe	ˈiː	0.052
ˈe	ˈa	0.112
ˈi	ˈiː	0.32
ˈo	ˈu	0.052
a	a	0.363
b	v	0.743
s	-	0.133
w	ˈuː	0.3
ɡ	ɡ	0.803
ˈi	ˈi	0.093
ˈu	ˈɛ	0.173
k	ʧ	0.54
o	a	0.094
t	t	0.664
u	ˈoː	0.124
ŋ	ˈẽ	0.384
ɣ	-	0.824
ˈa	-	0.074
ˈo	ˈɔ̃	0.294
β	v	0.124
a	ˈe	0.155
k	-	0.095
k	k	0.365
l	l	0.365
l	-	0.555
w	w	0.5
ˈe	ˈɛː	0.125
ˈo	ˈuː	0.085
β	-	0.475
θ	s	0.425
e	ɛ	0.656
p	p	0.976
t	-	0.336
ŋ	-	0.616
ɣ	ɡ	0.176
ˈa	ˈa	0.096
ˈe	w_ˈɛ	0.066
a	-	0.187
b	b	0.257
o	-	0.347
ɾ	-	0.217
ˈa	ˈe	0.077
ˈi	ˈɛ̃	0.077
ˈo	ˈøː	0.067
d	d	0.948
e	a	0.158
l	j	0.08
m	m	0.748
n	-	0.608
s	s	0.818
u	-	0.248
u	ˈa	0.628
ɡ	-	0.108
ʎ	-	0.128
ˈa	ˈiː	0.408
ˈe	ˈɛ	0.218
ˈu	ˈu	0.628
e	i	0.059
j	j	0.49
o	ɔ	0.559
ɡ	k	0.09
ʃ	ʤ	0.89
ˈa	ˈɔː	0.069
ˈa	ˈɑ̃	0.159
ˈe	-	0.239
ˈu	ˈuː	0.199
